"SiteCode","Year","Treatment","Transect","Distance","Emerged","Reproduced","Fecundity","Biomass","fecundityflag","notesFlag","Lat","Lon","prcp.Spr","tmean.Spr","swe_mean.Spr","prcp.Win","tmean.Win","swe_mean.Win","prcp.Fall","tmean.Fall","swe_mean.Fall","annualgrass","annualforb","unknown","perennialforb","perennialgrass","shrub","groundcover","biocrust"
"Boise_High",2022,"control","S",2.2,"Y","Y",10,0.01,0,NA,43.20847803,-116.9951781,179.29,8.45652941176471,0,95.2,0.252741935483871,10.2890322580645,153.7,4.03203296703297,1.85428571428571,0,0,0,10,10,0,0,0
"Boise_High",2022,"control","S",2.4,"Y","Y",54,0.085,0,NA,43.20847803,-116.9951781,179.29,8.45652941176471,0,95.2,0.252741935483871,10.2890322580645,153.7,4.03203296703297,1.85428571428571,0,0,0,2,25,0,0,0
"Boise_High",2022,"control","S",2.6,"Y","Y",1,0.01,0,NA,43.20847803,-116.9951781,179.29,8.45652941176471,0,95.2,0.252741935483871,10.2890322580645,153.7,4.03203296703297,1.85428571428571,0,0,0,2,50,0,0,0
"Boise_High",2022,"control","S",2.8,"Y","Y",27,0.057,0,NA,43.20847803,-116.9951781,179.29,8.45652941176471,0,95.2,0.252741935483871,10.2890322580645,153.7,4.03203296703297,1.85428571428571,10,0,0,10,10,0,0,0
"Boise_High",2022,"control","S",3,"Y","Y",35,0.07,0,NA,43.20847803,-116.9951781,179.29,8.45652941176471,0,95.2,0.252741935483871,10.2890322580645,153.7,4.03203296703297,1.85428571428571,10,0,0,5,2,0,0,0
"Boise_High",2022,"control","S",3.2,"Y","N",0,NA,0,NA,43.20847803,-116.9951781,179.29,8.45652941176471,0,95.2,0.252741935483871,10.2890322580645,153.7,4.03203296703297,1.85428571428571,0,0,5,0,60,0,0,0
"Boise_High",2022,"control","S",3.4,"Y","N",0,NA,0,NA,43.20847803,-116.9951781,179.29,8.45652941176471,0,95.2,0.252741935483871,10.2890322580645,153.7,4.03203296703297,1.85428571428571,0,0,5,0,90,0,0,0
"Boise_High",2022,"control","S",3.6,"Y","Y",57,0.097,0,NA,43.20847803,-116.9951781,179.29,8.45652941176471,0,95.2,0.252741935483871,10.2890322580645,153.7,4.03203296703297,1.85428571428571,0,5,0,0,0,0,0,0
"Boise_High",2022,"control","S",3.8,"Y","Y",16,0.041,0,NA,43.20847803,-116.9951781,179.29,8.45652941176471,0,95.2,0.252741935483871,10.2890322580645,153.7,4.03203296703297,1.85428571428571,0,0,0,0,20,0,0,0
"Boise_High",2022,"control","S",4,"Y","N",0,NA,0,"",43.20847803,-116.9951781,179.29,8.45652941176471,0,95.2,0.252741935483871,10.2890322580645,153.7,4.03203296703297,1.85428571428571,0,0,0,10,50,0,0,0
"Boise_High",2022,"control","S",4.2,"Y","N",0,NA,0,NA,43.20847803,-116.9951781,179.29,8.45652941176471,0,95.2,0.252741935483871,10.2890322580645,153.7,4.03203296703297,1.85428571428571,5,0,0,10,0,0,0,0
"Boise_High",2022,"control","S",4.4,"Y","Y",20,0.069,0,NA,43.20847803,-116.9951781,179.29,8.45652941176471,0,95.2,0.252741935483871,10.2890322580645,153.7,4.03203296703297,1.85428571428571,15,0,0,0,30,0,0,0
"Boise_High",2022,"control","S",4.6,"Y","Y",7,0.02,0,NA,43.20847803,-116.9951781,179.29,8.45652941176471,0,95.2,0.252741935483871,10.2890322580645,153.7,4.03203296703297,1.85428571428571,5,0,0,5,15,0,0,0
"Boise_High",2022,"control","S",4.8,"N","N",0,NA,0,NA,43.20847803,-116.9951781,179.29,8.45652941176471,0,95.2,0.252741935483871,10.2890322580645,153.7,4.03203296703297,1.85428571428571,10,0,0,20,0,0,0,0
"Boise_High",2022,"control","S",5,"Y","Y",28,0.049,0,NA,43.20847803,-116.9951781,179.29,8.45652941176471,0,95.2,0.252741935483871,10.2890322580645,153.7,4.03203296703297,1.85428571428571,10,0,0,15,5,0,0,0
"Boise_High",2022,"control","S",5.2,"Y","Y",11,0.024,0,NA,43.20847803,-116.9951781,179.29,8.45652941176471,0,95.2,0.252741935483871,10.2890322580645,153.7,4.03203296703297,1.85428571428571,0,0,0,5,10,0,0,0
"Boise_High",2022,"control","S",5.4,"Y","Y",4,0.005,0,NA,43.20847803,-116.9951781,179.29,8.45652941176471,0,95.2,0.252741935483871,10.2890322580645,153.7,4.03203296703297,1.85428571428571,0,0,0,5,5,0,0,0
"Boise_High",2022,"control","S",5.6,"Y","N",0,NA,0,NA,43.20847803,-116.9951781,179.29,8.45652941176471,0,95.2,0.252741935483871,10.2890322580645,153.7,4.03203296703297,1.85428571428571,0,0,0,0,30,0,0,0
"Boise_High",2022,"control","S",5.8,"Y","Y",26,0.035,0,NA,43.20847803,-116.9951781,179.29,8.45652941176471,0,95.2,0.252741935483871,10.2890322580645,153.7,4.03203296703297,1.85428571428571,0,0,0,10,20,0,0,0
"Boise_High",2022,"control","S",6,"Y","Y",77,0.159,0,NA,43.20847803,-116.9951781,179.29,8.45652941176471,0,95.2,0.252741935483871,10.2890322580645,153.7,4.03203296703297,1.85428571428571,10,0,0,10,10,0,0,0
"Boise_High",2022,"control","S",6.2,"Y","Y",100,0.149,0,"",43.20847803,-116.9951781,179.29,8.45652941176471,0,95.2,0.252741935483871,10.2890322580645,153.7,4.03203296703297,1.85428571428571,0,0,0,5,0,0,0,0
"Boise_High",2022,"control","S",6.4,"Y","N",0,NA,0,"",43.20847803,-116.9951781,179.29,8.45652941176471,0,95.2,0.252741935483871,10.2890322580645,153.7,4.03203296703297,1.85428571428571,0,0,0,20,10,0,0,0
"Boise_High",2022,"control","S",6.6,"Y","N",0,NA,0,"",43.20847803,-116.9951781,179.29,8.45652941176471,0,95.2,0.252741935483871,10.2890322580645,153.7,4.03203296703297,1.85428571428571,0,0,0,5,40,0,0,0
"Boise_High",2022,"control","S",6.8,"Y","Y",96,0.068,0,NA,43.20847803,-116.9951781,179.29,8.45652941176471,0,95.2,0.252741935483871,10.2890322580645,153.7,4.03203296703297,1.85428571428571,5,0,0,20,0,0,0,0
"Boise_High",2022,"control","S",7,"Y","Y",20,0.014,0,NA,43.20847803,-116.9951781,179.29,8.45652941176471,0,95.2,0.252741935483871,10.2890322580645,153.7,4.03203296703297,1.85428571428571,0,0,0,10,55,0,0,0
"Boise_High",2022,"control","S",7.2,"Y","N",0,NA,0,NA,43.20847803,-116.9951781,179.29,8.45652941176471,0,95.2,0.252741935483871,10.2890322580645,153.7,4.03203296703297,1.85428571428571,0,0,0,10,45,0,0,0
"Boise_High",2022,"control","S",7.4,"N","N",0,NA,0,NA,43.20847803,-116.9951781,179.29,8.45652941176471,0,95.2,0.252741935483871,10.2890322580645,153.7,4.03203296703297,1.85428571428571,15,0,0,5,5,0,0,0
"Boise_High",2022,"control","S",7.6,"Y","Y",72,0.117,0,NA,43.20847803,-116.9951781,179.29,8.45652941176471,0,95.2,0.252741935483871,10.2890322580645,153.7,4.03203296703297,1.85428571428571,0,0,0,5,10,0,0,0
"Boise_High",2022,"control","S",7.8,"Y","Y",99,0.055,0,NA,43.20847803,-116.9951781,179.29,8.45652941176471,0,95.2,0.252741935483871,10.2890322580645,153.7,4.03203296703297,1.85428571428571,0,0,0,10,10,0,0,0
"Boise_High",2022,"control","S",8,"Y","Y",2,0.008,0,NA,43.20847803,-116.9951781,179.29,8.45652941176471,0,95.2,0.252741935483871,10.2890322580645,153.7,4.03203296703297,1.85428571428571,0,0,0,0,20,0,0,0
"Boise_High",2022,"control","S",8.2,"Y","Y",8,0.02,0,NA,43.20847803,-116.9951781,179.29,8.45652941176471,0,95.2,0.252741935483871,10.2890322580645,153.7,4.03203296703297,1.85428571428571,0,0,0,0,5,0,0,0
"Boise_High",2022,"control","S",8.4,"Y","Y",63,0.166,0,NA,43.20847803,-116.9951781,179.29,8.45652941176471,0,95.2,0.252741935483871,10.2890322580645,153.7,4.03203296703297,1.85428571428571,30,0,0,20,5,0,0,0
"Boise_High",2022,"control","S",8.6,"Y","Y",24,0.05,0,NA,43.20847803,-116.9951781,179.29,8.45652941176471,0,95.2,0.252741935483871,10.2890322580645,153.7,4.03203296703297,1.85428571428571,10,0,5,0,40,0,0,0
"Boise_High",2022,"control","S",8.8,"Y","Y",100,0.283,0,"",43.20847803,-116.9951781,179.29,8.45652941176471,0,95.2,0.252741935483871,10.2890322580645,153.7,4.03203296703297,1.85428571428571,5,0,0,5,10,0,0,0
"Boise_High",2022,"control","S",9,"Y","Y",11,0.085,0,NA,43.20847803,-116.9951781,179.29,8.45652941176471,0,95.2,0.252741935483871,10.2890322580645,153.7,4.03203296703297,1.85428571428571,15,0,0,0,10,0,0,0
"Boise_High",2022,"control","S",9.2,"Y","Y",20,0.046,0,NA,43.20847803,-116.9951781,179.29,8.45652941176471,0,95.2,0.252741935483871,10.2890322580645,153.7,4.03203296703297,1.85428571428571,15,0,0,25,0,0,0,0
"Boise_High",2022,"control","S",9.4,"N","N",0,NA,0,NA,43.20847803,-116.9951781,179.29,8.45652941176471,0,95.2,0.252741935483871,10.2890322580645,153.7,4.03203296703297,1.85428571428571,0,0,0,5,0,0,0,0
"Boise_High",2022,"control","S",9.6,"Y","Y",2,0.006,0,NA,43.20847803,-116.9951781,179.29,8.45652941176471,0,95.2,0.252741935483871,10.2890322580645,153.7,4.03203296703297,1.85428571428571,10,0,0,0,50,0,0,0
"Boise_High",2022,"control","S",9.8,"Y","Y",20,0.042,0,NA,43.20847803,-116.9951781,179.29,8.45652941176471,0,95.2,0.252741935483871,10.2890322580645,153.7,4.03203296703297,1.85428571428571,5,5,0,0,0,0,0,0
"Boise_High",2022,"control","S",10,"Y","Y",5,0.02,0,NA,43.20847803,-116.9951781,179.29,8.45652941176471,0,95.2,0.252741935483871,10.2890322580645,153.7,4.03203296703297,1.85428571428571,0,2,0,5,20,0,0,0
"Boise_High",2022,"control","W",0.2,"Y","Y",28,0.066,0,NA,43.20847803,-116.9951781,179.29,8.45652941176471,0,95.2,0.252741935483871,10.2890322580645,153.7,4.03203296703297,1.85428571428571,NA,NA,NA,NA,NA,NA,NA,NA
"Boise_High",2022,"control","W",0.4,"Y","N",0,NA,0,"frostheave",43.20847803,-116.9951781,179.29,8.45652941176471,0,95.2,0.252741935483871,10.2890322580645,153.7,4.03203296703297,1.85428571428571,0,0,0,10,5,0,0,0
"Boise_High",2022,"control","W",0.6,"N","N",0,NA,0,"",43.20847803,-116.9951781,179.29,8.45652941176471,0,95.2,0.252741935483871,10.2890322580645,153.7,4.03203296703297,1.85428571428571,0,0,0,10,25,0,0,0
"Boise_High",2022,"control","W",0.8,"Y","Y",7,0.019,0,NA,43.20847803,-116.9951781,179.29,8.45652941176471,0,95.2,0.252741935483871,10.2890322580645,153.7,4.03203296703297,1.85428571428571,5,0,0,20,5,0,0,0
"Boise_High",2022,"control","W",1,"Y","N",0,NA,0,NA,43.20847803,-116.9951781,179.29,8.45652941176471,0,95.2,0.252741935483871,10.2890322580645,153.7,4.03203296703297,1.85428571428571,0,0,0,10,45,0,0,0
"Boise_High",2022,"control","W",1.2,"Y","N",0,NA,0,NA,43.20847803,-116.9951781,179.29,8.45652941176471,0,95.2,0.252741935483871,10.2890322580645,153.7,4.03203296703297,1.85428571428571,0,0,0,0,55,0,0,0
"Boise_High",2022,"control","W",1.4,"Y","Y",16,0.026,0,NA,43.20847803,-116.9951781,179.29,8.45652941176471,0,95.2,0.252741935483871,10.2890322580645,153.7,4.03203296703297,1.85428571428571,0,0,0,0,10,0,0,0
"Boise_High",2022,"control","W",1.6,"Y","Y",3,0.013,0,NA,43.20847803,-116.9951781,179.29,8.45652941176471,0,95.2,0.252741935483871,10.2890322580645,153.7,4.03203296703297,1.85428571428571,0,0,0,15,15,0,0,0
"Boise_High",2022,"control","W",1.8,"Y","Y",4,0.014,0,NA,43.20847803,-116.9951781,179.29,8.45652941176471,0,95.2,0.252741935483871,10.2890322580645,153.7,4.03203296703297,1.85428571428571,0,0,0,20,0,0,0,0
"Boise_High",2022,"control","W",2,"N","N",0,NA,0,NA,43.20847803,-116.9951781,179.29,8.45652941176471,0,95.2,0.252741935483871,10.2890322580645,153.7,4.03203296703297,1.85428571428571,0,0,0,0,80,0,0,0
"Boise_High",2022,"control","W",2.2,"Y","Y",3,0.01,0,NA,43.20847803,-116.9951781,179.29,8.45652941176471,0,95.2,0.252741935483871,10.2890322580645,153.7,4.03203296703297,1.85428571428571,0,0,0,10,30,0,0,0
"Boise_High",2022,"control","W",2.4,"Y","Y",NA,0.012,1,"seeddrop",43.20847803,-116.9951781,179.29,8.45652941176471,0,95.2,0.252741935483871,10.2890322580645,153.7,4.03203296703297,1.85428571428571,0,0,0,15,20,0,0,0
"Boise_High",2022,"control","W",2.6,"Y","Y",23,0.034,0,NA,43.20847803,-116.9951781,179.29,8.45652941176471,0,95.2,0.252741935483871,10.2890322580645,153.7,4.03203296703297,1.85428571428571,0,0,0,30,0,0,0,0
"Boise_High",2022,"control","W",2.8,"Y","Y",14,0.026,0,"",43.20847803,-116.9951781,179.29,8.45652941176471,0,95.2,0.252741935483871,10.2890322580645,153.7,4.03203296703297,1.85428571428571,0,0,0,0,30,0,0,0
"Boise_High",2022,"control","W",3,"Y","Y",27,0.044,0,"",43.20847803,-116.9951781,179.29,8.45652941176471,0,95.2,0.252741935483871,10.2890322580645,153.7,4.03203296703297,1.85428571428571,0,0,0,5,10,0,0,0
"Boise_High",2022,"control","W",3.2,"Y","Y",78,0.094,0,NA,43.20847803,-116.9951781,179.29,8.45652941176471,0,95.2,0.252741935483871,10.2890322580645,153.7,4.03203296703297,1.85428571428571,0,5,0,0,0,0,0,0
"Boise_High",2022,"control","W",3.4,"Y","Y",76,0.085,0,NA,43.20847803,-116.9951781,179.29,8.45652941176471,0,95.2,0.252741935483871,10.2890322580645,153.7,4.03203296703297,1.85428571428571,2,0,0,10,0,0,0,0
"Boise_High",2022,"control","W",3.6,"Y","Y",8,0.03,0,NA,43.20847803,-116.9951781,179.29,8.45652941176471,0,95.2,0.252741935483871,10.2890322580645,153.7,4.03203296703297,1.85428571428571,0,0,0,35,10,20,0,0
"Boise_High",2022,"control","W",3.8,"Y","Y",27,0.037,0,"",43.20847803,-116.9951781,179.29,8.45652941176471,0,95.2,0.252741935483871,10.2890322580645,153.7,4.03203296703297,1.85428571428571,0,0,0,15,0,0,0,0
"Boise_High",2022,"control","W",4,"Y","Y",13,0.022,0,"",43.20847803,-116.9951781,179.29,8.45652941176471,0,95.2,0.252741935483871,10.2890322580645,153.7,4.03203296703297,1.85428571428571,0,0,0,0,25,0,0,0
"Boise_High",2022,"control","W",4.2,"Y","Y",12,0.013,0,"",43.20847803,-116.9951781,179.29,8.45652941176471,0,95.2,0.252741935483871,10.2890322580645,153.7,4.03203296703297,1.85428571428571,0,0,0,0,60,0,0,0
"Boise_High",2022,"control","W",4.4,"Y","Y",4,0.021,0,NA,43.20847803,-116.9951781,179.29,8.45652941176471,0,95.2,0.252741935483871,10.2890322580645,153.7,4.03203296703297,1.85428571428571,0,0,0,2,0,0,0,0
"Boise_High",2022,"control","W",4.6,"Y","Y",20,0.023,0,"",43.20847803,-116.9951781,179.29,8.45652941176471,0,95.2,0.252741935483871,10.2890322580645,153.7,4.03203296703297,1.85428571428571,0,0,0,10,5,0,0,0
"Boise_High",2022,"control","W",4.8,"Y","Y",4,0.013,0,NA,43.20847803,-116.9951781,179.29,8.45652941176471,0,95.2,0.252741935483871,10.2890322580645,153.7,4.03203296703297,1.85428571428571,0,0,0,0,60,0,0,0
"Boise_High",2022,"control","W",5,"N","N",0,NA,0,NA,43.20847803,-116.9951781,179.29,8.45652941176471,0,95.2,0.252741935483871,10.2890322580645,153.7,4.03203296703297,1.85428571428571,2,0,0,0,5,0,0,0
"Boise_High",2022,"control","W",5.2,"Y","Y",12,0.016,0,"",43.20847803,-116.9951781,179.29,8.45652941176471,0,95.2,0.252741935483871,10.2890322580645,153.7,4.03203296703297,1.85428571428571,5,0,0,0,85,0,0,0
"Boise_High",2022,"control","W",5.4,"Y","Y",34,0.054,0,"",43.20847803,-116.9951781,179.29,8.45652941176471,0,95.2,0.252741935483871,10.2890322580645,153.7,4.03203296703297,1.85428571428571,0,0,0,10,7,0,0,0
"Boise_High",2022,"control","W",5.6,"Y","Y",13,0.02,0,"",43.20847803,-116.9951781,179.29,8.45652941176471,0,95.2,0.252741935483871,10.2890322580645,153.7,4.03203296703297,1.85428571428571,0,0,0,0,15,0,0,0
"Boise_High",2022,"control","W",5.8,"Y","Y",25,0.03,0,"",43.20847803,-116.9951781,179.29,8.45652941176471,0,95.2,0.252741935483871,10.2890322580645,153.7,4.03203296703297,1.85428571428571,0,10,0,0,20,0,0,0
"Boise_High",2022,"control","W",6,"Y","Y",13,0.029,0,"",43.20847803,-116.9951781,179.29,8.45652941176471,0,95.2,0.252741935483871,10.2890322580645,153.7,4.03203296703297,1.85428571428571,0,0,0,5,32,0,0,0
"Boise_High",2022,"control","W",6.2,"Y","Y",22,0.03,0,"",43.20847803,-116.9951781,179.29,8.45652941176471,0,95.2,0.252741935483871,10.2890322580645,153.7,4.03203296703297,1.85428571428571,5,0,0,5,10,0,0,0
"Boise_High",2022,"control","W",6.4,"Y","Y",19,0.023,0,NA,43.20847803,-116.9951781,179.29,8.45652941176471,0,95.2,0.252741935483871,10.2890322580645,153.7,4.03203296703297,1.85428571428571,2,2,0,0,30,0,0,0
"Boise_High",2022,"control","W",6.6,"Y","Y",10,0.038,0,NA,43.20847803,-116.9951781,179.29,8.45652941176471,0,95.2,0.252741935483871,10.2890322580645,153.7,4.03203296703297,1.85428571428571,0,0,0,0,20,0,0,0
"Boise_High",2022,"control","W",6.8,"Y","Y",35,0.06,0,NA,43.20847803,-116.9951781,179.29,8.45652941176471,0,95.2,0.252741935483871,10.2890322580645,153.7,4.03203296703297,1.85428571428571,10,0,0,0,15,0,0,0
"Boise_High",2022,"control","W",7,"Y","N",0,NA,0,NA,43.20847803,-116.9951781,179.29,8.45652941176471,0,95.2,0.252741935483871,10.2890322580645,153.7,4.03203296703297,1.85428571428571,5,0,0,0,10,0,0,0
"Boise_High",2022,"control","W",7.2,"Y","Y",30,0.057,0,NA,43.20847803,-116.9951781,179.29,8.45652941176471,0,95.2,0.252741935483871,10.2890322580645,153.7,4.03203296703297,1.85428571428571,0,0,0,0,35,0,0,0
"Boise_High",2022,"control","W",7.4,"Y","Y",4,0.012,0,NA,43.20847803,-116.9951781,179.29,8.45652941176471,0,95.2,0.252741935483871,10.2890322580645,153.7,4.03203296703297,1.85428571428571,0,2,0,0,55,0,0,0
"Boise_High",2022,"control","W",7.6,"N","N",0,NA,0,NA,43.20847803,-116.9951781,179.29,8.45652941176471,0,95.2,0.252741935483871,10.2890322580645,153.7,4.03203296703297,1.85428571428571,0,5,0,0,42,0,0,0
"Boise_High",2022,"control","W",7.8,"Y","Y",NA,0.023,1,"seeddrop",43.20847803,-116.9951781,179.29,8.45652941176471,0,95.2,0.252741935483871,10.2890322580645,153.7,4.03203296703297,1.85428571428571,0,0,0,0,10,0,0,0
"Boise_High",2022,"control","W",8,"Y","Y",5,0.014,0,NA,43.20847803,-116.9951781,179.29,8.45652941176471,0,95.2,0.252741935483871,10.2890322580645,153.7,4.03203296703297,1.85428571428571,2,0,0,0,100,0,0,0
"Boise_High",2022,"control","W",8.2,"Y","Y",1,0.014,0,NA,43.20847803,-116.9951781,179.29,8.45652941176471,0,95.2,0.252741935483871,10.2890322580645,153.7,4.03203296703297,1.85428571428571,15,0,0,0,75,0,0,0
"Boise_High",2022,"control","W",8.4,"Y","Y",2,0.025,0,NA,43.20847803,-116.9951781,179.29,8.45652941176471,0,95.2,0.252741935483871,10.2890322580645,153.7,4.03203296703297,1.85428571428571,15,0,0,0,10,0,0,0
"Boise_High",2022,"control","W",8.6,"Y","N",0,NA,0,NA,43.20847803,-116.9951781,179.29,8.45652941176471,0,95.2,0.252741935483871,10.2890322580645,153.7,4.03203296703297,1.85428571428571,0,0,0,0,35,0,0,0
"Boise_High",2022,"control","W",8.8,"Y","Y",NA,0.012,1,"seeddrop",43.20847803,-116.9951781,179.29,8.45652941176471,0,95.2,0.252741935483871,10.2890322580645,153.7,4.03203296703297,1.85428571428571,0,0,0,0,45,0,0,0
"Boise_High",2022,"control","W",9,"Y","Y",7,0.021,0,"",43.20847803,-116.9951781,179.29,8.45652941176471,0,95.2,0.252741935483871,10.2890322580645,153.7,4.03203296703297,1.85428571428571,5,0,0,0,10,0,0,0
"Boise_High",2022,"control","W",9.2,"Y","Y",2,0.012,0,NA,43.20847803,-116.9951781,179.29,8.45652941176471,0,95.2,0.252741935483871,10.2890322580645,153.7,4.03203296703297,1.85428571428571,0,0,0,0,15,0,0,0
"Boise_High",2022,"control","W",9.4,"Y","Y",8,0.012,0,NA,43.20847803,-116.9951781,179.29,8.45652941176471,0,95.2,0.252741935483871,10.2890322580645,153.7,4.03203296703297,1.85428571428571,5,0,0,0,0,0,0,0
"Boise_High",2022,"control","W",9.6,"Y","N",0,NA,0,NA,43.20847803,-116.9951781,179.29,8.45652941176471,0,95.2,0.252741935483871,10.2890322580645,153.7,4.03203296703297,1.85428571428571,0,0,0,2,50,0,0,0
"Boise_High",2022,"control","W",9.8,"Y","Y",17,0.042,0,NA,43.20847803,-116.9951781,179.29,8.45652941176471,0,95.2,0.252741935483871,10.2890322580645,153.7,4.03203296703297,1.85428571428571,0,0,0,0,30,0,0,0
"Boise_High",2022,"control","W",10,"N","N",0,NA,0,NA,43.20847803,-116.9951781,179.29,8.45652941176471,0,95.2,0.252741935483871,10.2890322580645,153.7,4.03203296703297,1.85428571428571,0,0,0,0,15,0,0,0
"Boise_High",2022,"removal","E",2.2,"N","N",0,NA,0,NA,43.20847803,-116.9951781,179.29,8.45652941176471,0,95.2,0.252741935483871,10.2890322580645,153.7,4.03203296703297,1.85428571428571,5,0,0,0,0,0,0,0
"Boise_High",2022,"removal","E",2.4,"Y","Y",100,0.186,0,"",43.20847803,-116.9951781,179.29,8.45652941176471,0,95.2,0.252741935483871,10.2890322580645,153.7,4.03203296703297,1.85428571428571,0,10,5,0,0,0,0,0
"Boise_High",2022,"removal","E",2.6,"Y","Y",100,0.356,0,"",43.20847803,-116.9951781,179.29,8.45652941176471,0,95.2,0.252741935483871,10.2890322580645,153.7,4.03203296703297,1.85428571428571,NA,NA,NA,NA,NA,NA,NA,NA
"Boise_High",2022,"removal","E",2.8,"Y","N",0,NA,0,NA,43.20847803,-116.9951781,179.29,8.45652941176471,0,95.2,0.252741935483871,10.2890322580645,153.7,4.03203296703297,1.85428571428571,5,0,0,0,0,0,0,0
"Boise_High",2022,"removal","E",3,"Y","Y",100,0.339,0,"",43.20847803,-116.9951781,179.29,8.45652941176471,0,95.2,0.252741935483871,10.2890322580645,153.7,4.03203296703297,1.85428571428571,5,0,5,0,0,0,0,0
"Boise_High",2022,"removal","E",3.2,"Y","Y",48,0.056,0,NA,43.20847803,-116.9951781,179.29,8.45652941176471,0,95.2,0.252741935483871,10.2890322580645,153.7,4.03203296703297,1.85428571428571,0,0,10,15,0,0,0,0
"Boise_High",2022,"removal","E",3.4,"Y","Y",85,0.11,0,"",43.20847803,-116.9951781,179.29,8.45652941176471,0,95.2,0.252741935483871,10.2890322580645,153.7,4.03203296703297,1.85428571428571,0,0,10,5,0,0,0,0
"Boise_High",2022,"removal","E",3.6,"Y","N",0,NA,0,NA,43.20847803,-116.9951781,179.29,8.45652941176471,0,95.2,0.252741935483871,10.2890322580645,153.7,4.03203296703297,1.85428571428571,NA,NA,NA,NA,NA,NA,NA,NA
"Boise_High",2022,"removal","E",3.8,"Y","Y",43,0.046,0,"",43.20847803,-116.9951781,179.29,8.45652941176471,0,95.2,0.252741935483871,10.2890322580645,153.7,4.03203296703297,1.85428571428571,0,0,5,5,0,0,0,0
"Boise_High",2022,"removal","E",4,"Y","Y",100,0.244,0,"",43.20847803,-116.9951781,179.29,8.45652941176471,0,95.2,0.252741935483871,10.2890322580645,153.7,4.03203296703297,1.85428571428571,NA,NA,NA,NA,NA,NA,NA,NA
"Boise_High",2022,"removal","E",4.2,"Y","N",0,NA,0,NA,43.20847803,-116.9951781,179.29,8.45652941176471,0,95.2,0.252741935483871,10.2890322580645,153.7,4.03203296703297,1.85428571428571,0,0,0,10,0,0,0,0
"Boise_High",2022,"removal","E",4.4,"Y","N",0,NA,0,NA,43.20847803,-116.9951781,179.29,8.45652941176471,0,95.2,0.252741935483871,10.2890322580645,153.7,4.03203296703297,1.85428571428571,NA,NA,NA,NA,NA,NA,NA,NA
"Boise_High",2022,"removal","E",4.6,"Y","Y",100,0.681,0,"",43.20847803,-116.9951781,179.29,8.45652941176471,0,95.2,0.252741935483871,10.2890322580645,153.7,4.03203296703297,1.85428571428571,0,0,0,15,0,0,0,0
"Boise_High",2022,"removal","E",4.8,"Y","Y",100,0.281,0,"",43.20847803,-116.9951781,179.29,8.45652941176471,0,95.2,0.252741935483871,10.2890322580645,153.7,4.03203296703297,1.85428571428571,0,0,0,5,0,0,0,0
