species,update,duration,duration2,type,type2,c3c4,notes
Sporobolus,Sporobolus spp,perennial,,grass,,c4,
Sporobolus cryptandrus,,perennial,,grass,,c4,
Stipa comata,Hesperostipa comata,perennial,,grass,,c3,
Thinopyrum intermedium,,perennial,,grass,,c3,
CRIN,Crategus spp,perennial,,shrub,tree,,should doublecheck
LUAR,Lupinus arboreus,perennial,,shrub,subshrub,,should doublecheck
Artemisia tridentata,,perennial,,shrub,,,
Artemisia tridentata wyomingensis,,perennial,,shrub,,,
Atriplex confertifolia,,perennial,,shrub,subshrub,,
Chrysothamnus viscidiflorus,,perennial,,shrub,,,
Ephedra viridis,,perennial,,shrub,,,
Ericameria nauseosum,Ericameria nauseosa,perennial,,shrub,subshrub,,
Lonicera arizonica,,perennial,,shrub,vine,,
Opuntia polyacantha,,perennial,,shrub,,,
Rhus trilobata,,perennial,,shrub,,,
Tetradymia canescens,,perennial,,shrub,subshrub,,
Artemisia fridiga,Artemisia frigida,perennial,,subshrub,,,
Artemisia frigida,,perennial,,subshrub,,,
Tree,unknown tree,perennial,,tree,,,
Lupinus spp,,perennial,,,,,not sure of type
Astragalus convallarius,,perennial ,,forb,,,
Standing dead,dead,,,dead,,,
bristly linear forb,unknown forb,,,forb,,,not sure of duration
bristly linear leaved unknown forb,unknown forb,,,forb,,,not sure of duration
Euphorbia,Euphorbia spp,,,forb,,,not sure of duration
Exotic forb,,,,forb,,,not sure of duration
Forb,unknown forb,,,forb,,,not sure of duration
FORB,unknown forb,,,forb,,,not sure of duration
Sphaeralcea spp,,,,forb,,,not sure of duration
unk forb,unknown forb,,,forb,,,not sure of duration
UNKFB1,unknown forb,,,forb,,,not sure of duration
UNKFB3,unknown forb,,,forb,,,not sure of duration
unknown forb,,,,forb,,,not sure of duration
"unknown forb, hairy, linear leaves, no flowers",unknown forb,,,forb,,,not sure of duration
Exotic grass,,,,grass,,,not sure of duration
UNKGS1,unknown grass,,,grass,,,not sure of duration
UNKGS2,unknown grass,,,grass,,,not sure of duration
Moss,moss,,,moss,,,
MOSS,moss,,,moss,,,
animal droppings,scat,,,non-plant,,,
Animal scat,scat,,,non-plant,,,
Animal Scat,scat,,,non-plant,,,
Bare,bare,,,non-plant,,,
bare soil,bare,,,non-plant,,,
Bare soil,bare,,,non-plant,,,
Biocrust,biocrust,,,non-plant,,,
Biocrust - Early,biocrust,,,non-plant,,,
Biocrust - Late,biocrust,,,non-plant,,,
biocrust early,biocrust,,,non-plant,,,
biocrust late,biocrust,,,non-plant,,,
Biocrust late,biocrust,,,non-plant,,,
Dark cyanobacteria,cyanobacteria,,,non-plant,,,
Dung,scat,,,non-plant,,,
Early successional biocrust,biocrust,,,non-plant,,,
late successional biocrust,biocrust,,,non-plant,,,
Late successional biocrust,biocrust,,,non-plant,,,
Lichen,,,,non-plant,,,
Light cyanobacteria,cyanobacteria,,,non-plant,,,
litter,,,,non-plant,,,
Litter,litter,,,non-plant,,,
Mushroom,,,,non-plant,,,
rock,,,,non-plant,,,
Rock,rock,,,non-plant,,,
Soil,soil,,,non-plant,,,
Wood,litter,,,non-plant,,,
Shrub,unknown shrub,,,shrub,,,not sure of duration
not found,unknown,,,unknown,,,
Pink,unknown,,,unknown,,,
ANDI,,,,,,,not sure based on USDA database
ANMI,,,,,,,not sure based on USDA database
ASSC,,,,,,,not sure based on USDA database
Draba repens,,,,,,,not sure based on USDA database
EPBR,Epilobium spp,,,,,,not sure based on USDA database
ERCO,,,,,,,not sure based on USDA database
ERFI,,,,,,,not sure based on USDA database
ERPU,,,,,,,not sure based on USDA database
GADE,,,,,,,not sure based on USDA database
LARA,,,,,,,not sure based on USDA database
LEPU,,,,,,,not sure based on USDA database
LESB,,,,,,,not sure based on USDA database
LSB,,,,,,,not sure based on USDA database
PHAC,,,,,,,not sure based on USDA database
SATR,,,,,,,not sure based on USDA database
SEIN,,,,,,,not sure based on USDA database
SPCR,,,,,,,not sure based on USDA database
ZIPA,,,,,,,not sure based on USDA database
Draba spp,,,,,,,not sure of duration
soil,,,,,,,
Unknown pink,unknown,,,,,,
