trait,trait_description,study,study_description,n_gen
root_length_cm_by_diam_class_mm_1_5_l_2_0,cumulative root length for root diameter > 1.5cm and <= 2.0cm,walker,greenhouse experiment with no treatments; experiment lasted 35 days,70
root_length_cm_by_diam_class_mm_2_0_l_2_5,cumulative root length for root diameter > 2.0cm and <= 2.5cm,walker,greenhouse experiment with no treatments; experiment lasted 35 days,70
root_length_cm_by_diam_class_mm_2_5_l_3_0,cumulative root length for root diameter > 2.5cm and <= 3.0cm,walker,greenhouse experiment with no treatments; experiment lasted 35 days,70
root_length_cm_by_diam_class_mm_3_0_l_3_5,cumulative root length for root diameter > 3.0cm and <= 3.5cm,walker,greenhouse experiment with no treatments; experiment lasted 35 days,70
root_length_cm_by_diam_class_mm_3_5_l_4_0,cumulative root length for root diameter > 3.5cm and <= 4.0cm,walker,greenhouse experiment with no treatments; experiment lasted 35 days,70
root_length_cm_by_diam_class_mm_4_0_l_4_5,cumulative root length for root diameter > 4.0cm and <= 4.5cm,walker,greenhouse experiment with no treatments; experiment lasted 35 days,70
root_length_cm_by_diam_class_mm_l_4_5,cumulative root length for root diameter > 4.5cm ,walker,greenhouse experiment with no treatments; experiment lasted 35 days,70
root_no_crossings,number of root crossings,walker,greenhouse experiment with no treatments; experiment lasted 35 days,70
root_no_forks,number of root forks,walker,greenhouse experiment with no treatments; experiment lasted 35 days,70
root_no_tips,number of root tips,walker,greenhouse experiment with no treatments; experiment lasted 35 days,70
root_proj_area_cm2,2D root area (cm2),walker,greenhouse experiment with no treatments; experiment lasted 35 days,70
root_surf_area_cm2,root surface area (cm2),walker,greenhouse experiment with no treatments; experiment lasted 35 days,70
root_vol_cm3,root volume (cm3),walker,greenhouse experiment with no treatments; experiment lasted 35 days,70
seed_proj_area_cm2,2D area of individual seed before planting (cm2),walker,greenhouse experiment with no treatments; experiment lasted 35 days,70
seed_wt_g,weight of individual seed before planting (grams),walker,greenhouse experiment with no treatments; experiment lasted 35 days,70
shoot_dry_wt_g,dry aboveground biomass (grams),walker,greenhouse experiment with no treatments; experiment lasted 35 days,70
shoot_leaf_area_cm2,surface area of aboveground biomass (cm2),walker,greenhouse experiment with no treatments; experiment lasted 35 days,70
tiller_no_35d,number of tillers on plant observed 35 days after seed planting,walker,greenhouse experiment with no treatments; experiment lasted 35 days,70
time_to_emergence_d,number of days until emergence observed,walker,greenhouse experiment with no treatments; experiment lasted 35 days,70
