genotype,site_code,latitude,longitude,study,trait,measured?
1,AAFC04,50.08,-120.65,davidson,min_temp_reached,no
1,AAFC04,50.08,-120.65,walker,root_length_cm_by_diam_class_mm_2_0_l_2_5,yes
1,AAFC04,50.08,-120.65,walker,root_length_cm_by_diam_class_mm_2_5_l_3_0,yes
1,AAFC04,50.08,-120.65,walker,root_length_cm_by_diam_class_mm_3_0_l_3_5,yes
1,AAFC04,50.08,-120.65,walker,root_length_cm_by_diam_class_mm_3_5_l_4_0,yes
1,AAFC04,50.08,-120.65,walker,root_length_cm_by_diam_class_mm_4_0_l_4_5,yes
1,AAFC04,50.08,-120.65,walker,root_length_cm_by_diam_class_mm_l_4_5,yes
1,AAFC04,50.08,-120.65,cg_2022,first_flower,yes
1,AAFC04,50.08,-120.65,cg_2022,inflor_mass,yes
1,AAFC04,50.08,-120.65,cg_2022,veg_mass,yes
1,AAFC04,50.08,-120.65,cg_2022,seed_count,yes
1,AAFC04,50.08,-120.65,walker,root_length_cm_by_diam_class_mm_0_l_0_5,yes
1,AAFC04,50.08,-120.65,walker,root_length_cm_by_diam_class_mm_0_5_l_1_0,yes
1,AAFC04,50.08,-120.65,walker,root_length_cm_by_diam_class_mm_1_0_l_1_5,yes
1,AAFC04,50.08,-120.65,walker,root_length_cm_by_diam_class_mm_1_5_l_2_0,yes
1,AAFC04,50.08,-120.65,walker,root_avg_diam_mm,yes
1,AAFC04,50.08,-120.65,walker,root_vol_cm3,yes
1,AAFC04,50.08,-120.65,walker,root_proj_area_cm2,yes
1,AAFC04,50.08,-120.65,walker,root_surf_area_cm2,yes
1,AAFC04,50.08,-120.65,walker,root_no_crossings,yes
1,AAFC04,50.08,-120.65,walker,root_no_tips,yes
1,AAFC04,50.08,-120.65,walker,root_no_forks,yes
2,AAFC05,50.09,-120.45,walker,root_length_cm_by_diam_class_mm_4_0_l_4_5,yes
2,AAFC05,50.09,-120.45,walker,root_length_cm_by_diam_class_mm_3_5_l_4_0,yes
2,AAFC05,50.09,-120.45,walker,root_length_cm_by_diam_class_mm_1_5_l_2_0,yes
2,AAFC05,50.09,-120.45,walker,root_length_cm_by_diam_class_mm_2_0_l_2_5,yes
2,AAFC05,50.09,-120.45,walker,root_length_cm_by_diam_class_mm_2_5_l_3_0,yes
2,AAFC05,50.09,-120.45,walker,root_length_cm_by_diam_class_mm_3_0_l_3_5,yes
2,AAFC05,50.09,-120.45,gamba,tillers_n,yes
2,AAFC05,50.09,-120.45,gamba,leaves_n,yes
2,AAFC05,50.09,-120.45,walker,root_length_cm_by_diam_class_mm_l_4_5,yes
2,AAFC05,50.09,-120.45,cg_2022,first_flower,yes
2,AAFC05,50.09,-120.45,cg_2022,inflor_mass,yes
2,AAFC05,50.09,-120.45,cg_2022,veg_mass,yes
2,AAFC05,50.09,-120.45,cg_2022,seed_count,yes
2,AAFC05,50.09,-120.45,gamba,seed_m,yes
2,AAFC05,50.09,-120.45,gamba,seed_n,yes
2,AAFC05,50.09,-120.45,gamba,seed1m,yes
2,AAFC05,50.09,-120.45,gamba,seedling_height_cm,yes
2,AAFC05,50.09,-120.45,gamba,adult_height_cm,yes
2,AAFC05,50.09,-120.45,gamba,spring_growth_cm,yes
2,AAFC05,50.09,-120.45,walker,root_proj_area_cm2,yes
2,AAFC05,50.09,-120.45,walker,root_surf_area_cm2,yes
2,AAFC05,50.09,-120.45,walker,root_avg_diam_mm,yes
2,AAFC05,50.09,-120.45,walker,root_vol_cm3,yes
2,AAFC05,50.09,-120.45,walker,root_no_tips,yes
2,AAFC05,50.09,-120.45,walker,root_no_forks,yes
2,AAFC05,50.09,-120.45,walker,root_no_crossings,yes
2,AAFC05,50.09,-120.45,walker,root_length_cm_by_diam_class_mm_0_l_0_5,yes
2,AAFC05,50.09,-120.45,walker,root_length_cm_by_diam_class_mm_0_5_l_1_0,yes
2,AAFC05,50.09,-120.45,walker,root_length_cm_by_diam_class_mm_1_0_l_1_5,yes
2,AAFC05,50.09,-120.45,davidson,phen_score,no
2,AAFC05,50.09,-120.45,davidson,freezing_point,no
2,AAFC05,50.09,-120.45,davidson,min_temp_reached,no
2,AAFC05,50.09,-120.45,davidson,d_fv_fm,no
2,AAFC05,50.09,-120.45,davidson,sla_m2_kg,no
2,AAFC05,50.09,-120.45,gamba,days_to_flower,yes
2,AAFC05,50.09,-120.45,gamba,inflor_height_cm,yes
2,AAFC05,50.09,-120.45,gamba,inflor_number,yes
2,AAFC05,50.09,-120.45,gamba,veg_biomass_mg,yes
2,AAFC05,50.09,-120.45,gamba,rep_biomass_mg,yes
2,AAFC05,50.09,-120.45,gamba,total_dry_biomass_mg,yes
2,AAFC05,50.09,-120.45,walker,leaf_no_21d,yes
2,AAFC05,50.09,-120.45,walker,leaf_no_35d,yes
2,AAFC05,50.09,-120.45,walker,tiller_no_35d,yes
2,AAFC05,50.09,-120.45,walker,shoot_dry_wt_g,yes
2,AAFC05,50.09,-120.45,walker,shoot_leaf_area_cm2,yes
2,AAFC05,50.09,-120.45,walker,root_dry_wt_g,yes
2,AAFC05,50.09,-120.45,walker,root_length_cm,yes
2,AAFC05,50.09,-120.45,walker,plant_ht_21d_cm,yes
2,AAFC05,50.09,-120.45,walker,seed_wt_g,yes
2,AAFC05,50.09,-120.45,walker,seed_proj_area_cm2,yes
2,AAFC05,50.09,-120.45,walker,time_to_emergence_d,yes
2,AAFC05,50.09,-120.45,walker,plant_ht_35d_cm,yes
3,AAFC06,50.09,-120.75,gamba,inflor_number,yes
3,AAFC06,50.09,-120.75,davidson,phen_score,no
3,AAFC06,50.09,-120.75,davidson,freezing_point,no
3,AAFC06,50.09,-120.75,davidson,min_temp_reached,no
3,AAFC06,50.09,-120.75,davidson,d_fv_fm,no
3,AAFC06,50.09,-120.75,davidson,sla_m2_kg,no
3,AAFC06,50.09,-120.75,gamba,days_to_flower,yes
3,AAFC06,50.09,-120.75,gamba,inflor_height_cm,yes
3,AAFC06,50.09,-120.75,walker,seed_proj_area_cm2,no
3,AAFC06,50.09,-120.75,walker,time_to_emergence_d,no
3,AAFC06,50.09,-120.75,walker,plant_ht_21d_cm,no
3,AAFC06,50.09,-120.75,walker,plant_ht_35d_cm,no
3,AAFC06,50.09,-120.75,walker,leaf_no_21d,no
3,AAFC06,50.09,-120.75,walker,leaf_no_35d,no
3,AAFC06,50.09,-120.75,walker,tiller_no_35d,no
3,AAFC06,50.09,-120.75,walker,shoot_dry_wt_g,no
3,AAFC06,50.09,-120.75,walker,shoot_leaf_area_cm2,no
3,AAFC06,50.09,-120.75,walker,root_dry_wt_g,no
3,AAFC06,50.09,-120.75,walker,root_length_cm,no
3,AAFC06,50.09,-120.75,walker,root_proj_area_cm2,no
3,AAFC06,50.09,-120.75,walker,root_surf_area_cm2,no
3,AAFC06,50.09,-120.75,walker,root_avg_diam_mm,no
3,AAFC06,50.09,-120.75,walker,root_vol_cm3,no
3,AAFC06,50.09,-120.75,walker,root_no_tips,no
3,AAFC06,50.09,-120.75,walker,root_no_forks,no
3,AAFC06,50.09,-120.75,walker,root_no_crossings,no
3,AAFC06,50.09,-120.75,walker,root_length_cm_by_diam_class_mm_0_l_0_5,no
3,AAFC06,50.09,-120.75,walker,root_length_cm_by_diam_class_mm_0_5_l_1_0,no
3,AAFC06,50.09,-120.75,walker,root_length_cm_by_diam_class_mm_1_0_l_1_5,no
3,AAFC06,50.09,-120.75,walker,root_length_cm_by_diam_class_mm_1_5_l_2_0,no
3,AAFC06,50.09,-120.75,walker,root_length_cm_by_diam_class_mm_2_0_l_2_5,no
3,AAFC06,50.09,-120.75,walker,root_length_cm_by_diam_class_mm_2_5_l_3_0,no
3,AAFC06,50.09,-120.75,walker,root_length_cm_by_diam_class_mm_3_0_l_3_5,no
3,AAFC06,50.09,-120.75,walker,root_length_cm_by_diam_class_mm_3_5_l_4_0,no
3,AAFC06,50.09,-120.75,walker,root_length_cm_by_diam_class_mm_4_0_l_4_5,no
3,AAFC06,50.09,-120.75,walker,root_length_cm_by_diam_class_mm_l_4_5,no
3,AAFC06,50.09,-120.75,gamba,veg_biomass_mg,yes
3,AAFC06,50.09,-120.75,gamba,rep_biomass_mg,yes
3,AAFC06,50.09,-120.75,gamba,total_dry_biomass_mg,yes
3,AAFC06,50.09,-120.75,gamba,seed_m,yes
3,AAFC06,50.09,-120.75,gamba,seed_n,yes
3,AAFC06,50.09,-120.75,gamba,seed1m,yes
3,AAFC06,50.09,-120.75,gamba,seedling_height_cm,yes
3,AAFC06,50.09,-120.75,gamba,adult_height_cm,yes
3,AAFC06,50.09,-120.75,gamba,spring_growth_cm,yes
3,AAFC06,50.09,-120.75,gamba,tillers_n,yes
3,AAFC06,50.09,-120.75,gamba,leaves_n,yes
3,AAFC06,50.09,-120.75,walker,seed_wt_g,no
3,AAFC06,50.09,-120.75,cg_2022,first_flower,yes
3,AAFC06,50.09,-120.75,cg_2022,inflor_mass,yes
3,AAFC06,50.09,-120.75,cg_2022,veg_mass,yes
3,AAFC06,50.09,-120.75,cg_2022,seed_count,yes
5,AAFC08,49.57,-120.55,cg_2022,first_flower,yes
5,AAFC08,49.57,-120.55,cg_2022,inflor_mass,yes
5,AAFC08,49.57,-120.55,cg_2022,veg_mass,yes
5,AAFC08,49.57,-120.55,cg_2022,seed_count,yes
5,AAFC08,49.57,-120.55,gamba,seedling_height_cm,yes
5,AAFC08,49.57,-120.55,gamba,adult_height_cm,yes
5,AAFC08,49.57,-120.55,gamba,spring_growth_cm,yes
5,AAFC08,49.57,-120.55,gamba,tillers_n,yes
5,AAFC08,49.57,-120.55,gamba,leaves_n,yes
5,AAFC08,49.57,-120.55,walker,seed_wt_g,no
5,AAFC08,49.57,-120.55,walker,seed_proj_area_cm2,no
5,AAFC08,49.57,-120.55,walker,time_to_emergence_d,no
5,AAFC08,49.57,-120.55,walker,plant_ht_21d_cm,no
5,AAFC08,49.57,-120.55,gamba,total_dry_biomass_mg,yes
5,AAFC08,49.57,-120.55,gamba,seed_m,yes
5,AAFC08,49.57,-120.55,gamba,seed_n,yes
5,AAFC08,49.57,-120.55,gamba,seed1m,yes
5,AAFC08,49.57,-120.55,walker,shoot_dry_wt_g,no
5,AAFC08,49.57,-120.55,walker,shoot_leaf_area_cm2,no
5,AAFC08,49.57,-120.55,walker,root_dry_wt_g,no
5,AAFC08,49.57,-120.55,walker,root_length_cm,no
5,AAFC08,49.57,-120.55,walker,root_proj_area_cm2,no
5,AAFC08,49.57,-120.55,walker,root_surf_area_cm2,no
5,AAFC08,49.57,-120.55,walker,root_avg_diam_mm,no
5,AAFC08,49.57,-120.55,walker,root_vol_cm3,no
5,AAFC08,49.57,-120.55,walker,root_no_tips,no
5,AAFC08,49.57,-120.55,walker,plant_ht_35d_cm,no
5,AAFC08,49.57,-120.55,walker,leaf_no_21d,no
5,AAFC08,49.57,-120.55,walker,leaf_no_35d,no
5,AAFC08,49.57,-120.55,walker,tiller_no_35d,no
5,AAFC08,49.57,-120.55,davidson,phen_score,yes
5,AAFC08,49.57,-120.55,davidson,freezing_point,yes
5,AAFC08,49.57,-120.55,davidson,min_temp_reached,yes
5,AAFC08,49.57,-120.55,davidson,d_fv_fm,yes
5,AAFC08,49.57,-120.55,davidson,sla_m2_kg,yes
5,AAFC08,49.57,-120.55,gamba,days_to_flower,yes
5,AAFC08,49.57,-120.55,gamba,inflor_height_cm,yes
5,AAFC08,49.57,-120.55,gamba,inflor_number,yes
5,AAFC08,49.57,-120.55,gamba,veg_biomass_mg,yes
5,AAFC08,49.57,-120.55,gamba,rep_biomass_mg,yes
5,AAFC08,49.57,-120.55,walker,root_no_forks,no
5,AAFC08,49.57,-120.55,walker,root_no_crossings,no
5,AAFC08,49.57,-120.55,walker,root_length_cm_by_diam_class_mm_0_l_0_5,no
5,AAFC08,49.57,-120.55,walker,root_length_cm_by_diam_class_mm_0_5_l_1_0,no
5,AAFC08,49.57,-120.55,walker,root_length_cm_by_diam_class_mm_1_0_l_1_5,no
5,AAFC08,49.57,-120.55,walker,root_length_cm_by_diam_class_mm_1_5_l_2_0,no
5,AAFC08,49.57,-120.55,walker,root_length_cm_by_diam_class_mm_2_0_l_2_5,no
5,AAFC08,49.57,-120.55,walker,root_length_cm_by_diam_class_mm_2_5_l_3_0,no
5,AAFC08,49.57,-120.55,walker,root_length_cm_by_diam_class_mm_3_0_l_3_5,no
5,AAFC08,49.57,-120.55,walker,root_length_cm_by_diam_class_mm_3_5_l_4_0,no
5,AAFC08,49.57,-120.55,walker,root_length_cm_by_diam_class_mm_4_0_l_4_5,no
5,AAFC08,49.57,-120.55,walker,root_length_cm_by_diam_class_mm_l_4_5,no
6,AAFC09,49.62,-119.8,gamba,seed_n,yes
6,AAFC09,49.62,-119.8,davidson,phen_score,yes
6,AAFC09,49.62,-119.8,davidson,freezing_point,yes
6,AAFC09,49.62,-119.8,davidson,min_temp_reached,yes
6,AAFC09,49.62,-119.8,davidson,d_fv_fm,yes
6,AAFC09,49.62,-119.8,davidson,sla_m2_kg,yes
6,AAFC09,49.62,-119.8,gamba,days_to_flower,no
6,AAFC09,49.62,-119.8,gamba,inflor_height_cm,no
6,AAFC09,49.62,-119.8,gamba,inflor_number,no
6,AAFC09,49.62,-119.8,gamba,veg_biomass_mg,no
6,AAFC09,49.62,-119.8,gamba,rep_biomass_mg,no
6,AAFC09,49.62,-119.8,gamba,total_dry_biomass_mg,no
6,AAFC09,49.62,-119.8,gamba,seed_m,yes
6,AAFC09,49.62,-119.8,walker,leaf_no_35d,no
6,AAFC09,49.62,-119.8,gamba,seed1m,no
6,AAFC09,49.62,-119.8,gamba,seedling_height_cm,yes
6,AAFC09,49.62,-119.8,gamba,adult_height_cm,yes
6,AAFC09,49.62,-119.8,gamba,spring_growth_cm,yes
6,AAFC09,49.62,-119.8,gamba,tillers_n,yes
6,AAFC09,49.62,-119.8,gamba,leaves_n,yes
6,AAFC09,49.62,-119.8,walker,seed_wt_g,no
6,AAFC09,49.62,-119.8,walker,seed_proj_area_cm2,no
6,AAFC09,49.62,-119.8,walker,time_to_emergence_d,no
6,AAFC09,49.62,-119.8,walker,plant_ht_21d_cm,no
6,AAFC09,49.62,-119.8,walker,plant_ht_35d_cm,no
6,AAFC09,49.62,-119.8,walker,leaf_no_21d,no
6,AAFC09,49.62,-119.8,walker,root_length_cm_by_diam_class_mm_0_l_0_5,no
6,AAFC09,49.62,-119.8,walker,root_length_cm_by_diam_class_mm_0_5_l_1_0,no
6,AAFC09,49.62,-119.8,walker,root_length_cm_by_diam_class_mm_1_0_l_1_5,no
6,AAFC09,49.62,-119.8,walker,root_length_cm_by_diam_class_mm_1_5_l_2_0,no
6,AAFC09,49.62,-119.8,walker,root_length_cm_by_diam_class_mm_2_0_l_2_5,no
6,AAFC09,49.62,-119.8,walker,root_length_cm_by_diam_class_mm_2_5_l_3_0,no
6,AAFC09,49.62,-119.8,walker,root_length_cm_by_diam_class_mm_3_0_l_3_5,no
6,AAFC09,49.62,-119.8,walker,root_length_cm_by_diam_class_mm_3_5_l_4_0,no
6,AAFC09,49.62,-119.8,walker,root_length_cm_by_diam_class_mm_4_0_l_4_5,no
6,AAFC09,49.62,-119.8,walker,root_length_cm_by_diam_class_mm_l_4_5,no
6,AAFC09,49.62,-119.8,cg_2022,first_flower,yes
6,AAFC09,49.62,-119.8,cg_2022,inflor_mass,yes
6,AAFC09,49.62,-119.8,cg_2022,veg_mass,yes
6,AAFC09,49.62,-119.8,cg_2022,seed_count,yes
6,AAFC09,49.62,-119.8,walker,root_dry_wt_g,no
6,AAFC09,49.62,-119.8,walker,tiller_no_35d,no
6,AAFC09,49.62,-119.8,walker,shoot_dry_wt_g,no
6,AAFC09,49.62,-119.8,walker,shoot_leaf_area_cm2,no
6,AAFC09,49.62,-119.8,walker,root_avg_diam_mm,no
6,AAFC09,49.62,-119.8,walker,root_length_cm,no
6,AAFC09,49.62,-119.8,walker,root_proj_area_cm2,no
6,AAFC09,49.62,-119.8,walker,root_surf_area_cm2,no
6,AAFC09,49.62,-119.8,walker,root_no_crossings,no
6,AAFC09,49.62,-119.8,walker,root_vol_cm3,no
6,AAFC09,49.62,-119.8,walker,root_no_tips,no
6,AAFC09,49.62,-119.8,walker,root_no_forks,no
7,AAFC10,49.71,-120.05,davidson,phen_score,no
7,AAFC10,49.71,-120.05,gamba,seed1m,no
7,AAFC10,49.71,-120.05,davidson,freezing_point,no
7,AAFC10,49.71,-120.05,davidson,min_temp_reached,no
7,AAFC10,49.71,-120.05,davidson,d_fv_fm,no
7,AAFC10,49.71,-120.05,davidson,sla_m2_kg,no
7,AAFC10,49.71,-120.05,gamba,days_to_flower,yes
7,AAFC10,49.71,-120.05,gamba,inflor_height_cm,no
7,AAFC10,49.71,-120.05,gamba,inflor_number,no
7,AAFC10,49.71,-120.05,gamba,veg_biomass_mg,yes
7,AAFC10,49.71,-120.05,gamba,rep_biomass_mg,yes
7,AAFC10,49.71,-120.05,gamba,total_dry_biomass_mg,yes
7,AAFC10,49.71,-120.05,gamba,seed_m,yes
7,AAFC10,49.71,-120.05,gamba,seed_n,yes
7,AAFC10,49.71,-120.05,walker,leaf_no_35d,yes
7,AAFC10,49.71,-120.05,walker,tiller_no_35d,yes
7,AAFC10,49.71,-120.05,walker,shoot_dry_wt_g,yes
7,AAFC10,49.71,-120.05,walker,shoot_leaf_area_cm2,yes
7,AAFC10,49.71,-120.05,walker,root_dry_wt_g,yes
7,AAFC10,49.71,-120.05,walker,root_length_cm,yes
7,AAFC10,49.71,-120.05,walker,root_proj_area_cm2,yes
7,AAFC10,49.71,-120.05,walker,root_surf_area_cm2,yes
7,AAFC10,49.71,-120.05,walker,root_avg_diam_mm,yes
7,AAFC10,49.71,-120.05,walker,root_vol_cm3,yes
7,AAFC10,49.71,-120.05,walker,root_no_tips,yes
7,AAFC10,49.71,-120.05,walker,root_no_forks,yes
7,AAFC10,49.71,-120.05,walker,root_no_crossings,yes
7,AAFC10,49.71,-120.05,walker,root_length_cm_by_diam_class_mm_0_l_0_5,yes
7,AAFC10,49.71,-120.05,walker,root_length_cm_by_diam_class_mm_0_5_l_1_0,yes
7,AAFC10,49.71,-120.05,walker,root_length_cm_by_diam_class_mm_1_0_l_1_5,yes
7,AAFC10,49.71,-120.05,walker,root_length_cm_by_diam_class_mm_1_5_l_2_0,yes
7,AAFC10,49.71,-120.05,walker,root_length_cm_by_diam_class_mm_2_0_l_2_5,yes
7,AAFC10,49.71,-120.05,walker,root_length_cm_by_diam_class_mm_2_5_l_3_0,yes
7,AAFC10,49.71,-120.05,walker,root_length_cm_by_diam_class_mm_3_0_l_3_5,yes
7,AAFC10,49.71,-120.05,walker,root_length_cm_by_diam_class_mm_3_5_l_4_0,yes
7,AAFC10,49.71,-120.05,walker,root_length_cm_by_diam_class_mm_4_0_l_4_5,yes
7,AAFC10,49.71,-120.05,walker,root_length_cm_by_diam_class_mm_l_4_5,yes
7,AAFC10,49.71,-120.05,cg_2022,first_flower,yes
7,AAFC10,49.71,-120.05,cg_2022,inflor_mass,yes
7,AAFC10,49.71,-120.05,cg_2022,veg_mass,yes
7,AAFC10,49.71,-120.05,cg_2022,seed_count,yes
7,AAFC10,49.71,-120.05,gamba,spring_growth_cm,yes
7,AAFC10,49.71,-120.05,gamba,tillers_n,yes
7,AAFC10,49.71,-120.05,gamba,seedling_height_cm,yes
7,AAFC10,49.71,-120.05,gamba,adult_height_cm,yes
7,AAFC10,49.71,-120.05,walker,seed_proj_area_cm2,yes
7,AAFC10,49.71,-120.05,walker,time_to_emergence_d,yes
7,AAFC10,49.71,-120.05,gamba,leaves_n,yes
7,AAFC10,49.71,-120.05,walker,seed_wt_g,yes
7,AAFC10,49.71,-120.05,walker,leaf_no_21d,yes
7,AAFC10,49.71,-120.05,walker,plant_ht_21d_cm,yes
7,AAFC10,49.71,-120.05,walker,plant_ht_35d_cm,yes
8,Blumenthal01,41.18,-104.9,walker,root_length_cm_by_diam_class_mm_2_0_l_2_5,yes
8,Blumenthal01,41.18,-104.9,walker,root_length_cm_by_diam_class_mm_1_5_l_2_0,yes
8,Blumenthal01,41.18,-104.9,gamba,seedling_height_cm,yes
8,Blumenthal01,41.18,-104.9,gamba,adult_height_cm,yes
8,Blumenthal01,41.18,-104.9,gamba,spring_growth_cm,yes
8,Blumenthal01,41.18,-104.9,gamba,tillers_n,yes
8,Blumenthal01,41.18,-104.9,gamba,leaves_n,yes
8,Blumenthal01,41.18,-104.9,walker,seed_wt_g,yes
8,Blumenthal01,41.18,-104.9,walker,seed_proj_area_cm2,yes
8,Blumenthal01,41.18,-104.9,walker,time_to_emergence_d,yes
8,Blumenthal01,41.18,-104.9,walker,plant_ht_21d_cm,yes
8,Blumenthal01,41.18,-104.9,walker,plant_ht_35d_cm,yes
8,Blumenthal01,41.18,-104.9,walker,leaf_no_21d,yes
8,Blumenthal01,41.18,-104.9,walker,leaf_no_35d,yes
8,Blumenthal01,41.18,-104.9,walker,tiller_no_35d,yes
8,Blumenthal01,41.18,-104.9,walker,shoot_dry_wt_g,yes
8,Blumenthal01,41.18,-104.9,walker,shoot_leaf_area_cm2,yes
8,Blumenthal01,41.18,-104.9,walker,root_dry_wt_g,yes
8,Blumenthal01,41.18,-104.9,walker,root_length_cm,yes
8,Blumenthal01,41.18,-104.9,walker,root_proj_area_cm2,yes
8,Blumenthal01,41.18,-104.9,walker,root_surf_area_cm2,yes
8,Blumenthal01,41.18,-104.9,walker,root_avg_diam_mm,yes
8,Blumenthal01,41.18,-104.9,walker,root_vol_cm3,yes
8,Blumenthal01,41.18,-104.9,walker,root_no_tips,yes
8,Blumenthal01,41.18,-104.9,walker,root_no_forks,yes
8,Blumenthal01,41.18,-104.9,walker,root_no_crossings,yes
8,Blumenthal01,41.18,-104.9,walker,root_length_cm_by_diam_class_mm_0_l_0_5,yes
8,Blumenthal01,41.18,-104.9,walker,root_length_cm_by_diam_class_mm_0_5_l_1_0,yes
8,Blumenthal01,41.18,-104.9,walker,root_length_cm_by_diam_class_mm_1_0_l_1_5,yes
8,Blumenthal01,41.18,-104.9,davidson,phen_score,no
8,Blumenthal01,41.18,-104.9,davidson,freezing_point,no
8,Blumenthal01,41.18,-104.9,walker,root_length_cm_by_diam_class_mm_2_5_l_3_0,yes
8,Blumenthal01,41.18,-104.9,walker,root_length_cm_by_diam_class_mm_3_0_l_3_5,yes
8,Blumenthal01,41.18,-104.9,walker,root_length_cm_by_diam_class_mm_3_5_l_4_0,yes
8,Blumenthal01,41.18,-104.9,walker,root_length_cm_by_diam_class_mm_4_0_l_4_5,yes
8,Blumenthal01,41.18,-104.9,walker,root_length_cm_by_diam_class_mm_l_4_5,yes
8,Blumenthal01,41.18,-104.9,cg_2022,first_flower,yes
8,Blumenthal01,41.18,-104.9,cg_2022,inflor_mass,yes
8,Blumenthal01,41.18,-104.9,cg_2022,veg_mass,yes
8,Blumenthal01,41.18,-104.9,cg_2022,seed_count,yes
8,Blumenthal01,41.18,-104.9,gamba,seed_m,yes
8,Blumenthal01,41.18,-104.9,gamba,seed_n,yes
8,Blumenthal01,41.18,-104.9,gamba,seed1m,yes
8,Blumenthal01,41.18,-104.9,davidson,sla_m2_kg,no
8,Blumenthal01,41.18,-104.9,gamba,days_to_flower,yes
8,Blumenthal01,41.18,-104.9,davidson,min_temp_reached,no
8,Blumenthal01,41.18,-104.9,davidson,d_fv_fm,no
8,Blumenthal01,41.18,-104.9,gamba,veg_biomass_mg,yes
8,Blumenthal01,41.18,-104.9,gamba,rep_biomass_mg,yes
8,Blumenthal01,41.18,-104.9,gamba,inflor_height_cm,yes
8,Blumenthal01,41.18,-104.9,gamba,inflor_number,yes
8,Blumenthal01,41.18,-104.9,gamba,total_dry_biomass_mg,yes
9,Adler05,40.79,-111.87,davidson,d_fv_fm,yes
9,Adler05,40.79,-111.87,davidson,sla_m2_kg,yes
9,Adler05,40.79,-111.87,gamba,seedling_height_cm,yes
9,Adler05,40.79,-111.87,gamba,adult_height_cm,yes
9,Adler05,40.79,-111.87,gamba,spring_growth_cm,yes
9,Adler05,40.79,-111.87,gamba,tillers_n,yes
9,Adler05,40.79,-111.87,gamba,days_to_flower,yes
9,Adler05,40.79,-111.87,gamba,inflor_height_cm,yes
9,Adler05,40.79,-111.87,gamba,inflor_number,yes
9,Adler05,40.79,-111.87,gamba,veg_biomass_mg,yes
9,Adler05,40.79,-111.87,gamba,rep_biomass_mg,yes
9,Adler05,40.79,-111.87,gamba,total_dry_biomass_mg,yes
9,Adler05,40.79,-111.87,gamba,seed_m,yes
9,Adler05,40.79,-111.87,gamba,seed_n,yes
9,Adler05,40.79,-111.87,gamba,seed1m,yes
9,Adler05,40.79,-111.87,walker,shoot_dry_wt_g,yes
9,Adler05,40.79,-111.87,walker,shoot_leaf_area_cm2,yes
9,Adler05,40.79,-111.87,walker,root_dry_wt_g,yes
9,Adler05,40.79,-111.87,walker,root_length_cm,yes
9,Adler05,40.79,-111.87,gamba,leaves_n,yes
9,Adler05,40.79,-111.87,walker,seed_wt_g,yes
9,Adler05,40.79,-111.87,walker,seed_proj_area_cm2,yes
9,Adler05,40.79,-111.87,walker,time_to_emergence_d,yes
9,Adler05,40.79,-111.87,walker,plant_ht_21d_cm,yes
9,Adler05,40.79,-111.87,walker,plant_ht_35d_cm,yes
9,Adler05,40.79,-111.87,walker,leaf_no_21d,yes
9,Adler05,40.79,-111.87,walker,leaf_no_35d,yes
9,Adler05,40.79,-111.87,walker,tiller_no_35d,yes
9,Adler05,40.79,-111.87,davidson,phen_score,yes
9,Adler05,40.79,-111.87,davidson,freezing_point,yes
9,Adler05,40.79,-111.87,davidson,min_temp_reached,yes
9,Adler05,40.79,-111.87,walker,root_length_cm_by_diam_class_mm_2_0_l_2_5,yes
