Site,Date,Last Harvest Date,# of Harvests,Recorder,Block,Plot,Density,Albedo,x,y,genotype,growout,source,lat,lon,Live,V,height,Length_mm,tillers,biomass_whole,seed_count_whole,seed_mass_whole,inflor_mass,biomass_sub,seed_count_sub,seed_mass_sub,drop_seed,notes,,
SheepStation,44747,,,,,7,high,black,8,8,100,Re,Chynoweth08,40.640878,-109.48689,N,FP,6.7,67,1,0.01,,,0.01,0,2,0.01,Y,,,
SheepStation,44741,,,,,11,high,black,9,2,31,Re,Uzra1,40.35,-119.34,N,FP,8.2,82,1,0.01,0,0,,,,,Y,ALL SEEDS DROPPED,,
SheepStation,,,,,,12,low,black,17,1,14,Re,Adler13,41.44,-111.08,N,NA,NA,NA,,,,,,,,,,,,
SheepStation,,,,,,16,low,black,6,4,32,Re,Chambers04,41.31,-117.63,N,FG,NA,NA,,,,,,,,,,,,
SheepStation,,,,,,19,high,white,1,9,17,Re,Adler17,41.44,-110.11,N,NA,NA,NA,,,,,,,,,,,,
SheepStation,,,,,,20,low,white,20,4,100,Re,Chynoweth08,40.640878,-109.48689,missing,missing,missing,missing,,,,,,,,,,,,
SheepStation,,,,,,22,low,black,2,1,44,Re,Downs03,45.9663,-120.3671,Y,NA,NA,NA,,,,,,,,,,DEAD,,
SheepStation,,,,,,22,low,black,5,5,68,Re,Porensky1,43.24,-105.18,Y,NA,NA,NA,,,,,,,,,,DEAD,,
SheepStation,,,,,,23,high,white,10,3,31,Re,Uzra1,40.35,-119.34,N,NA,NA,NA,,,,,,,,,,,,
SheepStation,44742,,,,,24,high,black,3,5,29,Re,Chambers01,39.55,-119.58,Y,FP,21.8,218,3,0.29,,,0.39,0.05,50,0.13,Y,,,
SheepStation,44742,,,,,24,high,black,3,9,34,Re,Chambers06,41.54,-117.78,Y,FP,21,210,2,0.12,,,0.1,0.02,35,0.09,N,,,
SheepStation,44748,,,,,24,high,black,9,9,14,Re,Adler13,41.44,-111.08,Y,FP,36.5,365,2,0.34,,,0.48,0.03,50,0.14,N,,,
SheepStation,44750,,,CW,,33,high,white,8,9,42,Re,Downs01,46.38145,-119.430272,Y,FG_FP,12.1,121,4,0.11,,,0.19,0.03,50,0.11,N,,,
SheepStation,,,,,,34,high,black,2,4,89,Re,Symstad1,44.59,-104.71,Y,NA,NA,NA,,,,,,,,,,ALL FLOWERS ARE DEAD,,
SheepStation,,,,,,36,low,black,15,5,72,Re,Pyke3,44.60456358,-120.1924183,N,NA,NA,NA,,,,,,,,,,,,
SheepStation,,,,,,36,low,black,18,4,88,Re,Schupp05,39.11,-112.74,N,NA,NA,NA,,,,,,,,,,,,
SheepStation,,,,,,37,high,black,5,5,38,Lo,Copeland01,43.7,-117.33,N,NA,NA,NA,,,,,,,,,,,,
SheepStation,,,,,,38,low,white,9,5,25,Re,Symstad6,41.83,-103.71,Y,NA,NA,NA,,,,,,,,,,ALL FLOWERS ARE DEAD ,,
SheepStation,,,,,,38,low,white,18,4,102,Re,Shriver02,48,-114.04,Y,NA,NA,NA,,,,,,,,,,dead,,
SheepStation,,,,,,39,low,black,18,5,66,Re,Maron1,46.68,-114.03,N,NA,NA,NA,,,,,,,,,,,,
SheepStation,,,,,,1,high,black,3,10,104,Re,Germino_BOP_01,43.4720833,-116.2338306,Y,,,0,,,,,,,,,,,,
SheepStation,,,,,,1,high,black,7,8,38,Lo,Copeland01,43.7,-117.33,Y,,,0,,,,,,,,,,,,
SheepStation,,,,,,2,high,white,8,1,74,Re,Pyke21,47.61803776,-119.6830115,Y,,,0,,,,,,,,,,,,
SheepStation,,,,,,2,high,white,10,2,51,Re,Holdrege1,41.61,-111.57,Y,,,0,,,,,,,,,,,,
SheepStation,,,,,,4,low,white,17,3,49,Re,Getts3,40.43,-120.67,Y,,,0,,,,,,,,,,,,
SheepStation,,,,,,5,low,white,2,3,36,Re,Chambers08,42.24,-114.57,Y,,,0,,,,,,,,,,,,
SheepStation,,,,,,7,high,black,7,9,73,Re,Pyke8,46.74830998,-119.361636,Y,,,0,,,,,,,,,,,,
SheepStation,,,,,,7,high,black,10,2,57,Re,JackieOtt6,43.84,-101.94,Y,,,0,,,,,,,,,,,,
SheepStation,,,,,,8,high,white,1,7,91,Re,Symstad3,43.62,-103.47,N,NA,NA,NA,,,,,,,,,,ALLFLOWERS DIED,,
SheepStation,,,,,,8,high,white,2,7,34,Re,Chambers06,41.54,-117.78,Y,,,0,,,,,,,,,,,,
SheepStation,,,,,,8,high,white,3,8,11,Re,Adler09,43.31,-112.27,Y,,,0,,,,,,,,,,,,
SheepStation,,,,,,8,high,white,7,3,32,Re,Chambers04,41.31,-117.63,Y,,,0,,,,,,,,,,,,
SheepStation,,,,,,9,high,white,1,8,74,Re,Pyke21,47.61803776,-119.6830115,Y,,,0,,,,,,,,,,,,
SheepStation,,,,,,9,high,white,7,8,93,Lo,Uzra2,40.84,-119.56,Y,,,0,,,,,,,,,,,,
SheepStation,,,,,,9,high,white,8,7,69,Re,Porensky17,43.34,-105.13,Y,,,0,,,,,,,,,,,,
SheepStation,,,,,,11,high,black,1,9,29,Re,Chambers01,39.55,-119.58,Y,,,0,,,,,,,,,,,,
SheepStation,,,,,,12,low,black,3,5,57,Re,JackieOtt6,43.84,-101.94,Y,,,0,,,,,,,,,,,,
SheepStation,,,,,,12,low,black,4,5,24,Re,Blumenthal08,40.64,-104.56,Y,,,0,,,,,,,,,,,,
SheepStation,,,,,,12,low,black,8,5,102,Re,Shriver02,48,-114.04,Y,,,0,,,,,,,,,,,,
SheepStation,,,,,,12,low,black,9,4,58,Re,JackieOtt7,43.82,-101.94,Y,,,0,,,,,,,,,,,,
SheepStation,,,,,,12,low,black,16,1,49,Re,Getts3,40.43,-120.67,Y,,,0,,,,,,,,,,,,
SheepStation,,,,,,12,low,black,18,5,82,Re,Pyle019,44.57,-119.65,Y,,,0,,,,,,,,,,,,
SheepStation,,,,,,13,low,white,1,2,83,Re,Reed01,38.52,-109.47,Y,,,0,,,,,,,,,,,,
SheepStation,,,,,,13,low,white,19,2,92,Re,Symstad4,43.71,-102.58,Y,,,0,,,,,,,,,,,,
SheepStation,,,,,,14,high,white,2,9,100,Re,Chynoweth08,40.640878,-109.48689,Y,,,0,,,,,,,,,N,,,
SheepStation,,,,,,15,high,black,2,8,53,Re,Hufft2,39.547444,-105.102111,Y,,,0,,,,,,,,,,,,
SheepStation,,,,,,15,high,black,4,8,105,Lo,Blumenthal10,40.92,-102.52,Y,,,0,,,,,,,,,,,,
SheepStation,,,,,,15,high,black,5,9,97,Lo,Chynoweth03,39.83576,-109.61202,Y,,,0,,,,,,,,,,,,
SheepStation,,,,,,15,high,black,7,7,49,Re,Getts3,40.43,-120.67,Y,,,0,,,,,,,,,,,,
SheepStation,,,,,,16,low,black,3,2,14,Re,Adler13,41.44,-111.08,Y,,,0,,,,,,,,,,,,
SheepStation,,,,,,16,low,black,7,1,42,Re,Downs01,46.38145,-119.430272,Y,,,0,,,,,,,,,,,,
SheepStation,,,,,,16,low,black,8,2,37,Re,Chambers09,40.66,-116.73,Y,,,0,,,,,,,,,,,,
SheepStation,,,,,,16,low,black,20,3,95,Lo,Wilcox02,41.31,-105.66,Y,,,0,,,,,,,,,,,,
SheepStation,,,,,,17,high,black,6,5,49,Re,Getts3,40.43,-120.67,Y,,,0,,,,,,,,,,,,
SheepStation,,,,,,17,high,black,10,7,30,Re,Chambers02,39.95,-118.76,Y,,,0,,,,,,,,,,,,
SheepStation,,,,,,18,low,black,14,5,61,Re,Lee1,36.82340833,-116.0163889,Y,,,0,,,,,,,,,,,,
SheepStation,,,,,,19,high,white,6,10,79,Re,Pyle015,43.8,-119,Y,,,0,,,,,,,,,,,,
SheepStation,,,,,,19,high,white,9,10,11,Re,Adler09,43.31,-112.27,Y,,,0,,,,,,,,,,,,
SheepStation,,,,,,20,low,white,7,4,71,Re,Porensky30,40.63,-105.27,Y,,,0,,,,,,,,,,,,
SheepStation,,,,,,20,low,white,11,2,88,Lo,Schupp05,39.11,-112.74,N,NA,NA,NA,,,,,,,,,,,,
SheepStation,,,,,,20,low,white,20,1,83,Re,Reed01,38.52,-109.47,Y,,,0,,,,,,,,,,,,
SheepStation,,,,,,21,low,white,6,4,105,Re,Blumenthal10,40.92,-102.52,Y,,,0,,,,,,,,,,,,
SheepStation,,,,,,21,low,white,6,5,88,Lo,Schupp05,39.11,-112.74,Y,,,0,,,,,,,,,,,,
SheepStation,,,,,,21,low,white,10,5,25,Re,Symstad6,41.83,-103.71,Y,,,0,,,,,,,,,,,,
SheepStation,,,,,,21,low,white,11,3,12,Re,Schupp02,40.2,-112.46,Y,,,0,,,,,,,,,,,,
SheepStation,,,,,,21,low,white,14,3,8,Re,Blumenthal01,41.18,-104.9,Y,,,0,,,,,,,,,,,,
SheepStation,,,,,,22,low,black,8,1,88,Lo,Schupp05,39.11,-112.74,Y,,,0,,,,,,,,,,,,
SheepStation,,,,,,22,low,black,10,1,63,Re,Lee3,36.5247,-115.8987,Y,,,0,,,,,,,,,,,,
SheepStation,,,,,,22,low,black,15,5,17,Re,Adler17,41.44,-110.11,Y,,,0,,,,,,,,,,,,
SheepStation,,,,,,22,low,black,16,1,90,Re,Symstad2,43.87,-103.46,Y,,,0,,,,,,,,,,,,
SheepStation,,,,,,23,high,white,3,7,46,Re,Fleishman_05,39.12,-117.27,Y,,,0,,,,,,,,,,,,
SheepStation,,,,,,24,high,black,1,10,5,Re,AAFC08,49.57,-120.55,Y,,,0,,,,,,,,,,,,
SheepStation,,,,,,24,high,black,9,7,43,Re,Downs02,46.25045,-119.53334,Y,,,0,,,,,,,,,,,,
SheepStation,,,,,,25,high,white,4,3,32,Re,Chambers04,41.31,-117.63,Y,,,0,,,,,,,,,,,,
SheepStation,,,,,,25,high,white,8,9,83,Re,Reed01,38.52,-109.47,Y,,,0,,,,,,,,,,,,
SheepStation,,,,,,25,high,white,8,10,38,Lo,Copeland01,43.7,-117.33,Y,,,0,,,,,,,,,,,,
SheepStation,,,,,,25,high,white,10,8,105,Lo,Blumenthal10,40.92,-102.52,Y,,,0,,,,,,,,,,,,
SheepStation,,,,,,26,low,white,5,5,5,Re,AAFC08,49.57,-120.55,missing,missing,missing,missing,,,,,,,,,,,,
SheepStation,,,,,,26,low,white,20,1,17,Re,Adler17,41.44,-110.11,Y,,,0,,,,,,,,,,,,
SheepStation,,,,,,27,high,black,3,3,19,Re,Barnett01,43.48,-110.74,Y,,,0,,,,,,,,,,,,
SheepStation,,,,,,27,high,black,4,3,34,Re,Chambers06,41.54,-117.78,Y,,,0,,,,,,,,,,,,
SheepStation,,,,,,27,high,black,10,5,56,Re,JackieOtt5,43.78,-102.61,Y,,,0,,,,,,,,,,,,
SheepStation,,,,,,28,low,black,2,5,55,Re,JackieOtt2,43.71,-102.32,Y,,,0,,,,,,,,,,,,
SheepStation,,,,,,29,high,white,6,10,19,Re,Barnett01,43.48,-110.74,Y,,,0,,,,,,,,,,,,
SheepStation,,,,,,30,high,black,1,5,92,Re,Symstad4,43.71,-102.58,Y,,,0,,,,,,,,,,,,
SheepStation,,,,,,30,high,black,2,6,28,Re,Bradford01,35.23,-111.62,Y,,,0,,,,,,,,,,,,
SheepStation,,,,,,30,high,black,4,4,82,Re,Pyle019,44.57,-119.65,Y,,,0,,,,,,,,,,FLOWERS CLOSE TO THE GROUND - SECONDARY?,,
SheepStation,,,,,,30,high,black,10,10,77,Re,Pyle010,43.19,-120,Y,,,0,,,,,,,,,,ALL FLOWERS DIED,,
SheepStation,,,,,,31,low,black,4,2,103,Re,Davies03,42.68,-118.68,Y,,,0,,,,,,,,,,,,
SheepStation,,,,,,31,low,black,7,3,69,Re,Porensky17,43.34,-105.13,Y,,,0,,,,,,,,,,,,
SheepStation,,,,,,31,low,black,15,5,62,Re,Lee2,35.3984,-115.7845,Y,,,0,,,,,,,,,,,,
SheepStation,,,,,,31,low,black,17,4,73,Re,Pyke8,46.74830998,-119.361636,missing,missing,missing,missing,,,,,,,,,,,,
SheepStation,,,,,,31,low,black,20,5,6,Re,AAFC09,49.62,-119.8,Y,,,0,,,,,,,,,,,,
SheepStation,,,,,,33,high,white,1,1,101,Re,Shriver01,34.06,-116.22,Y,,,0,,,,,,,,,,,,
SheepStation,,,,,,33,high,white,1,3,42,Re,Downs01,46.38145,-119.430272,Y,,,0,,,,,,,,,,,,
SheepStation,,,,,,33,high,white,1,4,83,Re,Reed01,38.52,-109.47,Y,,,0,,,,,,,,,,,,
SheepStation,,,,,,33,high,white,2,1,104,Re,Germino_BOP_01,43.4720833,-116.2338306,Y,,,0,,,,,,,,,,,,
SheepStation,,,,,,33,high,white,2,9,39,Re,Copeland05,42.27,-118.71,Y,,,0,,,,,,,,,,,,
SheepStation,,,,,,33,high,white,3,3,83,Re,Reed01,38.52,-109.47,Y,,,0,,,,,,,,,,,,
SheepStation,,,,,,33,high,white,3,6,59,Re,Lavin01,44.68,-109.07,Y,,,0,,,,,,,,,,,,
SheepStation,,,,,,33,high,white,4,9,76,Re,Pyle009,43.42,-119.62,Y,,,0,,,,,,,,,,,,
SheepStation,,,,,,33,high,white,9,8,33,Re,Chambers05,41.54,-117.75,Y,,,0,,,,,,,,,,,,
SheepStation,,,,,,34,high,black,2,2,105,Lo,Blumenthal10,40.92,-102.52,Y,,,0,,,,,,,,,,,,
SheepStation,,,,,,34,high,black,10,4,88,Re,Schupp05,39.11,-112.74,Y,,,0,,,,,,,,,,,,
SheepStation,,,,,,34,high,black,10,5,2,Re,AAFC05,50.09,-120.45,Y,,,0,,,,,,,,,,,,
SheepStation,,,,,,35,low,white,17,4,64,Re,Lee4,35.4564,-115.52,Y,,,0,,,,,,,,,,,,
SheepStation,,,,,,36,low,black,1,3,73,Re,Pyke8,46.74830998,-119.361636,Y,,,0,,,,,,,,,,,,
SheepStation,,,,,,36,low,black,9,5,18,Re,Adler18,40.86,-114.22,Y,,,0,,,,,,,,,,,,
SheepStation,,,,,,36,low,black,12,4,101,Re,Shriver01,34.06,-116.22,Y,,,0,,,,,,,,,,,,
SheepStation,,,,,,36,low,black,13,4,61,Re,Lee1,36.82340833,-116.0163889,Y,,,0,,,,,,,,,,,,
SheepStation,,,,,,36,low,black,15,3,73,Re,Pyke8,46.74830998,-119.361636,Y,,,0,,,,,,,,,,,,
SheepStation,,,,,,37,high,black,1,6,71,Re,Porensky30,40.63,-105.27,Y,,,0,,,,,,,,,,,,
SheepStation,,,,,,37,high,black,3,1,96,Re,Chynoweth02,40.29092,-109.68361,Y,,,0,,,,,,,,,,,,
SheepStation,,,,,,38,low,white,4,3,65,Re,Leger1,39.49,-119.84,Y,,,0,,,,,,,,,,,,
SheepStation,,,,,,38,low,white,8,2,8,Re,Blumenthal01,41.18,-104.9,Y,,,0,,,,,,,,,,,,
SheepStation,,,,,,39,low,black,4,5,84,Re,Reed03,38.75,-109.79,Y,,,0,,,,,,,,,,,,
SheepStation,,,,,,39,low,black,18,1,9,Re,Adler05,40.79,-111.87,Y,,,0,,,,,,,,,,,,
SheepStation,,,,,,40,high,white,4,1,46,Re,Fleishman_05,39.12,-117.27,Y,,,0,,,,,,,,,,,,
SheepStation,,,,,,40,high,white,6,7,6,Re,AAFC09,49.62,-119.8,Y,,,0,,,,,,,,,,,,
SheepStation,,,,,,40,high,white,7,3,7,Re,AAFC10,49.71,-120.05,Y,,,0,,,,,,,,,,,,
SheepStation,,,,,,40,high,white,7,4,54,Re,JackieOtt1,43.65,-102.97,Y,,,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
