Site name,Site code,Latitude,Longitude,Date of collection,Topo,Aspect-degrees,Grazing comments,Notes
JFSP38,JackieOtt6,43.84,-101.94,7/15/2019,gentle Slope,60,lightly grazed by beef cattle,
JFSP39,JackieOtt7,43.82,-101.94,7/15/2019,flat,NA,lightly grazed by beef cattle,
JFSP40,JackieOtt8,43.84,-101.93,7/15/2019,flat,NA,lightly grazed by beef cattle,
JFSP42,JackieOtt9,43.03,-103.97,7/11/2019,flat,NA,lightly grazed by beef cattle,
"Heart Mountain Ranch Reserve, WY",Lavin01,44.68,-109.07,7/7/2019,Flat,NA,Rarely grazed Wyoming big sagebrush steppe in good ecological condition (high cover and diversity of bunchgrass and forb species).,
"Burke Park, Bozeman MT",Lavin02,45.67,-111.03,7/23/2019,Slope,180,Ungrazed steep west facing slope at edge of silver and mountain big sagebrush steppe that is in good ecological condition and with no cheatgrass.,
"Old Indain Springs Rd, NV",Lee1,36.82340833,-116.0163889,5/6/2019,Flat,204,,
HolleronSummit,Lee2,35.3984,-115.7845,5/24/2019,Ridge,28,Minor Grazing,
SpringMtnsNorth,Lee3,36.5247,-115.8987,5/28/2019,Slope,22,Wild Horse and Minor Cattle Grazing,
HeartOfTheMojave,Lee4,35.4564,-115.52,5/28/2019,Slope,290,Minor Grazing,
TeutoniaPeak,Lee5,35.3153,-115.5544,5/28/2019,Flat,12,Grazed,
SW Reno,Leger 1,39.49,-119.84,6/21/2019,Slope,SE,None,
Peavine,Leger 2,39.55,-119.81,6/28/2019,Flat,NA,None,crested seeding
"Near Doyle, CA",Leger 3,40.1,-120.09,6/21/2019,Flat,NA,None,Burned in long Valley fire 2017
"Prison Rd, Lovelock, NV",Leger 4,40.24,-118.37,6/25/2019,Flat,NA,Grazed,Heavily disturbed
MPG Ranch,Maron1,46.68,-114.03,7/13/2019,Flat,NA,Ungrazed,
Petterson Ranch,Maron2,46.64,-113.23,7/11/2019,Slope,NA,Cattle grazed,
Thunder Basin-JFSP2,Porensky1,43.24,-105.18,7/8/2019,slope,320,unknown; likely grazed,aspect degrees were taken for each replication A;B;C
Thunder Basin-JFSP11,Porensky10,43.32,-105.11,7/9/2019,slope,0,unknown; likely grazed,aspect degrees were taken for each replication A;B;C
Thunder Basin-JFSP13,Porensky11,43.43,-105.29,7/9/2019,slope,160,unknown; likely grazed,aspect degrees were taken for each replication A;B;C
Thunder Basin-JFSP15,Porensky12,43.55,-105.1,7/11/2019,slope,10,unknown; likely grazed,aspect degrees were taken for each replication A;B;C
Thunder Basin-JFSP16,Porensky13,43.81,-105.08,7/17/2019,slope,225,unknown; likely grazed,aspect degrees were taken for each replication A;B;C
Thunder Basin-JFSP17,Porensky14,43.8,-104.74,7/17/2019,slope,15,unknown; likely grazed,aspect degrees were taken for each replication A;B;C
Thunder Basin-JFSP18,Porensky15,43.81,-104.6,7/10/2019,slope,50,unknown; likely grazed,aspect degrees were taken for each replication A;B;C
Thunder Basin-JFSP19,Porensky16,43.82,-104.61,7/10/2019,slope,45,unknown; likely grazed,aspect degrees were taken for each replication A;B;C
Thunder Basin-LC-PD,Porensky17,43.34,-105.13,8/1/2019,flat,NA,ungrazed,former prairie dog colony; collection a bit late; cheatgrass was beginning to drop seed.
Thunder Basin-LC-C,Porensky18,43.33,-105.11,7/2/2019,flat,NA,grazed,
Thunder Basin-LC-F,Porensky19,43.31,-105.12,7/2/2019,flat,NA,grazed,historic burn--no shrubs
Thunder Basin-JFSP3,Porensky2,43.26,-105.29,7/15/2019,slope,94,unknown; likely grazed,aspect degrees were taken for each replication A;B;C
Thunder Basin-ST-C,Porensky20,43.43,-105.29,6/27/2019,flat,NA,grazed,
Thunder Basin-ST-PD,Porensky21,43.44,-105.29,6/27/2019,slope,154.35,winter grazing,former prairie dog colony
Thunder Basin-ST-F,Porensky22,43.43,-105.35,6/27/2019,flat,NA,ungrazed,historic burn--no shrubs
Thunder Basin-WF-PD,Porensky23,43.56,-105.16,7/9/2019,slope,60.55,ungrazed,former prairie dog colony
Thunder Basin-WF-F,Porensky24,43.56,-105.12,7/2/2019,flat,NA,lightly grazed,historic burn--no shrubs
Thunder Basin-WF-C,Porensky25,43.55,-105.12,7/9/2019,slope,26.33,lightly grazed,
Thunder Basin-WC-C,Porensky26,43.67,-104.78,7/3/2019,slope,179.4,ungrazed,
Thunder Basin-WC-F,Porensky27,43.69,-104.77,7/8/2019,slope,224.9,grazed,historic burn--no shrubs
Thunder Basin-PVSAGE-C,Porensky28,43.45,-105.27,6/27/2019,flat,NA,winter grazing,clayey soil
Thunder Basin-PVSAGE-L,Porensky29,43.45,-105.26,6/27/2019,slope,2.57,winter grazing,loamy soil
Thunder Basin-JFSP4,Porensky3,43.26,-105.31,7/15/2019,slope,160,unknown; likely grazed,aspect degrees were taken for each replication A;B;C
Porensky Mountain Retreat,Porensky30,40.63,-105.27,8/21/2019,slope,350,ungrazed,ponderosa pine forest burned in 2012; ponderosa pine overstory not recorded in cover data; collection a bit late; cheatgrass was beginning to drop seed.
Thunder Basin- GxDR Block1,Porensky31,43.302423,-105.058198,7/26/2019,Slope,180,"summer cattle grazing, moderate",
Thunder Basin- GxDR Block2,Porensky32,43.302399,-105.056437,7/26/2019,Slope,180,"summer cattle grazing, moderate",
Thunder Basin-JFSP5,Porensky4,43.25,-105.19,7/8/2019,slope,184,unknown; likely grazed,aspect degrees were taken for each replication A;B;C
Thunder Basin-JFSP6,Porensky5,43.27,-105.16,7/8/2019,slope,220,unknown; likely grazed,aspect degrees were taken for each replication A;B;C
Thunder Basin-JFSP7,Porensky6,43.27,-105.07,7/9/2019,slope,256,unknown; likely grazed,aspect degrees were taken for each replication A;B;C
Thunder Basin-JFSP8,Porensky7,43.29,-105.11,7/9/2019,slope,0,unknown; likely grazed,aspect degrees were taken for each replication A;B;C
Thunder Basin-JFSP9,Porensky8,43.3,-105.06,7/23/2019,slope,130,unknown; likely grazed,aspect degrees were taken for each replication A;B;C
Thunder Basin-JFSP10,Porensky9,43.29,-105.08,7/23/2019,slope,250,unknown; likely grazed,aspect degrees were taken for each replication A;B;C
Bridge CreekControl1,Pyke1,44.60203143,-120.1941407,6/11/2019,Slope,250,Ungrazed,
Saddle MountainControl3,Pyke10,46.74878715,-119.3672737,5/29/2019,Slope,190,Ungrazed,
Saddle MountainControl4,Pyke11,46.74882295,-119.365547,5/29/2019,Slope,190,Ungrazed,
Saddle MountainControl5,Pyke12,46.749974,-119.3673257,5/29/2019,Slope,190,Ungrazed,
Saddle MountainControl6,Pyke13,46.7499919,-119.3664623,5/29/2019,Slope,190,Ungrazed,
Saddle MountainFire1,Pyke14,46.74812092,-119.3524892,5/29/2019,Slope,190,Ungrazed,
Saddle MountainFire2,Pyke15,46.74869655,-119.3533784,5/29/2019,Slope,190,Ungrazed,
Saddle MountainFire3,Pyke16,46.74939669,-119.3482241,5/29/2019,Slope,190,Ungrazed,
Saddle MountainFire4,Pyke17,46.74994569,-119.3504083,5/29/2019,Slope,190,Ungrazed,
Saddle MountainFire5,Pyke18,46.75079136,-119.3526054,5/29/2019,Slope,190,Ungrazed,
Saddle MountainFire6,Pyke19,46.75087139,-119.3487202,5/29/2019,Slope,190,Ungrazed,
Bridge CreekControl2,Pyke2,44.60359163,-120.1942545,6/11/2019,Slope,250,Ungrazed,
Moses CouleeControl1,Pyke20,47.61659595,-119.6811809,5/30/2019,Flat,NA,Ungrazed,
Moses CouleeControl2,Pyke21,47.61803776,-119.6830115,5/30/2019,Flat,NA,Ungrazed,
Moses CouleeControl3,Pyke22,47.61860005,-119.6843578,5/30/2019,Flat,NA,Ungrazed,
Moses CouleeControl4,Pyke23,47.61865154,-119.6821645,5/30/2019,Flat,NA,Ungrazed,
Moses CouleeControl5,Pyke24,47.62090108,-119.6814012,5/30/2019,Flat,NA,Ungrazed,
Moses CouleeControl6,Pyke25,47.62122818,-119.6862493,5/30/2019,Flat,NA,Ungrazed,
Moses CouleeFire1,Pyke26,47.61802766,-119.6773014,5/30/2019,Flat,NA,Ungrazed,
Moses CouleeFire2,Pyke27,47.62008329,-119.6782849,5/30/2019,Flat,NA,Ungrazed,
Moses CouleeFire3,Pyke28,47.62097307,-119.6783304,5/30/2019,Flat,NA,Ungrazed,
Moses CouleeFire4,Pyke29,47.62124911,-119.6792229,5/30/2019,Flat,NA,Ungrazed,
Bridge CreekControl3,Pyke3,44.60456358,-120.1924183,6/11/2019,Slope,250,Ungrazed,
Moses CouleeFire5,Pyke30,47.62126967,-119.6783455,5/30/2019,Flat,NA,Ungrazed,
Moses CouleeFire6,Pyke31,47.62180116,-119.681008,5/30/2019,Flat,NA,Ungrazed,
Bridge CreekFire1,Pyke4,44.59712734,-120.1982449,6/10/2019,Slope,250,Ungrazed,
Bridge CreekFire2,Pyke5,44.59854428,-120.1994871,6/10/2019,Slope,250,Ungrazed,
Devine RidgeFire1,Pyke6,43.70912776,-118.9575305,6/13/2019,Flat,NA,Ungrazed,
Devine RidgeFire2,Pyke7,43.71102692,-118.9544148,6/13/2019,Flat,NA,Ungrazed,
Saddle MountainControl1,Pyke8,46.74830998,-119.361636,5/29/2019,Slope,190,Ungrazed,
Saddle MountainControl2,Pyke9,46.74833678,-119.3603411,5/29/2019,Slope,190,Ungrazed,
Alvord Desert,Pyle001,42.35,-118.65,6/25/2019,Flat,NA,Exclosure,Pyle001 and 002 are paired. Gravelly volcanic soil. Area is heavily invaded. Near alkaline Alvord lakes.
Alvord Desert,Pyle002,42.35,-118.65,6/25/2019,Flat,NA,Grazed,
Diamond BLM,Pyle003,43.07,-118.75,7/2/2019,Flat,NA,Grazed,"Basalt lava flow covered in sagebrush (evidence of burn), high moss and lichen cover on bare rock."
Diamond BLM,Pyle004,43.08,-118.76,7/2/2019,"Upland, Slope",NA,Grazed,"Near the rim of a cindercone, soil is gravelly."
Diamond BLM,Pyle005,43.08,-118.77,7/2/2019,Midslope,NA,Grazed,"On slope of a cindercone, with gravelly soil. No shrubs. Area has clearly been disc/drill seeded with late seral grasses like Achnatherum and Hesperostipa."
Malheur Wildlife Refuge,Pyle006,43.26,-118.85,7/2/2019,Lowland,NA,Likely,"Seasonally wet, in a lowland, somewhat alkaline, cheatgrass is patchy."
Malheur Wildlife Refuge,Pyle007,43.24,-118.86,7/3/2019,Lowland,NA,Likely,Alkaline greasewood community. Seasonally wet lowland.
Malheur Wildlife Refuge,Pyle008,43.13,-118.88,7/3/2019,Lowland,NA,Likely,"Sagebrush with sparse herbaceous understore. Some standing water, seasonally wet."
"Riley, OR BLM",Pyle009,43.42,-119.62,7/4/2019,Flat,NA,Grazed,Typical low elevation sagebrush in Eastern Oregon.
"Christamas Valey Highway, OR",Pyle010,43.19,-120,7/4/2019,Flat,NA,Grazed,"Low elevation sagebrush, with very high bare ground. Notable cheatgrass near disturbance features but herbaceous community is rather sparse."
"Christamas Valey Highway, OR",Pyle011,43.23,-120.12,7/4/2019,Flat,NA,Grazed,Burned shrubland seeded to crested wheatgrass. Well vegetated.
"Christamas Valey Highway, OR",Pyle012,43.24,-120.4,7/4/2019,Flat,NA,Grazed,Alkaline playa. Islands of shrubs surrounded by cheatgrass.
Christmas Valley Sand Dunes,Pyle013,43.35,-120.45,7/4/2019,Dunes,NA,Likely,"Sagebrush on choppy dunes, heavy cheatgrass invasion."
Christmas Valley Sand Dunes,Pyle014,43.35,-120.39,7/4/2019,Flat,NA,Likely,"Alkaline flat among sand dunes. Soil covered with a rough, cold desert biological soil crust."
Malheur National Forest,Pyle015,43.8,-119,7/18/2019,Flat,NA,Grazed,Ponderosa pine forest. Evidence of patchy burns.
Malheur National Forest,Pyle016,44.28,-118.98,7/18/2019,Steep Slope,NA,No,"Montane tallus slope near highway. Would have had sagebrush and Ponderosa pine forest, severely burned (Canyon City Fire)."
Canyon City Watershed,Pyle017,44.36,-118.93,7/18/2019,"Upland, Midslope",NA,Grazed,"High elevation, burned ponderosa pine forest. Heavily invaded."
Aldrich Mountain Wildlife Study Area,Pyle018,44.38,-119.54,7/18/2019,Midslope,NA,Grazed,Burned Juniperus occidentalis on a montane slope. Invaded with many annual brome species.
John Day National Monument,Pyle019,44.57,-119.65,7/18/2019,"Lowland, Riparian",NA,Not Obviously Grazed,"Riparian lowland adjacent to the Johnday River. Invaded with many weedy species, disturbance from seasonal flooding?"
John Day National Monument,Pyle020,44.53,-119.64,7/18/2019,"Flat, some gentle hills",NA,Not Obviously Grazed,Evidence of burned sagebrush. Appears to be a bluebunch wg prairie.
Colorado Plateau - DOE D plots,Reed01,38.52,-109.47,5/22/2019,Slope,250,Site heavily grazed in previous years,
Colorado Plateau - DOE B/C plots,Reed02,38.67,-109.42,5/22/2019,Slope,300,Ungrazed,
Colorado Plateau - Blue Hills,Reed03,38.75,-109.79,5/22/2019,Flat,NA,"Site looks heavily grazed, high annual wheatgrass cover, low perrenials",
Fort Keogh MT,Rinella01,46.19,-105.49,6/26/2001,Flat,NA,Ungrazed,
Tintic,Schupp01,39.85,-112.15,6/20/2019,Flat,NA,occasional light cattle grazing since the 1940's,
Onaqui,Schupp02,40.2,-112.46,6/20/2019,Slope,90,"light winter cattle grazing, stopped 15 years ago",
DER,Schupp03,38.6,-113.79,6/26/2019,Flat,NA,ungrazed since the 1940s,
Wah Wah Summit,Schupp04,38.52,-113.55,6/26/2019,Slope,235,unknown,
Cricket,Schupp05,39.11,-112.74,6/28/2019,Flat,NA,unknown,
"Joshua Tree, CA",Shriver01,34.06,-116.22,5/17/2019,Flat,NA,Ungrazed,
"Woods Bay, MT",Shriver02,48,-114.04,7/5/2019,Ridge,270,Ungrazed,
Devils Tower National Monument PCM 030,Symstad1,44.59,-104.71,7/9/2019,Slope,5,Ungrazed for decades,
Mount Rushmore National Memorial PCM 009,Symstad2,43.87,-103.46,7/10/2019,Slope,167,Ungrazed for decades,
Wind Cave National Park PCM 0018,Symstad3,43.62,-103.47,7/12/2019,Slope,180,Ungrazed for decades,
Badlands National Park ABR 14,Symstad4,43.71,-102.58,7/3/2019,Flat,NA,"Ungrazed for decades, but burned in fall 2016 and fall 2018",
Badlands National Park ABR 20,Symstad5,43.7,-102.58,7/3/2019,Flat,NA,"Ungrazed for decades, but burned in fall 2018",
Scotts Bluff National Monument ABR 24,Symstad6,41.83,-103.71,6/24/2019,Flat,NA,Ungrazed for decades,
"Winnemucca Lake, NV",Urza1,40.35,-119.34,7/12/2019,Flat,NA,Huge expanse of russian thistle in burned valley north of Winnemucca Lake. Furrows suggest a failed attempt to drill seed.,
"Squaw Valley Ranch, NV",Urza2,40.84,-119.56,7/12/2019,Slope,257,ARTRW slope below rim rock. Minimal cover of perennial grasses and forbs. Cheatgrass was abundant but hard to collect -- lots of head smut.,
"Lake City, CA",Urza3,41.6,-120.2,7/13/2019,Slope,30,Diverse ARTRW site. Trace amounts of cheatgrass.,
Verge_Laramie,Wilcox01,41.32,-105.54,7/12/2019,Flat,NA,Ungrazed,
AgExperimentalStation_Laramie,Wilcox02,41.31,-105.66,7/29/2019,Flat,NA,Moderate cattle grazing,
Maxwell natural area,Hufbauer01,40.559085,-105.144169,6/15/2019,,,,
Table mesa trail,Hufbauer02,40.55707,-105.14416,6/16/2019,,,,
Seep Ridge,Chynoweth01,39.76604,-109.5635,,,,,
Ouray,Chynoweth02,40.29092,-109.68361,,,,,
