site,block,density_long,density,albedo,source,bulkYear_final,growout_loc,,,X,Y,genotypeID,genotype_batch,top,middle,bottom
Cheyenne,1,high,hi,black,Chambers01,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,1,4,g29,29_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,black,Lee 03,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,2,4,g63,63_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,black,Barnett01,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,3,4,g19,19_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,black,Porensky30,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,4,4,g71,71_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,black,Pyke 03,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,5,4,g72,72_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,black,Chynoweth02,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,6,4,g96,96_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,black,Pyle17,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,7,4,g81,81_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,black,Adler18,2022,Logan,hi black Cheyenne,hi black Cheyenne 1,8,4,g18,18_Logan,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,black,Bradford01,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,1,5,g28,28_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,black,Downs 03,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,2,5,g44,44_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,black,Schupp04,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,3,5,g87,87_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,black,Lee 03,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,4,5,g63,63_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,black,Adler05,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,5,5,g9,9_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,black,Pyle01,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,6,5,g75,75_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,black,Pyle10,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,7,5,g77,77_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,black,Blumenthal01,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,8,5,g8,8_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,black,Wilcox02,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,1,6,g95,95_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,black,Reed03,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,2,6,g84,84_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,black,Chambers09,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,3,6,g37,37_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,black,Fleishman_07,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,4,6,g47,47_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,black,Pyke 08,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,5,6,g73,73_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,black,Chambers02,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,6,6,g30,30_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,black,Getts3,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,7,6,g49,49_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,black,Leger 1,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,8,6,g65,65_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,black,Lee 01,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,1,7,g61,61_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,black,Chynoweth03,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,2,7,g97,97_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,black,Symstad4,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,3,7,g92,92_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,black,Symstad3,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,4,7,g91,91_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,black,Downs 02,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,5,7,g43,43_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,black,Fleishman_05,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,6,7,g46,46_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,black,JackieOtt7,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,7,7,g58,58_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,black,Porensky17,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,8,7,g69,69_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,black,Porensky01,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,1,8,g68,68_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,black,Chambers08,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,2,8,g36,36_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,black,Chambers07,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,3,8,g35,35_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,black,Hufft01,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,4,8,g52,52_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,black,Lavin01,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,5,8,g59,59_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,black,Pyle09,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,6,8,g76,76_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,black,AAFC10,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,7,8,g7,7_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,black,Reed01,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,8,8,g83,83_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,black,Maron1,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,1,9,g66,66_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,black,Schupp03,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,2,9,g86,86_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,black,Urza02,2021,Logan,hi black Cheyenne,hi black Cheyenne 1,3,9,g93,93_Logan,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,black,Urza01,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,4,9,g31,31_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,black,JackieOtt2,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,5,9,g55,55_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,black,Copeland05,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,6,9,g39,39_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,black,Lee 02,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,7,9,g62,62_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,black,Schupp05,2021,Logan,hi black Cheyenne,hi black Cheyenne 1,8,9,g88,88_Logan,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,black,Downs 01,2021,Logan,hi black Cheyenne,hi black Cheyenne 1,1,10,g42,42_Logan,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,black,AAFC04,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,2,10,g1,1_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,black,Chambers04,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,3,10,g32,32_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,black,Pyle10,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,4,10,g77,77_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,black,Davies03,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,5,10,g103,103_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,black,Germino BOP 01,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,6,10,g104,104_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,black,Pyle15,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,7,10,g79,79_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,black,Symstad1,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,8,10,g89,89_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,white,AAFC04,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,1,1,g1,1_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,white,AAFC10,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,2,1,g7,7_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,white,Pyke 21,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,3,1,g74,74_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,white,Porensky01,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,4,1,g68,68_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,white,Chynoweth01,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,5,1,g26,26_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,white,Fleishman_05,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,6,1,g46,46_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,white,Germino BOP 01,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,7,1,g104,104_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,white,Urza02,2021,Logan,hi black Cheyenne,hi black Cheyenne 1,8,1,g93,93_Logan,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,white,Chambers08,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,1,2,g36,36_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,white,Pyle01,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,2,2,g75,75_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,white,AAFC09,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,3,2,g6,6_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,white,Symstad2,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,4,2,g90,90_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,white,Lavin01,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,5,2,g59,59_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,white,Pyle19,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,6,2,g82,82_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,white,Downs 02,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,7,2,g43,43_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,white,Fleishman_01,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,8,2,g45,45_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,white,Mancillas01,2022,Logan,hi black Cheyenne,hi black Cheyenne 1,1,3,g151,151_Logan,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,white,Leger 1,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,2,3,g65,65_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,white,Lee 02,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,3,3,g62,62_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,white,Adler18,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,4,3,g18,18_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,white,Holdrege1,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,5,3,g51,51_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,white,Symstad3,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,6,3,g91,91_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,white,Chambers02,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,7,3,g30,30_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,white,Adler05,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,8,3,g9,9_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,white,Chambers09,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,1,4,g37,37_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,white,Reed01,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,2,4,g83,83_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,white,Symstad4,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,3,4,g92,92_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,white,JackieOtt1,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,4,4,g54,54_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,white,Chynoweth03,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,5,4,g97,97_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,white,Adler13,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,6,4,g14,14_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,white,JackieOtt2,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,7,4,g55,55_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,white,Schupp02,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,8,4,g12,12_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,white,Fleishman_07,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,1,5,g47,47_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,white,Lee 03,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,2,5,g63,63_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,white,Schupp05,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,3,5,g88,88_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,white,Lee 04,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,4,5,g64,64_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,white,Pyle17,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,5,5,g81,81_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,white,Reed03,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,6,5,g84,84_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,white,Chambers04,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,7,5,g32,32_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,white,Chambers07,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,8,5,g35,35_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,white,Porensky30,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,1,6,g71,71_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,white,Pyle09,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,2,6,g76,76_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,white,Chynoweth02,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,3,6,g96,96_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,white,Schupp04,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,4,6,g87,87_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,white,Getts3,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,5,6,g49,49_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,white,Chambers05,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,6,6,g33,33_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,white,Symstad6,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,7,6,g25,25_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,white,JackieOtt5,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,8,6,g56,56_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,white,Pyle10,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,1,7,g77,77_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,white,Hufft01,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,2,7,g52,52_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,white,Chynoweth05,2021,Logan,hi white Cheyenne,hi white Cheyenne 1,3,7,g98,98_Logan,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,white,Symstad1,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,4,7,g89,89_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,white,Downs 03,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,5,7,g44,44_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,white,Copeland05,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,6,7,g39,39_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,white,Davies03,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,7,7,g103,103_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,white,Barnett01,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,8,7,g19,19_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,white,Downs 01,2021,Logan,hi white Cheyenne,hi white Cheyenne 1,1,8,g42,42_Logan,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,white,Urza01,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,2,8,g31,31_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,white,Chambers01,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,3,8,g29,29_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,white,Pyke 08,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,4,8,g73,73_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,white,Wilcox02,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,5,8,g95,95_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,white,Shriver02,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,6,8,g102,102_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,white,Lee 01,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,7,8,g61,61_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,white,Shriver01,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,8,8,g101,101_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,white,Adler09,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,1,9,g11,11_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,white,AAFC08,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,2,9,g5,5_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,white,Hufft02,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,3,9,g53,53_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,white,Chynoweth08,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,4,9,g100,100_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,white,Blumenthal01,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,5,9,g8,8_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,white,Maron1,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,6,9,g66,66_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,white,Chambers06,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,7,9,g34,34_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,white,Pyke 03,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,8,9,g72,72_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,white,Pyle15,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,1,10,g79,79_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,white,Copeland01,2021,Logan,hi white Cheyenne,hi white Cheyenne 1,2,10,g38,38_Logan,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,white,JackieOtt7,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,3,10,g58,58_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,white,Schupp03,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,4,10,g86,86_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,white,JackieOtt6,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,5,10,g57,57_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,white,AAFC05,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,6,10,g2,2_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,white,Blumenthal08,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,7,10,g24,24_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,high,hi,white,Bradford01,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,8,10,g28,28_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,low,lo,black,Leger 1,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,1,1,g65,65_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,1,low,lo,black,Urza01,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,2,1,g31,31_Reno,#ERROR!,#ERROR!,#ERROR!
