Site,Date,Plot,Block,Subplot,Gravel Color,Cheatgrass.ID,X,Y,Phenology.Category,Seedling present?,Are.you.harvesting.this.plant.,Did.you.loose.any.seeds.,Frost.Heaved.,Herbivory.present.,Herbivory.Intensity,Comments.or.Notes,ParentGlobalID,EditDate
Wildcat,3/17/2023,10.4w,10,4,w,Y4_X2,2,4,NA,None,NA,NA,NA,NA,NA,NA,d27230c3-089b-4a5f-9f61-9d7f2e549145,3/17/2023 22:56
Wildcat,3/17/2023,10.4w,10,4,w,Y4_X3,3,4,V2,yes,no,NA,yes,no,NA,NA,d27230c3-089b-4a5f-9f61-9d7f2e549145,3/17/2023 22:56
Wildcat,3/17/2023,10.4w,10,4,w,Y4_X4,4,4,V1,yes,no,NA,yes,no,NA,NA,d27230c3-089b-4a5f-9f61-9d7f2e549145,3/17/2023 22:56
Wildcat,3/17/2023,10.4w,10,4,w,Y4_X5,5,4,NA,None,no,NA,NA,NA,NA,NA,d27230c3-089b-4a5f-9f61-9d7f2e549145,3/17/2023 22:56
Wildcat,3/17/2023,10.4w,10,4,w,Y4_X6,6,4,V1,yes,no,NA,no,no,NA,NA,d27230c3-089b-4a5f-9f61-9d7f2e549145,3/17/2023 22:56
Wildcat,3/17/2023,10.4w,10,4,w,Y4_X7,7,4,NA,None,no,NA,NA,NA,NA,NA,d27230c3-089b-4a5f-9f61-9d7f2e549145,3/17/2023 22:56
Wildcat,3/17/2023,10.4w,10,4,w,Y4_X8,8,4,V0,yes,no,NA,no,no,NA,NA,d27230c3-089b-4a5f-9f61-9d7f2e549145,3/17/2023 22:56
Wildcat,3/17/2023,10.4w,10,4,w,Y4_X9,9,4,NA,None,no,NA,NA,NA,NA,NA,d27230c3-089b-4a5f-9f61-9d7f2e549145,3/17/2023 22:56
Wildcat,3/17/2023,10.4w,10,4,w,Y5_X1,1,5,V2,yes,no,NA,no,no,NA,NA,d27230c3-089b-4a5f-9f61-9d7f2e549145,3/17/2023 22:56
Wildcat,3/17/2023,10.4w,10,4,w,Y5_X2,2,5,V0,yes,no,NA,no,no,NA,NA,d27230c3-089b-4a5f-9f61-9d7f2e549145,3/17/2023 22:56
Wildcat,3/17/2023,10.4w,10,4,w,Y5_X3,3,5,V1,yes,no,NA,no,no,NA,NA,d27230c3-089b-4a5f-9f61-9d7f2e549145,3/17/2023 22:56
Wildcat,3/17/2023,10.4w,10,4,w,Y5_X4,4,5,V2,yes,no,NA,no,no,NA,NA,d27230c3-089b-4a5f-9f61-9d7f2e549145,3/17/2023 22:56
Wildcat,3/17/2023,10.4w,10,4,w,Y5_X5,5,5,V2,yes,no,NA,no,no,NA,NA,d27230c3-089b-4a5f-9f61-9d7f2e549145,3/17/2023 22:56
Wildcat,3/17/2023,10.4w,10,4,w,Y5_X6,6,5,NA,None,no,NA,NA,NA,NA,NA,d27230c3-089b-4a5f-9f61-9d7f2e549145,3/17/2023 22:56
Wildcat,3/17/2023,10.4w,10,4,w,Y5_X7,7,5,NA,None,NA,NA,NA,NA,NA,NA,d27230c3-089b-4a5f-9f61-9d7f2e549145,3/17/2023 22:56
Wildcat,3/17/2023,10.4w,10,4,w,Y5_X8,8,5,NA,Dead,NA,NA,yes,no,NA,NA,d27230c3-089b-4a5f-9f61-9d7f2e549145,3/17/2023 22:56
Wildcat,3/17/2023,10.4w,10,4,w,Y5_X9,9,5,V1,yes,no,NA,yes,no,NA,NA,d27230c3-089b-4a5f-9f61-9d7f2e549145,3/17/2023 22:56
Wildcat,3/17/2023,10.4w,10,4,w,Y6_X1,1,6,V0,yes,no,NA,no,no,NA,NA,d27230c3-089b-4a5f-9f61-9d7f2e549145,3/17/2023 22:56
Wildcat,3/17/2023,10.4w,10,4,w,Y6_X2,2,6,NA,None,no,NA,NA,NA,NA,NA,d27230c3-089b-4a5f-9f61-9d7f2e549145,3/17/2023 22:56
Wildcat,3/17/2023,10.4w,10,4,w,Y6_X3,3,6,NA,None,NA,NA,NA,NA,NA,NA,d27230c3-089b-4a5f-9f61-9d7f2e549145,3/17/2023 22:56
Wildcat,3/17/2023,10.4w,10,4,w,Y6_X4,4,6,NA,Unknown,NA,NA,NA,NA,NA,Two present both fh,d27230c3-089b-4a5f-9f61-9d7f2e549145,3/17/2023 22:56
Wildcat,3/17/2023,10.4w,10,4,w,Y6_X5,5,6,NA,None,NA,NA,NA,NA,NA,NA,d27230c3-089b-4a5f-9f61-9d7f2e549145,3/17/2023 22:56
Wildcat,3/17/2023,10.4w,10,4,w,Y6_X6,6,6,V2,yes,no,NA,no,no,NA,NA,d27230c3-089b-4a5f-9f61-9d7f2e549145,3/17/2023 22:56
Wildcat,3/17/2023,10.4w,10,4,w,Y6_X7,7,6,V2,yes,no,NA,no,no,NA,NA,d27230c3-089b-4a5f-9f61-9d7f2e549145,3/17/2023 22:56
Wildcat,3/17/2023,10.4w,10,4,w,Y6_X8,8,6,NA,None,no,NA,NA,NA,NA,NA,d27230c3-089b-4a5f-9f61-9d7f2e549145,3/17/2023 22:56
Wildcat,3/17/2023,10.4w,10,4,w,Y6_X9,9,6,NA,None,NA,NA,NA,NA,NA,NA,d27230c3-089b-4a5f-9f61-9d7f2e549145,3/17/2023 22:56
Wildcat,3/17/2023,10.4w,10,4,w,Y7_X1,1,7,V3,yes,no,NA,no,no,NA,NA,d27230c3-089b-4a5f-9f61-9d7f2e549145,3/17/2023 22:56
Wildcat,3/17/2023,10.4w,10,4,w,Y7_X2,2,7,NA,None,no,NA,NA,NA,NA,NA,d27230c3-089b-4a5f-9f61-9d7f2e549145,3/17/2023 22:56
Wildcat,3/17/2023,10.4w,10,4,w,Y7_X3,3,7,V3,yes,no,NA,no,no,NA,NA,d27230c3-089b-4a5f-9f61-9d7f2e549145,3/17/2023 22:56
Wildcat,3/17/2023,10.4w,10,4,w,Y7_X4,4,7,NA,None,no,NA,NA,NA,NA,NA,d27230c3-089b-4a5f-9f61-9d7f2e549145,3/17/2023 22:56
Wildcat,3/17/2023,10.4w,10,4,w,Y7_X5,5,7,NA,None,NA,NA,NA,NA,NA,NA,d27230c3-089b-4a5f-9f61-9d7f2e549145,3/17/2023 22:56
Wildcat,3/17/2023,10.4w,10,4,w,Y7_X6,6,7,V2,yes,no,NA,no,no,NA,NA,d27230c3-089b-4a5f-9f61-9d7f2e549145,3/17/2023 22:56
Wildcat,3/17/2023,10.4w,10,4,w,Y7_X7,7,7,V2,yes,no,NA,no,no,NA,NA,d27230c3-089b-4a5f-9f61-9d7f2e549145,3/17/2023 22:56
Wildcat,3/17/2023,10.4w,10,4,w,Y7_X8,8,7,NA,None,no,NA,NA,NA,NA,NA,d27230c3-089b-4a5f-9f61-9d7f2e549145,3/17/2023 22:56
Wildcat,3/17/2023,10.4w,10,4,w,Y7_X9,9,7,V1,yes,no,NA,no,no,NA,NA,d27230c3-089b-4a5f-9f61-9d7f2e549145,3/17/2023 22:56
Wildcat,3/17/2023,10.4w,10,4,w,Y8_X1,1,8,V2,yes,no,NA,no,no,NA,NA,d27230c3-089b-4a5f-9f61-9d7f2e549145,3/17/2023 22:56
Wildcat,3/17/2023,10.4w,10,4,w,Y8_X2,2,8,V2,yes,no,NA,no,no,NA,NA,d27230c3-089b-4a5f-9f61-9d7f2e549145,3/17/2023 22:56
Wildcat,3/17/2023,10.4w,10,4,w,Y8_X3,3,8,NA,None,no,NA,NA,NA,NA,NA,d27230c3-089b-4a5f-9f61-9d7f2e549145,3/17/2023 22:56
Wildcat,3/17/2023,10.4w,10,4,w,Y8_X4,4,8,V2,yes,no,NA,no,no,NA,NA,d27230c3-089b-4a5f-9f61-9d7f2e549145,3/17/2023 22:56
Wildcat,3/17/2023,10.4w,10,4,w,Y8_X5,5,8,NA,None,no,NA,NA,NA,NA,NA,d27230c3-089b-4a5f-9f61-9d7f2e549145,3/17/2023 22:56
Wildcat,3/17/2023,10.4w,10,4,w,Y8_X6,6,8,V1,yes,no,NA,no,no,NA,NA,d27230c3-089b-4a5f-9f61-9d7f2e549145,3/17/2023 22:56
Wildcat,3/17/2023,10.4w,10,4,w,Y8_X7,7,8,NA,None,no,NA,NA,NA,NA,NA,d27230c3-089b-4a5f-9f61-9d7f2e549145,3/17/2023 22:56
Wildcat,3/17/2023,10.4w,10,4,w,Y8_X8,8,8,V2,yes,no,NA,no,no,NA,NA,d27230c3-089b-4a5f-9f61-9d7f2e549145,3/17/2023 22:56
Wildcat,3/17/2023,10.4w,10,4,w,Y8_X9,9,8,NA,None,no,NA,NA,NA,NA,NA,d27230c3-089b-4a5f-9f61-9d7f2e549145,3/17/2023 22:56
Wildcat,3/17/2023,10.4w,10,4,w,Y9_X1,1,9,V2,yes,no,NA,no,no,NA,NA,d27230c3-089b-4a5f-9f61-9d7f2e549145,3/17/2023 22:56
Wildcat,3/17/2023,10.4w,10,4,w,Y9_X2,2,9,NA,None,no,NA,NA,NA,NA,NA,d27230c3-089b-4a5f-9f61-9d7f2e549145,3/17/2023 22:56
Wildcat,3/17/2023,10.4w,10,4,w,Y9_X3,3,9,NA,None,NA,NA,NA,NA,NA,NA,d27230c3-089b-4a5f-9f61-9d7f2e549145,3/17/2023 22:56
Wildcat,3/17/2023,10.4w,10,4,w,Y9_X4,4,9,V2,yes,no,NA,no,no,NA,NA,d27230c3-089b-4a5f-9f61-9d7f2e549145,3/17/2023 22:56
Wildcat,3/17/2023,10.4w,10,4,w,Y9_X5,5,9,NA,None,NA,NA,NA,NA,NA,NA,d27230c3-089b-4a5f-9f61-9d7f2e549145,3/17/2023 22:56
Wildcat,3/17/2023,10.4w,10,4,w,Y9_X6,6,9,V1,yes,no,NA,no,no,NA,NA,d27230c3-089b-4a5f-9f61-9d7f2e549145,3/17/2023 22:56
Wildcat,3/17/2023,10.4w,10,4,w,Y9_X7,7,9,NA,None,no,NA,NA,NA,NA,NA,d27230c3-089b-4a5f-9f61-9d7f2e549145,3/17/2023 22:56
Wildcat,3/17/2023,10.4w,10,4,w,Y9_X8,8,9,NA,None,NA,NA,NA,NA,NA,NA,d27230c3-089b-4a5f-9f61-9d7f2e549145,3/17/2023 22:56
Wildcat,3/17/2023,10.4w,10,4,w,Y9_X9,9,9,NA,None,NA,NA,NA,NA,NA,NA,d27230c3-089b-4a5f-9f61-9d7f2e549145,3/17/2023 22:56
Wildcat,3/17/2023,10.4w,10,4,w,Y3_X1,1,3,NA,None,NA,NA,NA,NA,NA,NA,d27230c3-089b-4a5f-9f61-9d7f2e549145,3/17/2023 22:56
Wildcat,3/17/2023,10.4w,10,4,w,Y3_X2,2,3,V2,yes,no,NA,yes,no,NA,NA,d27230c3-089b-4a5f-9f61-9d7f2e549145,3/17/2023 22:56
Wildcat,3/17/2023,10.4w,10,4,w,Y3_X3,3,3,V3,yes,no,NA,yes,no,NA,NA,d27230c3-089b-4a5f-9f61-9d7f2e549145,3/17/2023 22:56
Wildcat,3/17/2023,10.4w,10,4,w,Y3_X4,4,3,V2,yes,no,NA,no,no,NA,NA,d27230c3-089b-4a5f-9f61-9d7f2e549145,3/17/2023 22:56
Wildcat,3/17/2023,10.4w,10,4,w,Y3_X5,5,3,V1,yes,no,NA,yes,no,NA,NA,d27230c3-089b-4a5f-9f61-9d7f2e549145,3/17/2023 22:56
Wildcat,3/17/2023,10.4w,10,4,w,Y3_X6,6,3,V1,yes,no,NA,yes,no,NA,NA,d27230c3-089b-4a5f-9f61-9d7f2e549145,3/17/2023 22:56
Wildcat,3/17/2023,10.4w,10,4,w,Y3_X7,7,3,V2,yes,no,NA,yes,no,NA,NA,d27230c3-089b-4a5f-9f61-9d7f2e549145,3/17/2023 22:56
Wildcat,3/17/2023,10.4w,10,4,w,Y3_X8,8,3,NA,None,no,NA,NA,NA,NA,NA,d27230c3-089b-4a5f-9f61-9d7f2e549145,3/17/2023 22:56
Wildcat,3/17/2023,10.4w,10,4,w,Y3_X9,9,3,NA,None,NA,NA,NA,NA,NA,NA,d27230c3-089b-4a5f-9f61-9d7f2e549145,3/17/2023 22:56
Wildcat,3/17/2023,10.3b,10,3,b,Y1_X1,1,1,V1,yes,no,NA,no,no,NA,NA,b7adff73-d962-48b3-b053-c8210f42f8d9,3/17/2023 22:59
Wildcat,3/17/2023,10.3b,10,3,b,Y1_X2,2,1,V1,yes,no,NA,no,no,NA,NA,b7adff73-d962-48b3-b053-c8210f42f8d9,3/17/2023 22:59
Wildcat,3/17/2023,10.3b,10,3,b,Y1_X3,3,1,V2,yes,no,NA,no,no,NA,NA,b7adff73-d962-48b3-b053-c8210f42f8d9,3/17/2023 22:59
Wildcat,3/17/2023,10.3b,10,3,b,Y1_X4,4,1,NA,None,NA,NA,NA,NA,NA,NA,b7adff73-d962-48b3-b053-c8210f42f8d9,3/17/2023 22:59
Wildcat,3/17/2023,10.3b,10,3,b,Y1_X5,5,1,V2,yes,no,NA,no,no,NA,NA,b7adff73-d962-48b3-b053-c8210f42f8d9,3/17/2023 22:59
Wildcat,3/17/2023,10.3b,10,3,b,Y1_X6,6,1,NA,Dead,no,NA,yes,no,NA,Pushed back in,b7adff73-d962-48b3-b053-c8210f42f8d9,3/17/2023 22:59
Wildcat,3/17/2023,10.3b,10,3,b,Y1_X7,7,1,V1,yes,no,NA,no,no,NA,NA,b7adff73-d962-48b3-b053-c8210f42f8d9,3/17/2023 22:59
Wildcat,3/17/2023,10.3b,10,3,b,Y1_X8,8,1,V2,yes,no,NA,no,no,NA,NA,b7adff73-d962-48b3-b053-c8210f42f8d9,3/17/2023 22:59
Wildcat,3/17/2023,10.3b,10,3,b,Y1_X9,9,1,V1,yes,no,NA,no,no,NA,NA,b7adff73-d962-48b3-b053-c8210f42f8d9,3/17/2023 22:59
Wildcat,3/17/2023,10.3b,10,3,b,Y10_X1,1,10,NA,Dead,NA,NA,yes,no,NA,Pushed back in,b7adff73-d962-48b3-b053-c8210f42f8d9,3/17/2023 22:59
Wildcat,3/17/2023,10.3b,10,3,b,Y10_X2,2,10,>V3,yes,no,NA,yes,no,NA,NA,b7adff73-d962-48b3-b053-c8210f42f8d9,3/17/2023 22:59
Wildcat,3/17/2023,10.3b,10,3,b,Y10_X3,3,10,V3,yes,no,NA,no,no,NA,NA,b7adff73-d962-48b3-b053-c8210f42f8d9,3/17/2023 22:59
Wildcat,3/17/2023,10.3b,10,3,b,Y10_X4,4,10,V3,yes,no,NA,yes,no,NA,NA,b7adff73-d962-48b3-b053-c8210f42f8d9,3/17/2023 22:59
Wildcat,3/17/2023,10.3b,10,3,b,Y10_X5,5,10,V2,yes,no,NA,no,no,NA,NA,b7adff73-d962-48b3-b053-c8210f42f8d9,3/17/2023 22:59
Wildcat,3/17/2023,10.3b,10,3,b,Y10_X6,6,10,NA,None,no,NA,NA,NA,NA,NA,b7adff73-d962-48b3-b053-c8210f42f8d9,3/17/2023 22:59
Wildcat,3/17/2023,10.3b,10,3,b,Y10_X7,7,10,V1,yes,no,NA,yes,no,NA,NA,b7adff73-d962-48b3-b053-c8210f42f8d9,3/17/2023 22:59
Wildcat,3/17/2023,10.3b,10,3,b,Y10_X8,8,10,NA,Dead,NA,NA,yes,no,NA,Pushed back in,b7adff73-d962-48b3-b053-c8210f42f8d9,3/17/2023 22:59
Wildcat,3/17/2023,10.3b,10,3,b,Y10_X9,9,10,NA,None,NA,NA,NA,NA,NA,NA,b7adff73-d962-48b3-b053-c8210f42f8d9,3/17/2023 22:59
Wildcat,3/17/2023,10.3b,10,3,b,Y2_X1,1,2,V3,yes,no,NA,no,no,NA,NA,b7adff73-d962-48b3-b053-c8210f42f8d9,3/17/2023 22:59
Wildcat,3/17/2023,10.3b,10,3,b,Y2_X2,2,2,V2,yes,no,NA,no,no,NA,NA,b7adff73-d962-48b3-b053-c8210f42f8d9,3/17/2023 22:59
Wildcat,3/17/2023,10.3b,10,3,b,Y2_X3,3,2,V2,yes,no,NA,no,no,NA,NA,b7adff73-d962-48b3-b053-c8210f42f8d9,3/17/2023 22:59
Wildcat,3/17/2023,10.3b,10,3,b,Y2_X4,4,2,V2,yes,no,NA,no,no,NA,NA,b7adff73-d962-48b3-b053-c8210f42f8d9,3/17/2023 22:59
Wildcat,3/17/2023,10.3b,10,3,b,Y2_X5,5,2,V2,yes,no,NA,no,no,NA,NA,b7adff73-d962-48b3-b053-c8210f42f8d9,3/17/2023 22:59
Wildcat,3/17/2023,10.3b,10,3,b,Y2_X6,6,2,NA,None,no,NA,NA,NA,NA,NA,b7adff73-d962-48b3-b053-c8210f42f8d9,3/17/2023 22:59
Wildcat,3/17/2023,10.3b,10,3,b,Y2_X7,7,2,V2,yes,no,NA,no,no,NA,NA,b7adff73-d962-48b3-b053-c8210f42f8d9,3/17/2023 22:59
Wildcat,3/17/2023,10.3b,10,3,b,Y2_X8,8,2,V2,yes,no,NA,no,no,NA,NA,b7adff73-d962-48b3-b053-c8210f42f8d9,3/17/2023 22:59
Wildcat,3/17/2023,10.3b,10,3,b,Y2_X9,9,2,V3,yes,no,NA,no,no,NA,NA,b7adff73-d962-48b3-b053-c8210f42f8d9,3/17/2023 22:59
Wildcat,3/17/2023,10.3b,10,3,b,Y3_X1,1,3,NA,Dead,NA,NA,yes,no,NA,Pushed back in,b7adff73-d962-48b3-b053-c8210f42f8d9,3/17/2023 22:59
Wildcat,3/17/2023,10.3b,10,3,b,Y3_X2,2,3,V2,yes,no,NA,no,no,NA,NA,b7adff73-d962-48b3-b053-c8210f42f8d9,3/17/2023 22:59
Wildcat,3/17/2023,10.3b,10,3,b,Y3_X3,3,3,NA,Dead,NA,NA,yes,no,NA,Pushed back i n,b7adff73-d962-48b3-b053-c8210f42f8d9,3/17/2023 22:59
Wildcat,3/17/2023,10.3b,10,3,b,Y3_X4,4,3,V2,yes,no,NA,no,no,NA,NA,b7adff73-d962-48b3-b053-c8210f42f8d9,3/17/2023 22:59
Wildcat,3/17/2023,10.3b,10,3,b,Y3_X5,5,3,V3,yes,no,NA,no,no,NA,NA,b7adff73-d962-48b3-b053-c8210f42f8d9,3/17/2023 22:59
Wildcat,3/17/2023,10.3b,10,3,b,Y3_X6,6,3,NA,Dead,NA,NA,yes,no,NA,Pushed back in,b7adff73-d962-48b3-b053-c8210f42f8d9,3/17/2023 22:59
Wildcat,3/17/2023,10.3b,10,3,b,Y3_X7,7,3,V2,yes,no,NA,no,no,NA,NA,b7adff73-d962-48b3-b053-c8210f42f8d9,3/17/2023 22:59
Wildcat,3/17/2023,10.3b,10,3,b,Y3_X8,8,3,V3,yes,no,NA,yes,no,NA,NA,b7adff73-d962-48b3-b053-c8210f42f8d9,3/17/2023 22:59
Wildcat,3/17/2023,10.3b,10,3,b,Y3_X9,9,3,NA,None,no,NA,NA,NA,NA,NA,b7adff73-d962-48b3-b053-c8210f42f8d9,3/17/2023 22:59
Wildcat,3/17/2023,10.3b,10,3,b,Y4_X1,1,4,V1,yes,no,NA,yes,no,NA,NA,b7adff73-d962-48b3-b053-c8210f42f8d9,3/17/2023 22:59
Wildcat,3/17/2023,10.3b,10,3,b,Y4_X2,2,4,V1,yes,no,NA,no,no,NA,NA,b7adff73-d962-48b3-b053-c8210f42f8d9,3/17/2023 22:59
Wildcat,3/17/2023,10.3b,10,3,b,Y4_X3,3,4,V2,yes,no,NA,no,no,NA,NA,b7adff73-d962-48b3-b053-c8210f42f8d9,3/17/2023 22:59
Wildcat,3/17/2023,10.3b,10,3,b,Y4_X4,4,4,V2,yes,no,NA,no,no,NA,NA,b7adff73-d962-48b3-b053-c8210f42f8d9,3/17/2023 22:59
Wildcat,3/17/2023,10.3b,10,3,b,Y4_X5,5,4,V2,yes,no,NA,no,no,NA,NA,b7adff73-d962-48b3-b053-c8210f42f8d9,3/17/2023 22:59
Wildcat,3/17/2023,10.3b,10,3,b,Y4_X6,6,4,V2,yes,no,NA,no,no,NA,NA,b7adff73-d962-48b3-b053-c8210f42f8d9,3/17/2023 22:59
Wildcat,3/17/2023,10.3b,10,3,b,Y4_X7,7,4,V2,yes,no,NA,no,no,NA,NA,b7adff73-d962-48b3-b053-c8210f42f8d9,3/17/2023 22:59
Wildcat,3/17/2023,10.3b,10,3,b,Y4_X8,8,4,NA,None,no,NA,NA,NA,NA,NA,b7adff73-d962-48b3-b053-c8210f42f8d9,3/17/2023 22:59
Wildcat,3/17/2023,10.3b,10,3,b,Y4_X9,9,4,V2,yes,no,NA,yes,no,NA,NA,b7adff73-d962-48b3-b053-c8210f42f8d9,3/17/2023 22:59
Wildcat,3/17/2023,10.3b,10,3,b,Y5_X1,1,5,V2,yes,no,NA,no,no,NA,NA,b7adff73-d962-48b3-b053-c8210f42f8d9,3/17/2023 22:59
Wildcat,3/17/2023,10.3b,10,3,b,Y5_X2,2,5,V2,yes,no,NA,no,no,NA,NA,b7adff73-d962-48b3-b053-c8210f42f8d9,3/17/2023 22:59
Wildcat,3/17/2023,10.3b,10,3,b,Y5_X3,3,5,V1,yes,no,NA,no,no,NA,NA,b7adff73-d962-48b3-b053-c8210f42f8d9,3/17/2023 22:59
Wildcat,3/17/2023,10.3b,10,3,b,Y5_X4,4,5,V2,yes,no,NA,no,no,NA,NA,b7adff73-d962-48b3-b053-c8210f42f8d9,3/17/2023 22:59
Wildcat,3/17/2023,10.3b,10,3,b,Y5_X5,5,5,V1,yes,no,NA,no,no,NA,NA,b7adff73-d962-48b3-b053-c8210f42f8d9,3/17/2023 22:59
Wildcat,3/17/2023,10.3b,10,3,b,Y5_X6,6,5,V2,yes,no,NA,no,no,NA,NA,b7adff73-d962-48b3-b053-c8210f42f8d9,3/17/2023 22:59
Wildcat,3/17/2023,10.3b,10,3,b,Y5_X7,7,5,V2,yes,no,NA,no,no,NA,NA,b7adff73-d962-48b3-b053-c8210f42f8d9,3/17/2023 22:59
Wildcat,3/17/2023,10.3b,10,3,b,Y5_X8,8,5,V2,yes,no,NA,no,no,NA,NA,b7adff73-d962-48b3-b053-c8210f42f8d9,3/17/2023 22:59
Wildcat,3/17/2023,10.3b,10,3,b,Y5_X9,9,5,V3,yes,no,NA,no,no,NA,NA,b7adff73-d962-48b3-b053-c8210f42f8d9,3/17/2023 22:59
