Site,Date,Block,Albedo,Density,x,y,growout,Source,Live,Length_mm,V,notes
Cheyenne,11/16/21,7,white,High,5,7,1_Reno,AAFC04,Y,37,V0,
Cheyenne,11/17/21,7,white,Low,17,4,1_Reno,AAFC04,Y,19,V0,
Cheyenne,11/17/21,8,black,High,1,2,1_Reno,AAFC04,Y,41,V0,leaf damaged but unbroken
Cheyenne,11/17/21,8,black,High,7,7,1_Reno,AAFC04,Y,8,V0,leaf broken
Cheyenne,11/17/21,8,black,Low,3,3,1_Reno,AAFC04,Y,43,V0,
Cheyenne,11/17/21,8,black,Low,19,2,1_Reno,AAFC04,N,,,
Cheyenne,11/17/21,8,white,High,5,2,1_Reno,AAFC04,Y,32,V0,
Cheyenne,11/17/21,8,white,High,5,7,1_Reno,AAFC04,Y,30,V0,
Cheyenne,11/17/21,8,white,Low,7,4,1_Reno,AAFC04,Y,33,V0,
Cheyenne,11/17/21,8,white,Low,8,5,1_Reno,AAFC04,Y,31,V0,
Cheyenne,11/17/21,9,black,High,9,4,1_Reno,AAFC04,Y,15,V0,leaf broken
Cheyenne,11/17/21,9,black,Low,4,3,1_Reno,AAFC04,Y,31,V1,
Cheyenne,11/17/21,9,white,High,7,9,1_Reno,AAFC04,Y,19,V0,
Cheyenne,11/17/21,9,white,Low,13,2,1_Reno,AAFC04,Y,10,V0,
Cheyenne,11/17/21,10,black,High,10,1,1_Reno,AAFC04,Y,36,V0,
Cheyenne,11/17/21,10,black,Low,7,3,1_Reno,AAFC04,Y,48,V1,
Cheyenne,11/17/21,10,white,High,10,2,1_Reno,AAFC04,Y,20,V0,
Cheyenne,11/17/21,10,white,Low,20,3,1_Reno,AAFC04,Y,22,V0,
Cheyenne,11/10/21,1,black,High,8,7,100_Reno,Chynoweth08,Y,35,V0,
Cheyenne,11/10/21,1,black,High,10,6,100_Reno,Chynoweth08,Y,21,V0,
Cheyenne,11/10/21,1,black,Low,10,3,100_Reno,Chynoweth08,Y,28,V0,
Cheyenne,11/10/21,1,black,Low,20,3,100_Reno,Chynoweth08,Y,31,V0,
Cheyenne,11/10/21,1,white,High,1,9,100_Reno,Chynoweth08,Y,20,V0,
Cheyenne,11/10/21,1,white,High,9,2,100_Reno,Chynoweth08,Y,11,V0,
Cheyenne,11/10/21,1,white,Low,3,2,100_Reno,Chynoweth08,Y,14,V0,
Cheyenne,11/10/21,1,white,Low,17,2,100_Reno,Chynoweth08,Y,16,V0,
Cheyenne,11/10/21,2,black,High,8,7,100_Reno,Chynoweth08,Y,40,V0,
Cheyenne,11/10/21,2,black,Low,9,3,100_Reno,Chynoweth08,Y,44,V0,
Cheyenne,11/10/21,2,white,High,5,2,100_Reno,Chynoweth08,Y,5,V0,leaf broken
Cheyenne,11/10/21,2,white,Low,16,4,100_Reno,Chynoweth08,Y,12,V0,
Cheyenne,11/15/21,3,black,High,2,7,100_Reno,Chynoweth08,Y,26,V0,
Cheyenne,11/10/21,3,black,Low,13,3,100_Reno,Chynoweth08,Y,20,V0,
Cheyenne,11/15/21,3,white,High,8,2,100_Reno,Chynoweth08,Y,25,V0,
Cheyenne,11/10/21,3,white,Low,14,4,100_Reno,Chynoweth08,Y,6,V0,
Cheyenne,11/15/21,4,black,High,9,7,100_Reno,Chynoweth08,Y,40,V0,
Cheyenne,11/15/21,4,black,Low,7,5,100_Reno,Chynoweth08,Y,40,V0,
Cheyenne,11/15/21,4,white,High,10,7,100_Reno,Chynoweth08,Y,16,V0,
Cheyenne,11/15/21,4,white,Low,3,1,100_Reno,Chynoweth08,Y,12,V0,
Cheyenne,11/15/21,5,black,High,1,2,100_Reno,Chynoweth08,Y,47,V1,
Cheyenne,11/15/21,5,black,Low,2,4,100_Reno,Chynoweth08,Y,33,V0,
Cheyenne,11/15/21,5,white,High,5,8,100_Reno,Chynoweth08,Y,18,V0,
Cheyenne,11/15/21,5,white,Low,17,1,100_Reno,Chynoweth08,Y,15,V0,
Cheyenne,11/15/21,6,black,High,1,7,100_Reno,Chynoweth08,Y,42,V0,
Cheyenne,11/15/21,6,black,High,4,9,100_Reno,Chynoweth08,Y,42,V0,
Cheyenne,11/15/21,6,black,Low,4,2,100_Reno,Chynoweth08,Y,33,V0,
Cheyenne,11/15/21,6,black,Low,14,2,100_Reno,Chynoweth08,Y,50,V1,
Cheyenne,11/15/21,6,white,High,6,9,100_Reno,Chynoweth08,Y,19,V0,
Cheyenne,11/15/21,6,white,High,7,7,100_Reno,Chynoweth08,Y,27,V0,
Cheyenne,11/15/21,6,white,Low,6,1,100_Reno,Chynoweth08,N,,,
Cheyenne,11/15/21,6,white,Low,20,2,100_Reno,Chynoweth08,Y,13,V0,
Cheyenne,11/16/21,7,black,High,2,10,100_Reno,Chynoweth08,Y,50,V1,
Cheyenne,11/16/21,7,black,Low,7,5,100_Reno,Chynoweth08,Y,47,V1,
Cheyenne,11/16/21,7,white,High,8,9,100_Reno,Chynoweth08,Y,20,V0,
Cheyenne,11/17/21,7,white,Low,11,1,100_Reno,Chynoweth08,Y,15,V0,
Cheyenne,11/17/21,8,black,High,2,3,100_Reno,Chynoweth08,Y,34,V0,
Cheyenne,11/17/21,8,black,Low,11,3,100_Reno,Chynoweth08,Y,42,V0,
Cheyenne,11/17/21,8,white,High,10,1,100_Reno,Chynoweth08,Y,21,V0,
Cheyenne,11/17/21,8,white,Low,8,3,100_Reno,Chynoweth08,Y,26,V0,
Cheyenne,11/17/21,9,black,High,6,9,100_Reno,Chynoweth08,Y,46,V0,
Cheyenne,11/17/21,9,black,Low,7,4,100_Reno,Chynoweth08,Y,34,V1,leaf broken
Cheyenne,11/17/21,9,white,High,10,2,100_Reno,Chynoweth08,Y,13,V0,
Cheyenne,11/17/21,9,white,Low,15,2,100_Reno,Chynoweth08,Y,16,V0,
Cheyenne,11/17/21,10,black,High,2,5,100_Reno,Chynoweth08,Y,42,V0,
Cheyenne,11/17/21,10,black,Low,1,5,100_Reno,Chynoweth08,Y,37,V0,
Cheyenne,11/17/21,10,white,High,10,8,100_Reno,Chynoweth08,Y,20,V0,
Cheyenne,11/17/21,10,white,Low,11,4,100_Reno,Chynoweth08,Y,21,V0,
Cheyenne,11/10/21,1,black,High,3,5,101_Reno,Shriver01,Y,54,V1,
Cheyenne,11/10/21,1,black,Low,10,2,101_Reno,Shriver01,Y,45,V1,
Cheyenne,11/10/21,1,white,High,8,1,101_Reno,Shriver01,Y,33,V0,
Cheyenne,11/10/21,1,white,Low,16,5,101_Reno,Shriver01,Y,27,V0,
Cheyenne,11/10/21,2,black,High,1,8,101_Reno,Shriver01,Y,29,V0,
Cheyenne,11/10/21,2,black,Low,12,5,101_Reno,Shriver01,Y,26,V0,
Cheyenne,11/10/21,2,white,High,4,1,101_Reno,Shriver01,Y,17,V0,
Cheyenne,11/10/21,2,white,Low,7,2,101_Reno,Shriver01,Y,28,V0,
Cheyenne,11/15/21,3,black,High,8,3,101_Reno,Shriver01,N,,,
Cheyenne,11/10/21,3,black,Low,6,2,101_Reno,Shriver01,Y,26,V0,
Cheyenne,11/15/21,3,white,High,3,5,101_Reno,Shriver01,Y,18,V0,
Cheyenne,11/10/21,3,white,Low,18,4,101_Reno,Shriver01,Y,27,V0,
Cheyenne,11/15/21,4,black,High,7,2,101_Reno,Shriver01,Y,61,V1,
Cheyenne,11/15/21,4,black,High,10,10,101_Reno,Shriver01,Y,58,V1,
Cheyenne,11/15/21,4,black,Low,8,3,101_Reno,Shriver01,Y,49,V1,
Cheyenne,11/15/21,4,black,Low,14,3,101_Reno,Shriver01,Y,26,V1,leaf broken
Cheyenne,11/15/21,4,white,High,6,9,101_Reno,Shriver01,Y,32,V0,
Cheyenne,11/15/21,4,white,High,7,6,101_Reno,Shriver01,Y,34,V0,
Cheyenne,11/15/21,4,white,Low,6,3,101_Reno,Shriver01,Y,8,V0,
Cheyenne,11/15/21,4,white,Low,7,4,101_Reno,Shriver01,N,,,
Cheyenne,11/15/21,5,black,High,3,7,101_Reno,Shriver01,Y,45,V1,
Cheyenne,11/15/21,5,black,Low,12,2,101_Reno,Shriver01,Y,35,V1,
Cheyenne,11/15/21,5,white,High,4,1,101_Reno,Shriver01,Y,44,V0,
Cheyenne,11/15/21,5,white,Low,1,3,101_Reno,Shriver01,Y,40,V0,
Cheyenne,11/15/21,6,black,High,3,5,101_Reno,Shriver01,Y,49,V1,
Cheyenne,11/15/21,6,black,Low,4,4,101_Reno,Shriver01,Y,53,V1,
Cheyenne,11/15/21,6,white,High,5,3,101_Reno,Shriver01,Y,40,V0,
Cheyenne,11/15/21,6,white,Low,8,3,101_Reno,Shriver01,Y,23,V0,
Cheyenne,11/16/21,7,black,High,1,4,101_Reno,Shriver01,Y,57,V1,
Cheyenne,11/16/21,7,black,Low,12,1,101_Reno,Shriver01,Y,60,V1,
Cheyenne,11/16/21,7,white,High,7,8,101_Reno,Shriver01,Y,44,V1,
Cheyenne,11/17/21,7,white,Low,6,5,101_Reno,Shriver01,Y,53,V1,
Cheyenne,11/17/21,8,black,High,9,4,101_Reno,Shriver01,Y,40,V0,
Cheyenne,11/17/21,8,black,Low,6,4,101_Reno,Shriver01,Y,48,V1,
Cheyenne,11/17/21,8,white,High,2,10,101_Reno,Shriver01,Y,36,V0,
Cheyenne,11/17/21,8,white,Low,15,5,101_Reno,Shriver01,Y,44,V1,
Cheyenne,11/17/21,9,black,High,1,6,101_Reno,Shriver01,Y,55,V1,
Cheyenne,11/17/21,9,black,Low,7,5,101_Reno,Shriver01,Y,27,V1,leaf broken
Cheyenne,11/17/21,9,white,High,3,2,101_Reno,Shriver01,Y,47,V0,
Cheyenne,11/17/21,9,white,Low,17,1,101_Reno,Shriver01,Y,28,V0,
Cheyenne,11/17/21,10,black,High,6,2,101_Reno,Shriver01,Y,52,V1,
Cheyenne,11/17/21,10,black,High,7,7,101_Reno,Shriver01,Y,52,V1,
Cheyenne,11/17/21,10,black,Low,2,1,101_Reno,Shriver01,Y,49,V1,
Cheyenne,11/17/21,10,black,Low,2,4,101_Reno,Shriver01,Y,55,V1,
Cheyenne,11/17/21,10,white,High,3,1,101_Reno,Shriver01,Y,28,V0,
Cheyenne,11/17/21,10,white,High,3,5,101_Reno,Shriver01,Y,25,V0,leaf damaged but unbroken
Cheyenne,11/17/21,10,white,Low,3,3,101_Reno,Shriver01,Y,49,V1,
Cheyenne,11/17/21,10,white,Low,13,2,101_Reno,Shriver01,Y,28,V0,
Cheyenne,11/10/21,1,black,High,2,4,102_Reno,Shriver02,Y,18,V0,leaf damaged but unbroken
Cheyenne,11/10/21,1,black,High,2,5,102_Reno,Shriver02,Y,17,V0,
Cheyenne,11/10/21,1,black,Low,8,2,102_Reno,Shriver02,Y,37,V0,
Cheyenne,11/10/21,1,black,Low,18,5,102_Reno,Shriver02,Y,32,V0,tip die back
Cheyenne,11/10/21,1,white,High,2,2,102_Reno,Shriver02,Y,27,V0,
Cheyenne,11/10/21,1,white,High,10,1,102_Reno,Shriver02,Y,32,V0,
Cheyenne,11/10/21,1,white,Low,4,5,102_Reno,Shriver02,Y,11,V0,
Cheyenne,11/10/21,1,white,Low,5,3,102_Reno,Shriver02,Y,15,V0,
Cheyenne,11/10/21,2,black,High,6,9,102_Reno,Shriver02,Y,40,V0,
Cheyenne,11/10/21,2,black,Low,7,1,102_Reno,Shriver02,Y,39,V0,
Cheyenne,11/10/21,2,white,High,9,10,102_Reno,Shriver02,Y,16,V0,
Cheyenne,11/10/21,2,white,Low,18,1,102_Reno,Shriver02,Y,15,V0,
Cheyenne,11/15/21,3,black,High,7,7,102_Reno,Shriver02,Y,21,V0,leaf broken
Cheyenne,11/10/21,3,black,Low,19,4,102_Reno,Shriver02,Y,19,V0,
Cheyenne,11/15/21,3,white,High,7,3,102_Reno,Shriver02,Y,17,V0,
Cheyenne,11/10/21,3,white,Low,20,5,102_Reno,Shriver02,Y,20,V0,
Cheyenne,11/15/21,4,black,High,5,4,102_Reno,Shriver02,Y,24,V1,
Cheyenne,11/15/21,4,black,Low,20,3,102_Reno,Shriver02,Y,53,V1,
Cheyenne,11/15/21,4,white,High,2,10,102_Reno,Shriver02,Y,11,V0,
Cheyenne,11/15/21,4,white,Low,15,4,102_Reno,Shriver02,Y,10,V0,
Cheyenne,11/15/21,5,black,High,1,6,102_Reno,Shriver02,Y,48,V1,
Cheyenne,11/15/21,5,black,High,7,8,102_Reno,Shriver02,Y,40,V1,
Cheyenne,11/15/21,5,black,Low,7,3,102_Reno,Shriver02,Y,38,V0,
Cheyenne,11/15/21,5,black,Low,9,5,102_Reno,Shriver02,Y,50,V1,
Cheyenne,11/15/21,5,white,High,4,5,102_Reno,Shriver02,Y,16,V0,
Cheyenne,11/15/21,5,white,High,8,10,102_Reno,Shriver02,Y,24,V0,
Cheyenne,11/15/21,5,white,Low,2,2,102_Reno,Shriver02,Y,17,V0,
Cheyenne,11/15/21,5,white,Low,10,5,102_Reno,Shriver02,Y,4,V0,
Cheyenne,11/15/21,6,black,High,8,2,102_Reno,Shriver02,Y,30,V1,leaf broken
Cheyenne,11/15/21,6,black,Low,12,4,102_Reno,Shriver02,Y,43,V1,
Cheyenne,11/15/21,6,white,High,3,3,102_Reno,Shriver02,Y,21,V0,
Cheyenne,11/15/21,6,white,Low,11,2,102_Reno,Shriver02,Y,22,V0,
Cheyenne,11/16/21,7,black,High,7,3,102_Reno,Shriver02,Y,21,V1,leaf broken
Cheyenne,11/16/21,7,black,Low,1,4,102_Reno,Shriver02,Y,41,V0,
Cheyenne,11/16/21,7,white,High,1,8,102_Reno,Shriver02,Y,14,V0,
Cheyenne,11/17/21,7,white,Low,2,3,102_Reno,Shriver02,Y,14,V0,
Cheyenne,11/17/21,8,black,High,10,4,102_Reno,Shriver02,Y,41,V0,
Cheyenne,11/17/21,8,black,Low,2,5,102_Reno,Shriver02,Y,24,V1,
Cheyenne,11/17/21,8,white,High,3,3,102_Reno,Shriver02,Y,24,V0,
Cheyenne,11/17/21,8,white,Low,4,5,102_Reno,Shriver02,Y,22,V0,
Cheyenne,11/17/21,9,black,High,2,2,102_Reno,Shriver02,Y,47,V1,
Cheyenne,11/17/21,9,black,Low,10,4,102_Reno,Shriver02,Y,35,V1,
Cheyenne,11/17/21,9,white,High,5,9,102_Reno,Shriver02,Y,26,V0,
Cheyenne,11/17/21,9,white,Low,16,5,102_Reno,Shriver02,Y,22,V0,
Cheyenne,11/17/21,10,black,High,5,3,102_Reno,Shriver02,Y,44,V1,
Cheyenne,11/17/21,10,black,Low,12,5,102_Reno,Shriver02,Y,40,V1,
Cheyenne,11/17/21,10,white,High,1,4,102_Reno,Shriver02,Y,34,V0,
Cheyenne,11/17/21,10,white,Low,14,1,102_Reno,Shriver02,Y,18,V0,
Cheyenne,11/10/21,1,black,High,2,3,103_Reno,Davies03,Y,43,V0,
Cheyenne,11/10/21,1,black,Low,13,5,103_Reno,Davies03,Y,32,V0,
Cheyenne,11/10/21,1,white,High,2,3,103_Reno,Davies03,Y,21,V0,
Cheyenne,11/10/21,1,white,Low,3,5,103_Reno,Davies03,Y,13,V0,
Cheyenne,11/10/21,2,black,High,2,5,103_Reno,Davies03,Y,37,V0,
Cheyenne,11/10/21,2,black,Low,16,5,103_Reno,Davies03,Y,27,V0,
Cheyenne,11/10/21,2,white,High,3,3,103_Reno,Davies03,Y,21,V0,
Cheyenne,11/10/21,2,white,Low,19,2,103_Reno,Davies03,Y,18,V0,
Cheyenne,11/15/21,3,black,High,5,6,103_Reno,Davies03,Y,14,V1,
Cheyenne,11/10/21,3,black,Low,20,1,103_Reno,Davies03,N,,,
Cheyenne,11/15/21,3,white,High,6,8,103_Reno,Davies03,Y,28,V0,
Cheyenne,11/10/21,3,white,Low,20,3,103_Reno,Davies03,Y,19,V0,
Cheyenne,11/15/21,4,black,High,10,5,103_Reno,Davies03,Y,45,V1,
Cheyenne,11/15/21,4,black,Low,10,3,103_Reno,Davies03,Y,29,V0,
Cheyenne,11/15/21,4,white,High,3,5,103_Reno,Davies03,Y,24,V0,
Cheyenne,11/15/21,4,white,Low,18,1,103_Reno,Davies03,Y,8,V0,
Cheyenne,11/15/21,5,black,High,3,10,103_Reno,Davies03,Y,47,V1,
Cheyenne,11/15/21,5,black,Low,3,5,103_Reno,Davies03,Y,43,V1,
Cheyenne,11/15/21,5,white,High,1,6,103_Reno,Davies03,Y,13,V0,
Cheyenne,11/15/21,5,white,Low,15,3,103_Reno,Davies03,Y,18,V0,
Cheyenne,11/15/21,6,black,High,6,7,103_Reno,Davies03,Y,38,V0,
Cheyenne,11/15/21,6,black,High,10,8,103_Reno,Davies03,Y,48,V1,
Cheyenne,11/15/21,6,black,Low,11,4,103_Reno,Davies03,Y,48,V1,
Cheyenne,11/15/21,6,black,Low,18,5,103_Reno,Davies03,Y,36,V0,
Cheyenne,11/15/21,6,white,High,3,4,103_Reno,Davies03,Y,8,V0,
Cheyenne,11/15/21,6,white,High,10,9,103_Reno,Davies03,Y,26,V0,
Cheyenne,11/15/21,6,white,Low,6,3,103_Reno,Davies03,Y,26,V0,
Cheyenne,11/15/21,6,white,Low,19,1,103_Reno,Davies03,Y,16,V0,
Cheyenne,11/16/21,7,black,High,1,2,103_Reno,Davies03,Y,46,V1,
Cheyenne,11/16/21,7,black,High,2,1,103_Reno,Davies03,Y,44,V1,
Cheyenne,11/16/21,7,black,Low,6,3,103_Reno,Davies03,Y,47,V1,
Cheyenne,11/16/21,7,black,Low,11,4,103_Reno,Davies03,Y,25,V0,leaf broken
Cheyenne,11/16/21,7,white,High,1,1,103_Reno,Davies03,Y,18,V0,
Cheyenne,11/16/21,7,white,High,7,6,103_Reno,Davies03,Y,30,V0,
Cheyenne,11/17/21,7,white,Low,3,1,103_Reno,Davies03,Y,14,V0,
Cheyenne,11/17/21,7,white,Low,20,3,103_Reno,Davies03,Y,23,V0,
Cheyenne,11/17/21,8,black,High,7,8,103_Reno,Davies03,Y,44,V1,
Cheyenne,11/17/21,8,black,Low,12,3,103_Reno,Davies03,Y,46,V0,
Cheyenne,11/17/21,8,white,High,9,8,103_Reno,Davies03,Y,38,V0,
Cheyenne,11/17/21,8,white,Low,9,1,103_Reno,Davies03,Y,17,V0,
Cheyenne,11/17/21,9,black,High,10,9,103_Reno,Davies03,Y,27,V0,
Cheyenne,11/17/21,9,black,Low,7,3,103_Reno,Davies03,Y,49,V1,
Cheyenne,11/17/21,9,white,High,3,6,103_Reno,Davies03,Y,40,V0,
Cheyenne,11/17/21,9,white,Low,15,3,103_Reno,Davies03,Y,22,V0,
Cheyenne,11/17/21,10,black,High,7,2,103_Reno,Davies03,Y,46,V1,
Cheyenne,11/17/21,10,black,Low,17,4,103_Reno,Davies03,Y,45,V1,
Cheyenne,11/17/21,10,white,High,5,9,103_Reno,Davies03,Y,23,V0,
Cheyenne,11/17/21,10,white,Low,6,1,103_Reno,Davies03,Y,24,V0,
Cheyenne,11/10/21,1,black,High,9,8,104_Reno,Germino BOP 01,N,,,
Cheyenne,11/10/21,1,black,Low,2,1,104_Reno,Germino BOP 01,Y,41,V0,
Cheyenne,11/10/21,1,white,High,9,8,104_Reno,Germino BOP 01,Y,16,V0,
Cheyenne,11/10/21,1,white,Low,14,2,104_Reno,Germino BOP 01,Y,11,V0,
Cheyenne,11/10/21,2,black,High,9,7,104_Reno,Germino BOP 01,Y,39,V0,
Cheyenne,11/10/21,2,black,Low,16,3,104_Reno,Germino BOP 01,N,,,
Cheyenne,11/10/21,2,white,High,6,2,104_Reno,Germino BOP 01,Y,13,V0,
Cheyenne,11/10/21,2,white,Low,13,1,104_Reno,Germino BOP 01,Y,1,V0,
Cheyenne,11/15/21,3,black,High,10,1,104_Reno,Germino BOP 01,Y,40,V0,
Cheyenne,11/10/21,3,black,Low,7,3,104_Reno,Germino BOP 01,Y,27,V0,
Cheyenne,11/15/21,3,white,High,4,8,104_Reno,Germino BOP 01,Y,18,V0,
Cheyenne,11/10/21,3,white,Low,1,3,104_Reno,Germino BOP 01,Y,10,V0,
Cheyenne,11/15/21,4,black,High,5,3,104_Reno,Germino BOP 01,Y,14,V0,
Cheyenne,11/15/21,4,black,High,9,2,104_Reno,Germino BOP 01,Y,46,V1,
Cheyenne,11/15/21,4,black,Low,4,2,104_Reno,Germino BOP 01,Y,37,V0,
Cheyenne,11/15/21,4,black,Low,9,3,104_Reno,Germino BOP 01,Y,44,V1,
Cheyenne,11/15/21,4,white,High,7,7,104_Reno,Germino BOP 01,Y,15,V0,
Cheyenne,11/15/21,4,white,High,10,4,104_Reno,Germino BOP 01,Y,20,V0,
Cheyenne,11/15/21,4,white,Low,9,1,104_Reno,Germino BOP 01,Y,20,V0,
Cheyenne,11/15/21,4,white,Low,16,4,104_Reno,Germino BOP 01,Y,5,V0,
Cheyenne,11/15/21,5,black,High,6,7,104_Reno,Germino BOP 01,Y,43,V1,
Cheyenne,11/15/21,5,black,Low,1,1,104_Reno,Germino BOP 01,Y,39,V0,
Cheyenne,11/15/21,5,white,High,2,1,104_Reno,Germino BOP 01,Y,11,V0,
Cheyenne,11/15/21,5,white,Low,17,3,104_Reno,Germino BOP 01,Y,29,V0,
Cheyenne,11/15/21,6,black,High,4,5,104_Reno,Germino BOP 01,Y,41,V0,
Cheyenne,11/15/21,6,black,Low,16,2,104_Reno,Germino BOP 01,Y,35,V0,
Cheyenne,11/15/21,6,white,High,6,3,104_Reno,Germino BOP 01,Y,33,V0,
Cheyenne,11/15/21,6,white,Low,18,5,104_Reno,Germino BOP 01,Y,15,V0,
Cheyenne,11/16/21,7,black,High,1,3,104_Reno,Germino BOP 01,Y,32,V1,leaf broken
Cheyenne,11/16/21,7,black,Low,17,2,104_Reno,Germino BOP 01,Y,45,V1,
Cheyenne,11/16/21,7,white,High,5,5,104_Reno,Germino BOP 01,Y,36,V0,
Cheyenne,11/17/21,7,white,Low,9,3,104_Reno,Germino BOP 01,Y,34,V0,
Cheyenne,11/17/21,8,black,High,7,10,104_Reno,Germino BOP 01,Y,3,V0,
Cheyenne,11/17/21,8,black,High,9,5,104_Reno,Germino BOP 01,Y,33,V0,
Cheyenne,11/17/21,8,black,Low,4,5,104_Reno,Germino BOP 01,Y,47,V1,
Cheyenne,11/17/21,8,black,Low,5,3,104_Reno,Germino BOP 01,Y,44,V0,leaf damaged but unbroken
Cheyenne,11/17/21,8,white,High,3,10,104_Reno,Germino BOP 01,Y,44,V0,
Cheyenne,11/17/21,8,white,High,5,10,104_Reno,Germino BOP 01,Y,39,V0,
Cheyenne,11/17/21,8,white,Low,6,4,104_Reno,Germino BOP 01,Y,24,V0,
Cheyenne,11/17/21,8,white,Low,12,3,104_Reno,Germino BOP 01,Y,34,V0,
Cheyenne,11/17/21,9,black,High,7,2,104_Reno,Germino BOP 01,Y,45,V0,
Cheyenne,11/17/21,9,black,Low,13,2,104_Reno,Germino BOP 01,Y,37,V1,
Cheyenne,11/17/21,9,white,High,9,9,104_Reno,Germino BOP 01,Y,37,V0,
Cheyenne,11/17/21,9,white,Low,5,4,104_Reno,Germino BOP 01,Y,29,V0,
Cheyenne,11/17/21,10,black,High,9,4,104_Reno,Germino BOP 01,Y,33,V0,
Cheyenne,11/17/21,10,black,Low,2,3,104_Reno,Germino BOP 01,Y,33,V0,
Cheyenne,11/17/21,10,white,High,3,9,104_Reno,Germino BOP 01,Y,34,V0,
Cheyenne,11/17/21,10,white,Low,1,5,104_Reno,Germino BOP 01,Y,32,V0,
Cheyenne,11/10/21,1,white,Low,1,3,105_Logan,Blumenthal10,Y,6,V0,
Cheyenne,11/10/21,2,black,High,6,1,105_Logan,Blumenthal10,Y,8,V0,
Cheyenne,11/10/21,2,white,High,6,1,105_Logan,Blumenthal10,Y,8,V0,
Cheyenne,11/15/21,3,black,High,3,3,105_Logan,Blumenthal10,Y,16,V0,
Cheyenne,11/15/21,3,white,High,2,10,105_Logan,Blumenthal10,N,,,
Cheyenne,11/10/21,3,white,Low,19,4,105_Logan,Blumenthal10,N,,,
Cheyenne,11/15/21,4,black,Low,11,3,105_Logan,Blumenthal10,Y,7,V0,
Cheyenne,11/15/21,4,white,Low,13,5,105_Logan,Blumenthal10,N,,,
Cheyenne,11/15/21,5,black,High,6,1,105_Logan,Blumenthal10,Y,8,V0,
Cheyenne,11/15/21,5,black,High,9,7,105_Logan,Blumenthal10,Y,21,V0,
Cheyenne,11/15/21,5,black,Low,7,4,105_Logan,Blumenthal10,Y,13,V0,leaf damaged but unbroken
Cheyenne,11/15/21,5,white,Low,3,5,105_Logan,Blumenthal10,Y,2,V0,
Cheyenne,11/15/21,5,white,Low,5,2,105_Logan,Blumenthal10,N,,,
Cheyenne,11/15/21,6,black,High,8,5,105_Logan,Blumenthal10,Y,10,V0,
Cheyenne,11/15/21,6,white,Low,15,5,105_Logan,Blumenthal10,N,,,
Cheyenne,11/16/21,7,black,High,6,1,105_Logan,Blumenthal10,Y,41,V0,
Cheyenne,11/16/21,7,black,Low,12,2,105_Logan,Blumenthal10,Y,20,V0,
Cheyenne,11/17/21,7,white,Low,14,1,105_Logan,Blumenthal10,Y,17,V0,
