,,,,,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes,plant_length,v_stage,notes
6/21/22,black,high,1,9,,,,163,FG,,,,,,,,,,,126,FG,,96,FG,,136,FG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/21/22,black,high,1,10,230,FG,,156,FG,,155,FG,,H,H,,206,FG,,133,FG,,133,FG,,116,FG,,,,,127,FG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/21/22,white,low,1,1,,,,,,,90,FG,,136,FG,herbivory,,,,,,,,,,,,,116,FG,,,,,128,FG,,106,IB,herbivory,71,V3+,h herbivory,,,,,,,121,V3+,h herbivory,48,no record,herbivory,,,,118,FG,herbivory,70,V3+,h herbivory
6/21/22,white,low,1,2,,,,203,FG,herbivory,,,,,,,,,,,,,,,,229,FG,h herbivory,,,,243,FG,,,,,80,IB,,,,,,,,52,V3+,h herbivory,,,,,,,164,FG,h herbivory,83,FG,herbivory,,,
6/21/22,white,low,1,3,,,,,,,211,FG,herbivory,115,V3+,h herbivory,,,,56,V3+,h herbivory,,,,,,,112,FG,,95,FG,,194,FG,herbivory,80,V3+,h herbivory,,,,,,,68,V3+,h herbivory,51,IB,h herbivory,,,,,,,124,FG,herbivory,,,
6/21/22,white,low,1,4,36,V3+,h herbivory,124,FG,,,,,,,,,,,,,,,,,,,,66,V3+,h herbivory,157,FG,herbivory,,,,76,FG,,190,FG,herbivory,,,,,,,,,,,,,,,,87,FG,h herbivory,,,
6/21/22,white,low,1,5,,,,161,FG,,,,,172,FG,herbivory,,,,,,,127,FG,h herbivory,,,,,,,,,,71,V3+,h herbivory,106,FG,,,,,,,,,,,,,,,,,149,FG,herbivory,51,V3+,h herbivory,65,V3+,h herbivory
6/21/22,black,high,2,1,,,,,,,,,,175,FG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/21/22,black,high,2,2,88,FG,,131,IB,,72,V3+,,,,,,,,59,IB,post-harvest regrowth,76,IB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/21/22,black,high,2,3,78,IB,,116,FG,,H,H,,97,FG,,156,FG,,120,FG,,,,,213,FG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/21/22,black,high,2,4,114,IB,,,,,,,,67,V3+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/21/22,black,high,2,5,172,FG,,154,FG,,,,,69,FG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/21/22,black,high,2,6,,,,,,,,,,,,,,,,104,FG,,123,FG,,75,FG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/21/22,black,high,2,7,151,FG,,,,,34,V1,post-harvest regrowth,,,,122,FG,,,,,100,V3+,,150,FG,,172,FG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/21/22,black,high,2,8,,,,,,,155,FG,,,,,,,,,,,110,FG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/21/22,black,high,2,9,141,FG,,46,FG,,74,FG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/21/22,black,high,2,10,,,,,,,,,,,,,,,,284,FG,,199,FG,,,,,,,,56,V3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/21/22,white,low,2,1,62,V3+,herbivory,69,V3+,h herbivory,,,,34,V3+,h herbivory,,,,65,V3+,h herbivory,,,,162,FG,h herbivory,65,V3+,h herbivory,59,V3+,h herbivory,181,FG,h herbivory,,,,22,V3+,h herbivory,83,FG,,78,IB,h herbivory,137,FG,h herbivory,124,V3+,h herbivory,301,FG,h herbivory,229,FG,herbivory,88,V3+,h herbivory
6/21/22,white,low,2,2,65,V3+,h herbivory,86,V3+,h herbivory,,,,,,,,,,,,,,,,151,FG,h herbivory,226,FG,herbivory,203,FG,herbivory,235,FG,h herbivory,,,,62,V3+,h herbivory,,,,,,,162,IB,h herbivory,,,,,,,238,FG,h herbivory,,,
6/21/22,white,low,2,3,,,,,,,202,FG,h herbivory,40,V3+,h herbivory,,,,109,IB ,,91,FG,,,,,190,FG,h herbivory,111,V3+,herbivory,71,V3+,h herbivory,,,,,,,,,,,,,119,FG,herbivory,,,,,,,,,,213,FG,h herbivory
6/21/22,white,low,2,4,,,,71,V3+,h herbivory,,,,62,V3+,h herbivory,224,FG,herbivory,,,,188,FG,herbivory,152,IB,,,,,70,V3+,herbivory,,,,,,,,,,,,,,,,,,,316,FG,herbivory,311,FG,h herbivory,221,FG,,309,FG,herbivory
6/21/22,white,low,2,5,,,,,,,177,FG,herbivory,,,,239,FG,herbivory,155,FG,herbivory,146,FG,,222,FG,herbivory,,,,,,,,,,,,,,,,,,,,,,336,FG,h herbivory,292,FG,h herbivory,212,FG,,140,FG,post-harvest regrowth,264,FG,
6/21/22,white,high,2,1,,,,135,FG,,140,FG,,100,FG,,,,,175,FG,,145,FG,,105,IB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/21/22,white,high,2,2,109,IB,,,,,131,FG,,195,FG,,130,FG,,139,FG,,201,FG,,171,FG,,,,now absent,28,V3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/21/22,white,high,2,3,129,FG,,135,FG,,,,,190,FG,,108,FG,,170,FG,,171,FG,,,,,161,FG,,223,FG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/21/22,white,high,2,4,,,,201,FG,,128,FG,,159,FG,,153,FG,,151,FG,,169,FG,,125,FG,,130,FG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/21/22,white,high,2,5,155,FG,,153,FG,,134,FG,,160,FG,,,,,,,,148,FG,,136,FG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/21/22,white,high,2,6,166,FG,,,,,150,FG,,132,FG,,129,FG,,142,FG,,141,FG,,115,FG,,67,V3+,,145,FG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/21/22,white,high,2,7,53,V2,,187,FG,,40,V2,,134,FG,,68,IB,,93,FG,,121,FG,,,,,,,,159,FG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/21/22,white,high,2,8,,,,,,,,,,220,FG,,119,FG,,122,FG,,,,,,,,,,,94,FG,post-harvest regrowth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/21/22,white,high,2,9,,,,,,,,,,160,FG,,164,FG,,188,FG,,H,H,,,,,126,FG,,90,FG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/21/22,white,high,2,10,179,FG,,,,,,,,,,,153,FG,,92,FG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/21/22,black,low,2,1,268,FG,herbivory,,,,227,FG,herbivory,,,,215,FG,herbivory,218,FG,herbivory,172,FG,herbivory,166,FG,herbivory,,,,302,FG,herbivory,,,,203,FG,h herbivory,,,,,,,,,,,,,,,,,,,,,,,,
6/21/22,black,low,2,2,144,FG,,182,FG,,187,FG,herbivory,314,FG,herbivory,,,,272,FG,herbivory,,,,117,FG,,274,FG,herbivory,,,,30,V3+,,189,FG,,,,,,,,,,,,,,,,,,,,,,,H,H,
6/21/22,black,low,2,3,215,FG,herbivory,169,FG,herbivory,221,FG,herbivory,269,FG,herbivory,,,,253,FG,h herbivory,,,,,,,242,FG,herbivory,203,FG,herbivory,,,,91,FG,,,,,,,,,,,,,,,,,108,V3+,h herbivory,,,,,,
6/21/22,black,low,2,4,60,FG,,,,,243,FG,herbivory,196,FG,herbivory,172,IB,h herbivory,,,,72,V3+,h herbivory,,,,,,,,,,,,,21,V3+,,,,,,,,,,,,,,,,,,,,,,,,,
6/21/22,black,low,2,5,,,,157,FG,herbivory,,,,139,FG,,,,,180,FG,herbivory,,,,135,FG,h herbivory,,,,150,FG,herbivory,,,,,,,,,,,,,,,,,,,212,FG,herbivory,,,,,,,,,
6/21/22,white,low,3,1,,,,190,FG,h herbivory,,,,,,,40,V3+,,,,,28,V3+,h herbivory,,,,79,V3+,h herbivory,,,,88,FG,h herbivory,,,,,,,86,V3+,h herbivory,,,,,,,,,,,,,,,,,,
6/21/22,white,low,3,2,,,,,,,,,,47,V3+,h herbivory,,,,,,,61,V3+,h herbivory,75,V3+,h herbivory,40,V3+,,54,V3+,h herbivory,37,V3+,h herbivory,,,,59,V3+,h herbivory,91,V3+,h herbivory,39,V3+,h herbivory,,,,26,V3+,h herbivory,,,,,,,,,
6/21/22,white,low,3,3,,,,,,,205,FG,h herbivory,,,,,,,,,,64,V3+,h herbivory,65,V3+,h herbivory,21,V3+,h herbivory,67,V3+,h herbivory,,,,,,,,,,40,V3+,h herbivory,,,,31,V3+,h herbivory,38,IB ,h herbivory,,,,,,,,,
6/21/22,white,low,3,4,240,FG,h herbivory,,,,,,,,,,,,,,,,,,,,,,,,,27,V3+,h herbivory,23,V2,,,,,,,,,,,,,,,,,,,,,,,,,,39,V3+,h herbivory
6/21/22,white,low,3,5,,,,,,,,,,,,,,,,,,,,,,,,,39,V3+,h herbivory,69,V3+,h herbivory,,,,,,,45,V3+,h herbivory,,,,,,,,,,,,,73,FG,herbivory,,,,21,V3+,h herbivory
6/21/22,black,low,3,1,,,,61,V3+,h herbivory,32,V3+,,210,FG,herbivory,218,FG,h herbivory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/21/22,black,low,3,2,,,,,,,,,,309,FG,h herbivory,51,V3+,h herbivory,,,,,,,202,FG,herbivory,,,,313,FG,herbivory,,,,,,,,,,,,,,,,,,,,,,,,,315,FG,h herbivory,,,
6/21/22,black,low,3,3,,,,,,,,,,,,,,,,,,,,,,,,,99,V3+,h herbivory,,,,,,,32,V1,post-harvest regrowth,,,,,,,,,,,,,99,FG,,,,,,,,,,
6/21/22,black,low,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314,FG,herbivory,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/21/22,black,low,3,5,,,,,,,,,,,,,,,,,,,,,,215,FG,h herbivory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/21/22,white,high,3,1,,,,,,,,,,179,FG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/21/22,white,high,3,2,80,FG,,,,,,,,47,V3,,,,,,,,139,FG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/21/22,white,high,3,3,185,IB,,158,FG,,112,FG,,,,,90,V3+,,198,FG,,109,FG,,,,,139,FG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/21/22,white,high,3,4,,,,,,,,,,156,IB,,195,FG,,,,,,,,,,,273,FG,,20,V1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/21/22,white,high,3,5,126,FG,,,,,,,,80,IB,,177,FG,,111,FG,,,,,,,,155,FG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/21/22,white,high,3,6,172,FG,,,,,134,IB,,,,,123,FG,,196,FG,,235,FG,,,,,146,FG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/21/22,white,high,3,7,42,V3+,,121,IB,,,,,160,FG,,,,,160,FG,,,,,205,FG,,135,FG,,210,FG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/21/22,white,high,3,8,,,,,,,,,,,,,200,FG,,,,,,,,,,,152,FG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/21/22,white,high,3,9,101,FG,,,,,112,FG,,,,,,,"harvested at some point, no live regrowth",102,FG,,160,IB,,126,FG,,,,,60,FG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/21/22,white,high,3,10,,,,,,,,,,135,FG,,206,FG,,,,,,,,168,FG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/21/22,black,high,3,1,,,,,,,,,,,,,,,,155,FG,,,,,,,,180,FG,,132,FG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/21/22,black,high,3,2,,,,,,,,,,,,,,,,,,,162,FG,,120,FG,,153,FG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/21/22,black,high,3,3,,,,217,FG,,,,,92,V3+,,,,,127,FG,,148,FG,,,,,179,FG,,143,FG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/21/22,black,high,3,4,237,FG,,,,,159,FG,,127,FG,,114,FG,,57,V2,,146,FG,,,,,182,FG,,114,FG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/21/22,black,high,3,5,,,,,,,H,H,,,,,133,FG,,,,,94,FG,,,,,130,FG,,124,FG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/21/22,black,high,3,6,,,,,,,102,FG,,,,,132,FG,,,,,,,,131,FG,,82,V3+,,132,FG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/21/22,black,high,3,7,,,,,,,191,FG,,169,FG,,,,,,,now absent,69,FG,,,,,156,FG,,151,FG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/21/22,black,high,3,8,,,,139,FG,,134,FG,,82,V3+,,115,FG,,,,,167,FG,,,,,,,now absent,162,FG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/21/22,black,high,3,9,227,FG,,139,FG,,182,FG,,206,FG,,105,FG,,156,FG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/21/22,black,high,3,10,175,FG,,,,,176,FG,,,,,134,FG,,120,FG,,,,,,,,,,,160,FG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/23/22,black,high,4,1,,,,149,FG,,,,,,,,126,FG,,,,,,,,,,,,,,48,IB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/23/22,black,high,4,2,,,,,,,127,FG,,,,,145,FG,,,,,,,,,,,84,FG,,83,FG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/23/22,black,high,4,3,,,,230,FG,,,,,,,,105,FG,,167,FG,,115,IB,,177,FG,,90,FG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/23/22,black,high,4,4,,,,,,,,,,,,,,,,103,FG,,201,FG,,189,FG,,,,,126,FG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/23/22,black,high,4,5,,,,127,FG,,,,,,,,130,FG,,91,FG,regrowth,142,FG,,136,FG,,176,FG,,161,FG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/23/22,black,high,4,6,,,,20,V3+,,154,FG,,,,,,,,164,FG,,,,,106,FG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/23/22,black,high,4,7,,,,,,,,,,,,,,,,43,V3+,,,,,,,,,,,156,FG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/23/22,black,high,4,8,139,FG,,189,FG,,80,FG,regrowth,114,FG,,121,FG,,153,FG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/23/22,black,high,4,9,,,,,,,,,,,,,97,FG,,,,,208,FG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/23/22,black,high,4,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/23/22,black,low,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,"in hoofprint, toothpick gone, no plant",,,,,,,,,,,,,216,FG,herbivory,,,,250,FG,herbivory,73,V3+,h herbivory,,,,,,,,,
6/23/22,black,low,4,2,167,FG,herbivory,,,,188,FG,herbivory,62,FG,,56,V3+,h herbivory,120,FG,herbivory,,,,,,,,,,334,FG,herbivory,,,,172,FG,,,,,,,,,,,,,,313,FG,h herbivory,162,FG,herbivory,,,,,,
6/23/22,black,low,4,3,33,V3+,h herbivory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/23/22,black,low,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171,FG,herbivory,,,,190,FG,h herbivory,,,
6/23/22,black,low,4,5,,,,,,,,,,,,,,,,115,V3+,h herbivory,179,FG,herbivory,,,,,,,,,,283,FG,herbivory,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/23/22,white,low,4,1,,,,,,,92,V3+,h herbivory,,,,,,,,,,83,V3+,h herbivory,170,FG,h herbivory,,,,,,,,,,,,,,,,,,,,,,73,IB,h herbivory,,,,,,,,,,,,
6/23/22,white,low,4,2,,,,,,,81,V3+,h herbivory,,,,59,V3+,h herbivory,130,FG,h herbivory,,,,,,,,,,165,FG,h herbivory,,,,,,,,,,,,,46,V3+,,,,,78,V3+,h herbivory,,,,,,,,,
6/23/22,white,low,4,3,60,V3+,h herbivory,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,V3+,,41,V3+,h herbivory,,,,41,V3+,h herbivory,,,,80,IB,h herbivory,,,,,,,,,,,,
6/23/22,white,low,4,4,,,,,,,70,V3+,h herbivory,,,,110,FG,herbivory,,,,,,,,,,,,,,,,,,,,,,,,,90,IB,h herbivory,,,,,,,,,,98,IB ,h herbivory,239,FG,herbivory,,,
6/23/22,white,low,4,5,39,V3+,h herbivory,33,V3+,h herbivory,,,,,,,,,,42,V3+,h herbivory,,,,,,,,,,,,,55,V3+,,,,,,,,32,V3+,,,,,,,,26,V3+,h herbivory,,,,,,,108,V3+,
6/23/22,white,high,4,1,122,FG,,203,FG,,53,V2,,208,FG,,,,,,,,,,,192,FG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/23/22,white,high,4,2,183,FG,,116,FG,,129,FG,,,,,237,FG,,179,FG,,141,V3+,,159,FG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/23/22,white,high,4,3,126,V3,,,,,12,V2,,116,FG,,130,FG,,121,FG,,,,,15,V1,,192,FG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/23/22,white,high,4,4,161,V3+,,143,FG,,183,FG,,42,V2,,117,FG,,110,FG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/23/22,white,high,4,5,232,FG,,138,FG,,204,FG,,207,FG,,71,V3+,,,,,,,,,,,255,FG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/23/22,white,high,4,6,246,FG,,62,V3+,,193,FG,,,,,9,V2,,,,,,,,51,FG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/23/22,white,high,4,7,213,FG,,160,FG,regrowth,,,,49,V3,,,,,,,,,,,198,FG,,117,FG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/23/22,white,high,4,8,162,FG,,193,FG,,212,FG,,,,,234,FG,,,,,144,FG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/23/22,white,high,4,9,153,FG,,134,FG,,,,,263,FG,,,,,,,,193,FG,,22,V3+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/23/22,white,high,4,10,165,FG,,,,,,,,142,FG,,189,FG,,216,FG,,178,FG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/23/22,black,low,5,1,,,,,,,,,,,,,200,FG,herbivory,126,FG,,249,FG,h herbivory,231,FG,herbivory,,,,273,FG,herbivory,,,,,,,,,,222,FG,,,,,,,,102,FG,,,,,,,,,,
6/23/22,black,low,5,2,,,,201,FG,herbivory,132,FG,herbivory,171,FG,,,,,,,,285,FG,h herbivory,,,,,,,,,,165,FG,herbivory,310,FG,herbivory,,,,,,,227,FG,,,,,,,,232,FG,herbivory,177,FG,herbivory,,,
6/23/22,black,low,5,3,,,,231,FG,h herbivory,,,,101,FG,,251,FG,herbivory,,,,,,,,,,274,FG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/23/22,black,low,5,4,,,absent or harvested?,,,,,,,152,FG,herbivory,,,,,,,,,,,,,,,,209,FG,,292,FG,herbivory,,,,,,,,,,,,,,,,,,,,,,171,FG,herbivory,,,
6/23/22,black,low,5,5,,,,,,,,,,40,V3+,h herbivory,145,FG,,,,,392,FG,,234,FG,,,,,257,FG,herbivory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/23/22,white,low,5,1,,,,,,,,,,,,,,,,74,V3+,h herbivory,,,,,,,,,,85,V3+,h herbivory,,,,,,,,,,,,,,,,,,,34,V3+,h herbivory,,,,,,,,,
6/23/22,white,low,5,2,,,,,,,44,V3+,h herbivory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,V3+,h herbivory,48,V3+,h herbivory,,,,,,,,,,,,
6/23/22,white,low,5,3,,,,41,V3+,h herbivory,,,,50,V3+,h herbivory,,,,,,,,,,62,V3+,h herbivory,140,V3+,h herbivory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/23/22,white,low,5,4,,,,,,,,,,,,,74,V3+,h herbivory,,,,,,,48,V3+,h herbivory,,,,286,FG,herbivory,,,,,,,,,,,,,41,V3+,h herbivory,,,,,,,140,IB,h herbivory,,,,,,
6/23/22,white,low,5,5,,,,,,,,,,,,,,,,,,,114,FG,herbivory,,,,204,FG,h herbivory,,,,,,,,,,71,V3+,h herbivory,69,V3+,h herbivory,,,,,,,,,,,,,,,,,,
