Site,Date,Last Harvest Date,# of Harvests,Recorder,Block,Plot,Density,Albedo,x,y,genotype,growout,source,lat,lon,Live,V,height,Length_mm,tillers,biomass_whole,seed_count_whole,seed_mass_whole,inflor_mass,biomass_sub,seed_count_sub,seed_mass_sub,drop_seed,notes,
SheepStation,7/1/2022,,,,,1,high,black,2,7,29,Re,Chambers01,39.55,-119.58,Y,FG_FP,22,220,3,0.36,110,0.26,,,,,N,,
SheepStation,7/5/2022,,,,,1,high,black,2,8,14,Re,Adler13,41.44,-111.08,Y,FP,18.5,185,1,0.1,33,0.12,,,,,N,,
SheepStation,7/5/2022,,,,,1,high,black,2,9,1,Re,AAFC04,50.08,-120.65,Y,FG_FP,26.4,264,2,0.32,189,0.42,,,,,N,,
SheepStation,6/27/2022,,,,,1,high,black,2,10,101,Re,Shriver01,34.06,-116.22,Y,FG_FP,15.3,153,2,0.13,31,0.1,,,,,N,,
SheepStation,,,,,,1,high,black,3,1,73,Re,Pyke8,46.74830998,-119.361636,missing,missing,missing,missing,NA,NA,NA,NA,,,,,NA,,
SheepStation,,,,,,1,high,black,3,2,36,Re,Chambers08,42.24,-114.57,N,NA,NA,NA,NA,NA,NA,NA,,,,,NA,,
SheepStation,7/5/2022,,,,,1,high,black,3,3,83,Re,Reed01,38.52,-109.47,Y,FP,15.3,153,2,0.09,38,0.11,,,,,N,,
SheepStation,7/5/2022,,,,,1,high,black,3,4,42,Lo,Downs01,46.38145,-119.430272,Y,FG_FP,17,170,3,0.17,51,0.14,,,,,N,COMBINE 2 ENVELOPES,
SheepStation,7/5/2022,,,,,1,high,black,3,5,74,Re,Pyke21,47.61803776,-119.6830115,Y,FP,18.6,186,2,0.14,30,0.1,,,,,N,,
SheepStation,7/5/2022,,,,,1,high,black,3,6,9,Re,Adler05,40.79,-111.87,Y,FG_FP,22.8,228,3,0.2,68,0.2,,,,,N,,
SheepStation,,,,,,1,high,black,3,7,1,Re,AAFC04,50.08,-120.65,N,NA,NA,NA,NA,NA,NA,NA,,,,,NA,,
SheepStation,7/5/2022,,,,,1,high,black,3,8,104,Re,Germino_BOP_01,43.4720833,-116.2338306,Y,FP,13,130,1,0.01,6,0.009,,,,,Y,,
SheepStation,7/1/2022,,,,,1,high,black,3,9,62,Re,Lee2,35.3984,-115.7845,Y,FP,18.9,189,4,0.48,116,0.42,,,,,N,,
SheepStation,,,,,,1,high,black,3,10,104,Re,Germino_BOP_01,43.4720833,-116.2338306,Y,,,0,,,,,,,,,,,
SheepStation,7/5/2022,,,,,1,high,black,4,1,7,Re,AAFC10,49.71,-120.05,Y,FP,25,250,1,0.17,80,0.19,,,,,N,,
SheepStation,7/5/2022,,,,,1,high,black,4,2,19,Re,Barnett01,43.48,-110.74,Y,FP,6.2,62,1,0.007,1,0.003,,,,,N,,
SheepStation,7/5/2022,,,,,1,high,black,4,3,100,Re,Chynoweth08,40.640878,-109.48689,Y,FP,18.5,185,1,0.04,9,0.03,,,,,Y,,
SheepStation,7/1/2022,,,,,1,high,black,4,4,56,Re,JackieOtt5,43.78,-102.61,Y,FP,16.5,165,1,0.04,12,0.03,,,,,N,,
SheepStation,7/5/2022,,,,,1,high,black,4,5,92,Re,Symstad4,43.71,-102.58,Y,BS_FP,14.9,149,2,0.06,32,0.03,,,,,N,smut,
SheepStation,7/5/2022,,,,,1,high,black,4,6,57,Re,JackieOtt6,43.84,-101.94,Y,FP,20.6,206,1,0.07,27,0.06,,,,,N,,
SheepStation,7/5/2022,,,,,1,high,black,4,7,52,Re,Hufft1,38.6701,-108.3286,Y,FP,17.4,174,1,0.16,51,0.14,,,,,N,,
SheepStation,6/27/2022,,,,,1,high,black,4,8,33,Re,Chambers05,41.54,-117.75,Y,FP,24.5,245,3,0.34,134,0.33,,,,,N,,
SheepStation,7/5/2022,,,,,1,high,black,4,9,13,Re,Schupp01,39.85,-112.15,Y,UNK,13.6,136,1,0.02,0,0,,,,,NA,broken tiller,
SheepStation,7/5/2022,,,,,1,high,black,4,10,87,Lo,Schupp04,38.52,-113.55,Y,FP,15.1,151,1,0.04,4,0.01,,,,,Y,,
SheepStation,7/1/2022,,,,,1,high,black,5,1,18,Re,Adler18,40.86,-114.22,Y,FP,18.7,187,1,0.1,35,0.12,,,,,N,,
SheepStation,,,,,,1,high,black,5,2,105,Lo,Blumenthal10,40.92,-102.52,N,NA,NA,NA,,,,,,,,,,,
SheepStation,7/1/2022,,,,,1,high,black,5,3,88,Re,Schupp05,39.11,-112.74,Y,FG_FP,25.1,251,2,0.21,77,0.21,,,,,N,,
SheepStation,,,,,,1,high,black,5,4,42,Re,Downs01,46.38145,-119.430272,N,NA,NA,NA,,,,,,,,,,,
SheepStation,6/27/2022,,,,,1,high,black,5,5,61,Re,Lee1,36.82340833,-116.0163889,Y,FG_FP,20.1,201,3,0.21,72,0.18,,,,,Y,broken tiller,
SheepStation,7/5/2022,,,,,1,high,black,5,6,98,Lo,Chynoweth05,40.480805,-109.438229,Y,FP,28.1,281,1,0.16,53,0.15,,,,,N,,
SheepStation,7/5/2022,,,,,1,high,black,5,7,26,Re,Chynoweth01,39.76604,-109.5635,Y,FP,24.9,249,1,0.12,41,0.12,,,,,N,,
SheepStation,,,,,,1,high,black,5,8,97,Re,Chynoweth03,39.83576,-109.61202,N,NA,NA,NA,,,,,,,,,,,
SheepStation,7/1/2022,,,,,1,high,black,5,9,11,Re,Adler09,43.31,-112.27,Y,FP,24.5,245,1,0.15,36,0.12,,,,,N,,
SheepStation,6/29/2022,,,,,1,high,black,5,10,31,Re,Uzra1,40.35,-119.34,Y,FG_FP,22.5,225,8,0.45,215,0.32,,,,,N,,
SheepStation,7/5/2022,,,,,1,high,black,6,1,62,Re,Lee2,35.3984,-115.7845,Y,FG_FP,21,210,5,0.51,164,0.43,,,,,N,COMBINE 2 ENVELOPES,
SheepStation,7/5/2022,,,,,1,high,black,6,2,103,Re,Davies03,42.68,-118.68,Y,FP,24.4,244,2,0.2,33,0.12,,,,,Y,broken tiller,
SheepStation,,,,,,1,high,black,6,3,79,Re,Pyle015,43.8,-119,N,NA,NA,NA,,,,,,,,,,,
SheepStation,,,,,,1,high,black,6,4,84,Re,Reed03,38.75,-109.79,N,NA,NA,NA,,,,,,,,,,,
SheepStation,7/5/2022,,,,,1,high,black,6,5,5,Re,AAFC08,49.57,-120.55,Y,FP,20.9,209,1,0.13,56,0.17,,,,,N,,
SheepStation,7/5/2022,,,,,1,high,black,6,6,2,Re,AAFC05,50.09,-120.45,Y,FP,24.6,246,1,0.08,30,0.06,,,,,N,,
SheepStation,,,,,,1,high,black,6,7,90,Re,Symstad2,43.87,-103.46,N,V2,NA,NA,,,,,,,,,,,
SheepStation,,,,,,1,high,black,6,8,81,Re,Pyle017,44.36,-118.93,N,NA,NA,NA,,,,,,,,,,,
SheepStation,7/1/2022,,,,,1,high,black,6,9,12,Re,Schupp02,40.2,-112.46,Y,FP,25,250,1,0.21,57,0.18,,,,,N,,
SheepStation,7/5/2022,,,,,1,high,black,6,10,46,Re,Fleishman_05,39.12,-117.27,Y,FP,19.8,198,1,0.06,13,0.04,,,,,Y,,
SheepStation,7/5/2022,,,,,1,high,black,7,1,49,Re,Getts3,40.43,-120.67,Y,FP,9.9,99,1,0.02,0,0,,,,,Y,,
SheepStation,,,,,,1,high,black,7,2,53,Re,Hufft2,39.547444,-105.102111,N,NA,NA,NA,,,,,,,,,,,
SheepStation,7/1/2022,,,,,1,high,black,7,3,62,Re,Lee2,35.3984,-115.7845,Y,FG_FP,28.8,288,3,0.49,115,0.38,,,,,N,,
SheepStation,7/5/2022,,,,,1,high,black,7,4,24,Re,Blumenthal08,40.64,-104.56,Y,FP,25.5,255,1,0.12,53,0.15,,,,,N,,
SheepStation,7/1/2022,,,,,1,high,black,7,5,29,Re,Chambers01,39.55,-119.58,Y,FP,24.5,245,3,0.46,127,0.34,,,,,N,,
SheepStation,7/5/2022,,,,,1,high,black,7,6,5,Re,AAFC08,49.57,-120.55,Y,FP,21.2,212,1,0.26,105,0.3,,,,,N,,
SheepStation,7/1/2022,,,,,1,high,black,7,7,39,Re,Copeland05,42.27,-118.71,Y,FP,22.7,227,2,0.12,41,0.1,,,,,N,,
SheepStation,,,,,,1,high,black,7,8,38,Lo,Copeland01,43.7,-117.33,Y,,,0,,,,,,,,,,,
SheepStation,7/5/2022,,,,,1,high,black,7,9,91,Re,Symstad3,43.62,-103.47,Y,FP,13.9,139,1,0.05,18,0.05,,,,,N,,
SheepStation,,,,,,1,high,black,7,10,12,Re,Schupp02,40.2,-112.46,N,NA,NA,NA,,,,,,,,,,,
SheepStation,7/5/2022,,,,,1,high,black,8,1,58,Re,JackieOtt7,43.82,-101.94,Y,FG_FP,31.4,314,5,0.68,287,0.79,,,,,N,,
SheepStation,7/1/2022,,,,,1,high,black,8,2,65,Re,Leger1,39.49,-119.84,Y,FP,19.8,198,1,0.11,34,0.11,,,,,N,,
SheepStation,,,,,,1,high,black,8,3,47,Re,Fleishman_07,39.17,-117.44,N,NA,NA,NA,,,,,,,,,,,
SheepStation,,,,,,1,high,black,8,4,30,Re,Chambers02,39.95,-118.76,N,NA,NA,NA,,,,,,,,,,,
SheepStation,7/1/2022,,,,,1,high,black,8,5,51,Re,Holdrege1,41.61,-111.57,Y,FP,28.7,287,3,0.54,174,0.53,,,,,N,TILLER BROKE,
SheepStation,7/5/2022,,,,,1,high,black,8,6,44,Re,Downs03,45.9663,-120.3671,Y,FG_FP,26.1,261,3,0.39,122,0.4,,,,,N,,
SheepStation,,,,,,1,high,black,8,7,68,Re,Porensky1,43.24,-105.18,N,NA,NA,NA,,,,,,,,,,,
SheepStation,7/5/2022,,,,,1,high,black,8,8,45,Re,Fleishman_01,38.47,-119.49,Y,FP,23.5,235,1,0.08,25,0.07,,,,,N,,
SheepStation,7/5/2022,,,,,1,high,black,8,9,17,Re,Adler17,41.44,-110.11,Y,FP,22.3,223,1,0.12,39,0.13,,,,,N,,
SheepStation,7/5/2022,,,,,1,high,black,8,10,35,Re,Chambers07,43.94,-116.19,Y,BS_FG_FP,27.3,273,7,0.66,320,0.69,,,,,N,,
SheepStation,7/5/2022,,,,,1,high,black,9,1,59,Re,Lavin01,44.68,-109.07,Y,FP,30.3,303,4,0.78,322,0.83,,,,,N,,
SheepStation,7/5/2022,,,,,1,high,black,9,2,82,Re,Pyle019,44.57,-119.65,Y,FP,27.4,274,1,0.09,40,0.1,,,,,N,,
SheepStation,7/5/2022,,,,,1,high,black,9,3,37,Re,Chambers09,40.66,-116.73,Y,FP,10.8,108,1,0.01,3,0.007,,,,,Y,,
SheepStation,7/1/2022,,,,,1,high,black,9,4,102,Re,Shriver02,48,-114.04,Y,FP,23.9,239,3,0.46,142,0.44,,,,,N,,
SheepStation,7/5/2022,,,,,1,high,black,9,5,103,Re,Davies03,42.68,-118.68,Y,FP,24,240,3,0.56,105,0.35,,,,,N,,
SheepStation,7/5/2022,,,,,1,high,black,9,6,60,Lo,Lavin02,45.67,-111.03,Y,FP,8.8,88,1,0.005,3,0.003,,,,,N,,
SheepStation,,,,,,1,high,black,9,7,87,Lo,Schupp04,38.52,-113.55,N,NA,NA,NA,,,,,,,,,,,
SheepStation,,,,,,1,high,black,9,8,102,Re,Shriver02,48,-114.04,N,V3,NA,NA,,,,,,,,,,,
SheepStation,,,,,,1,high,black,9,9,43,Re,Downs02,46.25045,-119.53334,N,NA,NA,NA,,,,,,,,,,,
SheepStation,,,,,,1,high,black,9,10,93,Lo,Uzra2,40.84,-119.56,N,NA,NA,NA,,,,,,,,,,,
SheepStation,7/5/2022,,,,,1,high,black,10,1,89,Re,Symstad1,44.59,-104.71,Y,FP,15.2,152,2,0.03,34,0.09,,,,,N,,
SheepStation,7/5/2022,,,,,1,high,black,10,2,76,Re,Pyle009,43.42,-119.62,Y,FP,17,170,2,0.18,78,0.26,,,,,N,,
SheepStation,7/5/2022,,,,,1,high,black,10,3,6,Re,AAFC09,49.62,-119.8,Y,FP,11.3,113,1,0.24,122,0.24,,,,,N,,
SheepStation,,,,,,1,high,black,10,4,53,Re,Hufft2,39.547444,-105.102111,N,NA,NA,NA,,,,,,,,,,,
SheepStation,7/5/2022,,,,,1,high,black,10,5,8,Re,Blumenthal01,41.18,-104.9,Y,FG_FP,27.3,273,2,0.36,119,0.35,,,,,N,,
SheepStation,7/5/2022,,,,,1,high,black,10,6,28,Re,Bradford01,35.23,-111.62,Y,FP,9.2,92,1,0.007,2,0.004,,,,,Y,,
SheepStation,7/5/2022,,,,,1,high,black,10,7,73,Re,Pyke8,46.74830998,-119.361636,Y,FP,14.5,145,1,0.07,25,0.08,,,,,N,,
SheepStation,,,,,,1,high,black,10,8,86,Re,Schupp03,38.6,-113.79,N,V2,NA,NA,,,,,,,,,,,
SheepStation,6/29/2022,,,,,1,high,black,10,9,63,Re,Lee3,36.5247,-115.8987,Y,FP,10.9,109,1,0.04,17,0.03,,,,,N,,
SheepStation,7/5/2022,,,,,1,high,black,10,10,64,Re,Lee4,35.4564,-115.52,Y,FP,9.8,98,1,0.02,5,0.01,,,,,Y,,
SheepStation,7/11/2022,,,,,2,high,white,1,1,95,Re,Wilcox02,41.31,-105.66,Y,FP,12.3,123,1,0.03,11,0.02,,,,,Y,,
SheepStation,7/11/2022,,,,,2,high,white,1,2,59,Re,Lavin01,44.68,-109.07,Y,FP,13,130,1,0.03,9,0.02,,,,,Y,,
SheepStation,7/11/2022,,,,,2,high,white,1,3,45,Re,Fleishman_01,38.47,-119.49,Y,FP,16.4,164,1,0.07,32,0.1,,,,,N,,
SheepStation,7/11/2022,,,,,2,high,white,1,4,102,Re,Shriver02,48,-114.04,Y,FG_FP,17.5,175,5,0.32,,,0.38,0.003,17,0.05,N,,
SheepStation,7/11/2022,,,,,2,high,white,1,5,68,Re,Porensky1,43.24,-105.18,Y,FP,14.9,149,1,0.04,17,0.04,,,,,N,,
SheepStation,7/11/2022,,,,,2,high,white,1,6,103,Re,Davies03,42.68,-118.68,Y,FP,12.2,122,1,0.05,0,0,,,,,Y,,
SheepStation,7/11/2022,,,,,2,high,white,1,7,62,Re,Lee2,35.3984,-115.7845,Y,FG_FP,17.9,179,5,0.22,,,0.5,0.02,10,0.02,N,,
SheepStation,7/11/2022,,,,,2,high,white,1,8,8,Re,Blumenthal01,41.18,-104.9,Y,FP,21.4,214,1,0.08,17,0.05,,,,,Y,,
SheepStation,7/1/2022,,,,,2,high,white,1,9,30,Re,Chambers02,39.95,-118.76,Y,FG_FP,19.5,195,5,0.36,,,0.97,0.02,35,0.07,N,,
SheepStation,,,,,,2,high,white,1,10,73,Re,Pyke8,46.74830998,-119.361636,N,NA,NA,NA,,,,,,,,,,,
SheepStation,7/11/2022,,,,,2,high,white,2,1,5,Re,AAFC08,49.57,-120.55,Y,FP,16.3,163,1,0.03,14,0.04,,,,,N,,
SheepStation,,,,,,2,high,white,2,2,52,Re,Hufft1,38.6701,-108.3286,N,NA,NA,NA,,,,,,,,,,,
SheepStation,,,,,,2,high,white,2,3,62,Re,Lee2,35.3984,-115.7845,N,V0,NA,NA,,,,,,,,,,,
SheepStation,7/11/2022,,,,,2,high,white,2,4,44,Re,Downs03,45.9663,-120.3671,Y,FP,15.9,159,1,0.05,22,0.06,,,,,N,,
SheepStation,7/11/2022,,,,,2,high,white,2,5,47,Re,Fleishman_07,39.17,-117.44,Y,FP,14,140,2,0.08,6,0.01,,,,,Y,,
SheepStation,7/11/2022,,,,,2,high,white,2,6,97,Lo,Chynoweth03,39.83576,-109.61202,Y,FP,10.7,107,1,0.02,4,0.009,,,,,Y,,
SheepStation,7/11/2022,,,,,2,high,white,2,7,66,Re,Maron1,46.68,-114.03,Y,FP,4.8,48,1,0.003,2,0.002,,,,,N,,
SheepStation,7/11/2022,,,,,2,high,white,2,8,42,Re,Downs01,46.38145,-119.430272,Y,FP,12.4,124,2,0.05,9,0.02,,,,,Y,,
SheepStation,,,,,,2,high,white,2,9,12,Re,Schupp02,40.2,-112.46,N,NA,NA,NA,,,,,,,,,,,
SheepStation,,,,,,2,high,white,2,10,38,Lo,Copeland01,43.7,-117.33,N,NA,NA,NA,,,,,,,,,,,
SheepStation,,,,,,2,high,white,3,1,63,Re,Lee3,36.5247,-115.8987,N,NA,NA,NA,,,,,,,,,,,
SheepStation,7/11/2022,,,,,2,high,white,3,2,104,Re,Germino_BOP_01,43.4720833,-116.2338306,Y,FP,4.3,43,1,0.002,0,0,,,,,Y,,
SheepStation,,,,,,2,high,white,3,3,87,Lo,Schupp04,38.52,-113.55,N,NA,NA,NA,,,,,,,,,,,
SheepStation,7/11/2022,,,,,2,high,white,3,4,46,Re,Fleishman_05,39.12,-117.27,Y,FP,12.8,128,1,0.02,9,0.02,,,,,N,,
SheepStation,,,,,,2,high,white,3,5,32,Re,Chambers04,41.31,-117.63,N,NA,NA,NA,,,,,,,,,,,
SheepStation,7/11/2022,,,,,2,high,white,3,6,65,Re,Leger1,39.49,-119.84,Y,FP,18.4,184,2,0.12,4,0.01,,,,,Y,,
SheepStation,7/11/2022,,,,,2,high,white,3,7,84,Re,Reed03,38.75,-109.79,Y,FG_FP,13.1,131,3,0.09,23,0.04,,,,,Y,,
SheepStation,,,,,,2,high,white,3,8,91,Re,Symstad3,43.62,-103.47,N,NA,NA,NA,,,,,,,,,,,
SheepStation,,,,,,2,high,white,3,9,79,Re,Pyle015,43.8,-119,N,NA,NA,NA,,,,,,,,,,,
SheepStation,,,,,,2,high,white,3,10,29,Re,Chambers01,39.55,-119.58,N,NA,NA,NA,,,,,,,,,,,
SheepStation,7/11/2022,,,,,2,high,white,4,1,77,Re,Pyle010,43.19,-120,Y,FP,25.5,255,3,0.42,,,0.68,0.01,28,0.06,N,,
SheepStation,7/1/2022,,,,,2,high,white,4,2,34,Re,Chambers06,41.54,-117.78,Y,FP,12.9,129,1,0.03,14,0.04,,,,,N,,
SheepStation,7/11/2022,,,,,2,high,white,4,3,53,Re,Hufft2,39.547444,-105.102111,Y,FP,21.5,215,3,0.24,,,0.39,0.005,14,0.04,N,,
SheepStation,7/11/2022,,,,,2,high,white,4,4,90,Re,Symstad2,43.87,-103.46,Y,FP,9,90,1,0.04,9,0.03,,,,,Y,,
SheepStation,7/11/2022,,,,,2,high,white,4,5,42,Lo,Downs01,46.38145,-119.430272,Y,FP,13.7,137,3,0.17,50,0.12,,,,,Y,,
SheepStation,,,,,,2,high,white,4,6,37,Re,Chambers09,40.66,-116.73,N,NA,NA,NA,,,,,,,,,,,
SheepStation,7/11/2022,,,,,2,high,white,4,7,13,Re,Schupp01,39.85,-112.15,Y,FP,12.7,127,1,0.03,4,0.01,,,,,Y,,
SheepStation,7/11/2022,,,,,2,high,white,4,8,7,Re,AAFC10,49.71,-120.05,Y,FP,14.6,146,1,0.03,15,0.03,,,,,N,,
SheepStation,7/11/2022,,,,,2,high,white,4,9,9,Re,Adler05,40.79,-111.87,Y,FP,19,190,2,0.08,29,0.08,,,,,N,,
SheepStation,7/11/2022,,,,,2,high,white,4,10,57,Re,JackieOtt6,43.84,-101.94,Y,FP,17.3,173,1,0.13,77,0.2,,,,,N,,
SheepStation,7/11/2022,,,,,2,high,white,5,1,14,Re,Adler13,41.44,-111.08,Y,FP,21.6,216,2,0.13,51,0.15,,,,,N,,
SheepStation,7/11/2022,,,,,2,high,white,5,2,11,Re,Adler09,43.31,-112.27,Y,FP,17.5,175,2,0.19,23,0.06,,,,,Y,,
SheepStation,7/11/2022,,,,,2,high,white,5,3,82,Re,Pyle019,44.57,-119.65,Y,FP,9.8,98,1,0.009,4,0.006,,,,,N,,
SheepStation,7/11/2022,,,,,2,high,white,5,4,102,Re,Shriver02,48,-114.04,Y,FP,15,150,1,0.07,5,0.01,,,,,Y,,
SheepStation,7/11/2022,,,,,2,high,white,5,5,69,Re,Porensky17,43.34,-105.13,Y,FP,15.1,151,1,0.02,4,0.01,,,,,Y,,
SheepStation,,,,,,2,high,white,5,6,93,Re,Uzra2,40.84,-119.56,N,NA,NA,NA,,,,,,,,,,,
SheepStation,7/11/2022,,,,,2,high,white,5,7,58,Re,JackieOtt7,43.82,-101.94,Y,FG_FP,18.2,182,3,0.25,124,0.26,,,,,N,,
SheepStation,7/11/2022,,,,,2,high,white,5,8,1,Re,AAFC04,50.08,-120.65,Y,FP,16.7,167,1,0.07,31,0.06,,,,,N,,
SheepStation,,,,,,2,high,white,5,9,39,Re,Copeland05,42.27,-118.71,N,NA,NA,NA,,,,,,,,,,,
SheepStation,7/11/2022,,,,,2,high,white,5,10,100,Re,Chynoweth08,40.640878,-109.48689,Y,FP,8.4,84,1,0.03,36,0.04,,,,,N,smut,
SheepStation,,,,,,2,high,white,6,1,46,Re,Fleishman_05,39.12,-117.27,N,NA,NA,NA,,,,,,,,,,,
SheepStation,7/11/2022,,,,,2,high,white,6,2,43,Re,Downs02,46.25045,-119.53334,Y,FP,14,140,2,0.15,34,0.1,,,,,Y,,
SheepStation,,,,,,2,high,white,6,3,5,Re,AAFC08,49.57,-120.55,N,NA,NA,NA,,,,,,,,,,,
SheepStation,,,,,,2,high,white,6,4,73,Re,Pyke8,46.74830998,-119.361636,N,NA,NA,NA,,,,,,,,,,,
SheepStation,7/11/2022,,,,,2,high,white,6,5,25,Re,Symstad6,41.83,-103.71,Y,FP,20.8,208,1,0.07,1,0.002,,,,,Y,,
SheepStation,,,,,,2,high,white,6,6,96,Re,Chynoweth02,40.29092,-109.68361,N,V2,NA,NA,,,,,,,,,,,
SheepStation,7/11/2022,,,,,2,high,white,6,7,86,Lo,Schupp03,38.6,-113.79,Y,FP,6.6,66,1,0.008,2,0.003,,,,,N,,
SheepStation,7/11/2022,,,,,2,high,white,6,8,83,Re,Reed01,38.52,-109.47,Y,FP,9.8,98,1,0.02,7,0.02,,,,,Y,,
SheepStation,7/11/2022,,,,,2,high,white,6,9,56,Re,JackieOtt5,43.78,-102.61,Y,FP,16.8,168,2,0.14,72,0.18,,,,,N,,
SheepStation,7/11/2022,,,,,2,high,white,6,10,1,Re,AAFC04,50.08,-120.65,Y,FG_FP,10.2,102,2,0.09,58,0.13,,,,,N,,
SheepStation,7/11/2022,,,,,2,high,white,7,1,24,Re,Blumenthal08,40.64,-104.56,Y,FP,30.1,301,3,0.49,179,0.53,,,,,N,,
SheepStation,7/11/2022,,,,,2,high,white,7,2,36,Re,Chambers08,42.24,-114.57,Y,FP,20.8,208,3,0.27,103,0.25,,,,,N,,
SheepStation,7/11/2022,,,,,2,high,white,7,3,76,Re,Pyle009,43.42,-119.62,Y,FP,16,160,1,0.09,22,0.06,,,,,Y,,
SheepStation,7/11/2022,,,,,2,high,white,7,4,6,Re,AAFC09,49.62,-119.8,Y,FG,12.2,122,1,0.02,10,0.01,,,,,N,,
SheepStation,7/11/2022,,,,,2,high,white,7,5,75,Re,Pyle001,42.35,-118.65,Y,FP,14.1,141,3,0.14,30,0.07,,,,,Y,,
SheepStation,7/11/2022,,,,,2,high,white,7,6,98,Re,Chynoweth05,40.480805,-109.438229,Y,FP,14.1,141,1,0.02,2,0.005,,,,,Y,,
SheepStation,7/11/2022,,,,,2,high,white,7,7,54,Re,JackieOtt1,43.65,-102.97,Y,FG_FP,14.1,141,2,0.08,57,0.1,,,,,N,,
SheepStation,,,,,,2,high,white,7,8,17,Re,Adler17,41.44,-110.11,N,NA,NA,NA,,,,,,,,,,,
SheepStation,,,,,,2,high,white,7,9,88,Lo,Schupp05,39.11,-112.74,N,NA,NA,NA,,,,,,,,,,,
SheepStation,7/11/2022,,,,,2,high,white,7,10,55,Re,JackieOtt2,43.71,-102.32,Y,FG,14.5,145,1,0.02,12,0.02,,,,,N,,
SheepStation,,,,,,2,high,white,8,1,74,Re,Pyke21,47.61803776,-119.6830115,Y,,,0,,,,,,,,,,,
SheepStation,,,,,,2,high,white,8,2,62,Re,Lee2,35.3984,-115.7845,N,NA,NA,NA,,,,,,,,,,,
SheepStation,7/11/2022,,,,,2,high,white,8,3,92,Re,Symstad4,43.71,-102.58,Y,FP,7.1,71,1,0.008,4,0.002,,,,,N,,
SheepStation,7/11/2022,,,,,2,high,white,8,4,35,Re,Chambers07,43.94,-116.19,Y,FP,24.3,243,1,0.13,48,0.13,,,,,N,,
SheepStation,7/11/2022,,,,,2,high,white,8,5,57,Re,JackieOtt6,43.84,-101.94,Y,FP,19,190,1,0.07,17,0.05,,,,,N,,
SheepStation,7/11/2022,,,,,2,high,white,8,6,64,Re,Lee4,35.4564,-115.52,Y,FP,8.3,83,2,0.05,22,0.05,,,,,Y,,
SheepStation,7/11/2022,,,,,2,high,white,8,7,89,Re,Symstad1,44.59,-104.71,Y,FP,15.3,153,1,0.06,18,0.04,,,,,Y,,
SheepStation,7/11/2022,,,,,2,high,white,8,8,60,Re,Lavin02,45.67,-111.03,Y,FG_FP,23.4,234,2,0.2,98,0.23,,,,,N,,
