observer,recorder,date,site,block,subplot,density,gravel.color,x.coordinate,y.coordinate,plot.id,cheatgrass.id,seedling.present.,plant.harvested.,max.leaf.length..mm.,phenology,frost.heaved.,herbivory.present.,is.herbivory.affecting.measurement.,total.number.of.leaves.on.plant..including.imature.leaves.,number.of.leaves.herbivorized,average.length.of.herbivorized.leaves..mm.,herbivory.intensity.class,notes,source,bulkyear,combcond,combcondplot,genotypeid,data.entry,date.1,plot,x,y,genotype,growout,live,v,length_mm,herbivory,frost_heave,harvested,gravel,ids,issue
N/A,N/A,5/24/22,BA,2,3,Low,White,3,6,2.3w,Y6_X3,No,,,,,,,NA,NA,NA,,,,NA,,,,,,3,3,6,NA,NA,No,,,N,N,N,White,BA_2_3_White_Low_3_6,block 2 plot 3 low white has 200 observations; some should belong to high white
N/A,N/A,5/24/22,BA,2,3,Low,White,3,7,2.3w,Y7_X3,No,,,,,,,NA,NA,NA,,,,NA,,,,,,3,3,7,NA,NA,No,,,N,N,N,White,BA_2_3_White_Low_3_7,block 2 plot 3 low white has 200 observations; some should belong to high white
N/A,N/A,5/24/22,BA,2,3,Low,White,3,8,2.3w,Y8_X3,No,,,,,,,NA,NA,NA,,,,NA,,,,,,3,3,8,NA,NA,No,,,N,N,N,White,BA_2_3_White_Low_3_8,block 2 plot 3 low white has 200 observations; some should belong to high white
N/A,N/A,5/24/22,BA,2,3,Low,White,3,9,2.3w,Y9_X3,Unknown,,,,,,,NA,NA,NA,,,,NA,,,,,,3,3,9,NA,NA,Unknown,,,N,N,N,White,BA_2_3_White_Low_3_9,block 2 plot 3 low white has 200 observations; some should belong to high white
N/A,N/A,5/24/22,BA,2,3,Low,White,3,10,2.3w,Y10_X3,Yes,No,,Fg,,Yes,No,NA,NA,NA,Light,,,NA,,,,,,3,3,10,NA,NA,Yes,Fg,,N,N,N,White,BA_2_3_White_Low_3_10,block 2 plot 3 low white has 200 observations; some should belong to high white
N/A,N/A,5/24/22,BA,2,3,Low,White,4,6,2.3w,Y6_X4,Yes,Yes,34,>V3,,Yes,Yes,NA,NA,NA,Medium,,,NA,,,,,,3,4,6,NA,NA,Yes,>V3,34,N,N,N,White,BA_2_3_White_Low_4_6,block 2 plot 3 low white has 200 observations; some should belong to high white
N/A,N/A,5/24/22,BA,2,3,Low,White,4,7,2.3w,Y7_X4,No,,,,,,,NA,NA,NA,,,,NA,,,,,,3,4,7,NA,NA,No,,,N,N,N,White,BA_2_3_White_Low_4_7,block 2 plot 3 low white has 200 observations; some should belong to high white
N/A,N/A,5/24/22,BA,2,3,Low,White,4,8,2.3w,Y8_X4,No,,,,,,,NA,NA,NA,,,,NA,,,,,,3,4,8,NA,NA,No,,,N,N,N,White,BA_2_3_White_Low_4_8,block 2 plot 3 low white has 200 observations; some should belong to high white
N/A,N/A,5/24/22,BA,2,3,Low,White,4,9,2.3w,Y9_X4,No,,,,,,,NA,NA,NA,,,,NA,,,,,,3,4,9,NA,NA,No,,,N,N,N,White,BA_2_3_White_Low_4_9,block 2 plot 3 low white has 200 observations; some should belong to high white
N/A,N/A,5/24/22,BA,2,3,Low,White,4,10,2.3w,Y10_X4,No,,,,,,,NA,NA,NA,,,,NA,,,,,,3,4,10,NA,NA,No,,,N,N,N,White,BA_2_3_White_Low_4_10,block 2 plot 3 low white has 200 observations; some should belong to high white
N/A,N/A,5/24/22,BA,2,3,Low,White,5,6,2.3w,Y6_X5,No,,,,,,,NA,NA,NA,,,,NA,,,,,,3,5,6,NA,NA,No,,,N,N,N,White,BA_2_3_White_Low_5_6,block 2 plot 3 low white has 200 observations; some should belong to high white
N/A,N/A,5/24/22,BA,2,3,Low,White,5,7,2.3w,Y7_X5,No,,,,,,,NA,NA,NA,,,,NA,,,,,,3,5,7,NA,NA,No,,,N,N,N,White,BA_2_3_White_Low_5_7,block 2 plot 3 low white has 200 observations; some should belong to high white
N/A,N/A,5/24/22,BA,2,3,Low,White,5,8,2.3w,Y8_X5,No,,,,,,,NA,NA,NA,,,,NA,,,,,,3,5,8,NA,NA,No,,,N,N,N,White,BA_2_3_White_Low_5_8,block 2 plot 3 low white has 200 observations; some should belong to high white
N/A,N/A,5/24/22,BA,2,3,Low,White,5,9,2.3w,Y9_X5,Yes,No,,Bootstage,,Yes,Yes,NA,NA,NA,Light,,,NA,,,,,,3,5,9,NA,NA,Yes,Bootstage,,N,N,N,White,BA_2_3_White_Low_5_9,block 2 plot 3 low white has 200 observations; some should belong to high white
N/A,N/A,5/24/22,BA,2,3,Low,White,5,10,2.3w,Y10_X5,No,,,,,,,NA,NA,NA,,,,NA,,,,,,3,5,10,NA,NA,No,,,N,N,N,White,BA_2_3_White_Low_5_10,block 2 plot 3 low white has 200 observations; some should belong to high white
N/A,N/A,5/24/22,BA,2,3,Low,White,6,6,2.3w,Y6_X6,No,,,,,,,NA,NA,NA,,,,NA,,,,,,3,6,6,NA,NA,No,,,N,N,N,White,BA_2_3_White_Low_6_6,block 2 plot 3 low white has 200 observations; some should belong to high white
N/A,N/A,5/24/22,BA,2,3,Low,White,6,7,2.3w,Y7_X6,No,,,,,,,NA,NA,NA,,,,NA,,,,,,3,6,7,NA,NA,No,,,N,N,N,White,BA_2_3_White_Low_6_7,block 2 plot 3 low white has 200 observations; some should belong to high white
N/A,N/A,5/24/22,BA,2,3,Low,White,6,8,2.3w,Y8_X6,No,,,,,,,NA,NA,NA,,,,NA,,,,,,3,6,8,NA,NA,No,,,N,N,N,White,BA_2_3_White_Low_6_8,block 2 plot 3 low white has 200 observations; some should belong to high white
N/A,N/A,5/24/22,BA,2,3,Low,White,6,9,2.3w,Y9_X6,No,,,,,,,NA,NA,NA,,,,NA,,,,,,3,6,9,NA,NA,No,,,N,N,N,White,BA_2_3_White_Low_6_9,block 2 plot 3 low white has 200 observations; some should belong to high white
N/A,N/A,5/24/22,BA,2,3,Low,White,6,10,2.3w,Y10_X6,No,,,,,,,NA,NA,NA,,,,NA,,,,,,3,6,10,NA,NA,No,,,N,N,N,White,BA_2_3_White_Low_6_10,block 2 plot 3 low white has 200 observations; some should belong to high white
N/A,N/A,5/24/22,BA,2,3,Low,White,7,6,2.3w,Y6_X7,Yes,No,,Bootstage,,,,NA,NA,NA,,,,NA,,,,,,3,7,6,NA,NA,Yes,Bootstage,,N,N,N,White,BA_2_3_White_Low_7_6,block 2 plot 3 low white has 200 observations; some should belong to high white
N/A,N/A,5/24/22,BA,2,3,Low,White,7,7,2.3w,Y7_X7,Yes,No,,Bootstage,,,,NA,NA,NA,,,,NA,,,,,,3,7,7,NA,NA,Yes,Bootstage,,N,N,N,White,BA_2_3_White_Low_7_7,block 2 plot 3 low white has 200 observations; some should belong to high white
N/A,N/A,5/24/22,BA,2,3,Low,White,7,8,2.3w,Y8_X7,No,,,,,,,NA,NA,NA,,,,NA,,,,,,3,7,8,NA,NA,No,,,N,N,N,White,BA_2_3_White_Low_7_8,block 2 plot 3 low white has 200 observations; some should belong to high white
N/A,N/A,5/24/22,BA,2,3,Low,White,7,9,2.3w,Y9_X7,No,,,,,,,NA,NA,NA,,,,NA,,,,,,3,7,9,NA,NA,No,,,N,N,N,White,BA_2_3_White_Low_7_9,block 2 plot 3 low white has 200 observations; some should belong to high white
N/A,N/A,5/24/22,BA,2,3,Low,White,7,10,2.3w,Y10_X7,No,,,,,,,NA,NA,NA,,,,NA,,,,,,3,7,10,NA,NA,No,,,N,N,N,White,BA_2_3_White_Low_7_10,block 2 plot 3 low white has 200 observations; some should belong to high white
N/A,N/A,5/24/22,BA,2,3,Low,White,8,6,2.3w,Y6_X8,No,,,,,,,NA,NA,NA,,,,NA,,,,,,3,8,6,NA,NA,No,,,N,N,N,White,BA_2_3_White_Low_8_6,block 2 plot 3 low white has 200 observations; some should belong to high white
N/A,N/A,5/24/22,BA,2,3,Low,White,8,7,2.3w,Y7_X8,No,,,,,,,NA,NA,NA,,,,NA,,,,,,3,8,7,NA,NA,No,,,N,N,N,White,BA_2_3_White_Low_8_7,block 2 plot 3 low white has 200 observations; some should belong to high white
N/A,N/A,5/24/22,BA,2,3,Low,White,8,8,2.3w,Y8_X8,No,,,,,,,NA,NA,NA,,,,NA,,,,,,3,8,8,NA,NA,No,,,N,N,N,White,BA_2_3_White_Low_8_8,block 2 plot 3 low white has 200 observations; some should belong to high white
N/A,N/A,5/24/22,BA,2,3,Low,White,8,9,2.3w,Y9_X8,Yes,No,,Bootstage,,Yes,No,NA,NA,NA,Minimal,,,NA,,,,,,3,8,9,NA,NA,Yes,Bootstage,,N,N,N,White,BA_2_3_White_Low_8_9,block 2 plot 3 low white has 200 observations; some should belong to high white
N/A,N/A,5/24/22,BA,2,3,Low,White,8,10,2.3w,Y10_X8,No,,,,,,,NA,NA,NA,,,,NA,,,,,,3,8,10,NA,NA,No,,,N,N,N,White,BA_2_3_White_Low_8_10,block 2 plot 3 low white has 200 observations; some should belong to high white
N/A,N/A,5/24/22,BA,2,3,Low,White,9,6,2.3w,Y6_X9,No,,,,,,,NA,NA,NA,,,,NA,,,,,,3,9,6,NA,NA,No,,,N,N,N,White,BA_2_3_White_Low_9_6,block 2 plot 3 low white has 200 observations; some should belong to high white
N/A,N/A,5/24/22,BA,2,3,Low,White,9,7,2.3w,Y7_X9,No,,,,,,,NA,NA,NA,,,,NA,,,,,,3,9,7,NA,NA,No,,,N,N,N,White,BA_2_3_White_Low_9_7,block 2 plot 3 low white has 200 observations; some should belong to high white
N/A,N/A,5/24/22,BA,2,3,Low,White,9,8,2.3w,Y8_X9,No,,,,,,,NA,NA,NA,,,,NA,,,,,,3,9,8,NA,NA,No,,,N,N,N,White,BA_2_3_White_Low_9_8,block 2 plot 3 low white has 200 observations; some should belong to high white
N/A,N/A,5/24/22,BA,2,3,Low,White,9,9,2.3w,Y9_X9,No,,,,,,,NA,NA,NA,,,,NA,,,,,,3,9,9,NA,NA,No,,,N,N,N,White,BA_2_3_White_Low_9_9,block 2 plot 3 low white has 200 observations; some should belong to high white
N/A,N/A,5/24/22,BA,2,3,Low,White,9,10,2.3w,Y10_X9,No,,,,,,,NA,NA,NA,,,,NA,,,,,,3,9,10,NA,NA,No,,,N,N,N,White,BA_2_3_White_Low_9_10,block 2 plot 3 low white has 200 observations; some should belong to high white
N/A,N/A,5/24/22,BA,2,3,Low,White,10,6,2.3w,Y6_X10,No,,,,,,,NA,NA,NA,,,,NA,,,,,,3,10,6,NA,NA,No,,,N,N,N,White,BA_2_3_White_Low_10_6,block 2 plot 3 low white has 200 observations; some should belong to high white
N/A,N/A,5/24/22,BA,2,3,Low,White,10,7,2.3w,Y7_X10,No,,,,,,,NA,NA,NA,,,,NA,,,,,,3,10,7,NA,NA,No,,,N,N,N,White,BA_2_3_White_Low_10_7,block 2 plot 3 low white has 200 observations; some should belong to high white
N/A,N/A,5/24/22,BA,2,3,Low,White,10,8,2.3w,Y8_X10,No,,,,,,,NA,NA,NA,,,,NA,,,,,,3,10,8,NA,NA,No,,,N,N,N,White,BA_2_3_White_Low_10_8,block 2 plot 3 low white has 200 observations; some should belong to high white
N/A,N/A,5/24/22,BA,2,3,Low,White,10,9,2.3w,Y9_X10,Yes,No,,Bootstage,,,,NA,NA,NA,,,,NA,,,,,,3,10,9,NA,NA,Yes,Bootstage,,N,N,N,White,BA_2_3_White_Low_10_9,block 2 plot 3 low white has 200 observations; some should belong to high white
N/A,N/A,5/24/22,BA,2,3,Low,White,10,10,2.3w,Y10_X10,No,,,,,,,NA,NA,NA,,,,NA,,,,,,3,10,10,NA,NA,No,,,N,N,N,White,BA_2_3_White_Low_10_10,block 2 plot 3 low white has 200 observations; some should belong to high white
Krystal Busby,Krystal Busby,5/24/22,WI,2,3,High,Black,57,7,2.3b,Y7_X57,Yes,Yes,111,Fp,,,,NA,NA,NA,,,,NA,,,,,,3,57,7,NA,NA,Yes,Fp,111,N,N,N,Black,WI_2_3_Black_High_57_7,typo in x position; couldn't resolve
Cole Germino,Cole Germino,5/25/22,WI,5,4,High,White,4,7,5.4w,Y7_X4,Yes,Yes,118,Fp,,,,NA,NA,NA,,,,NA,,,,,,4,4,7,NA,NA,Yes,Fp,118,N,N,N,White,WI_5_4_White_High_4_7,block 5 plot 4 should be white low
Cole Germino,Cole Germino,5/25/22,WI,9,2,High,Black,11,10,9.2b,Y10_X11,Yes,Yes,155,Fp,,,,NA,NA,NA,,,,NA,,,,,,2,11,10,NA,NA,Yes,Fp,155,N,N,N,Black,WI_9_2_Black_High_11_10,x position shouldn't be greater than 10 in high density
Cole Germino,Cole Germino,5/25/22,WI,9,3,Low,Black,1,6,9.3b,Y6_X1,Yes,Yes,178,Fp,,,,NA,NA,NA,,,,NA,,,,,,3,1,6,NA,NA,Yes,Fp,178,N,N,N,Black,WI_9_3_Black_Low_1_6,y position shouldn't be greater than 5 in low density
Cole Germino,Cole Germino,5/25/22,WI,9,3,Low,Black,1,9,9.3b,Y9_X1,Yes,Yes,112,Fp,,,,NA,NA,NA,,,,NA,,,,,,3,1,9,NA,NA,Yes,Fp,112,N,N,N,Black,WI_9_3_Black_Low_1_9,y position shouldn't be greater than 5 in low density
Cole Germino,Cole Germino,5/25/22,WI,9,3,Low,Black,9,7,9.3b,Y7_X9,Yes,Yes,154,Fp,,,,NA,NA,NA,,,,NA,,,,,,3,9,7,NA,NA,Yes,Fp,154,N,N,N,Black,WI_9_3_Black_Low_9_7,y position shouldn't be greater than 5 in low density
Cole Germino,Cole Germino,5/25/22,WI,9,3,Low,Black,9,9,9.3b,Y9_X9,Yes,Yes,94,Fg,,,,NA,NA,NA,,,,NA,,,,,,3,9,9,NA,NA,Yes,Fg,94,N,N,N,Black,WI_9_3_Black_Low_9_9,y position shouldn't be greater than 5 in low density
Cole Germino,Cole Germino,5/25/22,WI,9,3,Low,Black,10,6,9.3b,Y6_X10,Yes,Yes,115,Fp,,,,NA,NA,NA,,,,NA,,,,,,3,10,6,NA,NA,Yes,Fp,115,N,N,N,Black,WI_9_3_Black_Low_10_6,y position shouldn't be greater than 5 in low density
Cole Germino,Cole Germino,5/25/22,WI,9,3,Low,Black,10,7,9.3b,Y7_X10,Yes,Yes,147,Fp,,,,NA,NA,NA,,,,NA,,,,,,3,10,7,NA,NA,Yes,Fp,147,N,N,N,Black,WI_9_3_Black_Low_10_7,y position shouldn't be greater than 5 in low density
Cole Germino,Cole Germino,5/25/22,WI,9,3,Low,Black,10,8,9.3b,Y8_X10,Yes,Yes,76,Fp,,,,NA,NA,NA,,,,NA,,,,,,3,10,8,NA,NA,Yes,Fp,76,N,N,N,Black,WI_9_3_Black_Low_10_8,y position shouldn't be greater than 5 in low density
Cole Germino,Cole Germino,5/25/22,WI,9,3,Low,Black,10,10,9.3b,Y10_X10,Yes,Yes,172,Fg,,,,NA,NA,NA,,,,NA,,,,,,3,10,10,NA,NA,Yes,Fg,172,N,N,N,Black,WI_9_3_Black_Low_10_10,y position shouldn't be greater than 5 in low density
Cole Germino,Cole Germino,5/25/22,WI,10,2,Low,Black,8,9,10.2b,Y9_X8,Yes,Yes,146,Fp,,,,NA,NA,NA,,,,NA,,,,,,2,8,9,NA,NA,Yes,Fp,146,N,N,N,Black,WI_10_2_Black_Low_8_9,y position shouldn't be greater than 5 in low density
Cole Germino,Cole Germino,5/27/22,WI,9,4,Low,White,3,2,9.4w,Y2_X3,Yes,Yes,80,Fb,,,,NA,NA,NA,,,,NA,,,,,,4,3,2,NA,NA,Yes,Fb,80,N,N,N,White,WI_9_4_White_Low_3_2,block 9 plot 4 should be white high
Cole Germino,Cole Germino,5/27/22,WI,9,4,Low,White,8,10,9.4w,Y10_X8,Yes,Yes,120,Fp,,,,NA,NA,NA,,,,NA,,,,,,4,8,10,NA,NA,Yes,Fp,120,N,N,N,White,WI_9_4_White_Low_8_10,block 9 plot 4 should be white high
Cole Germino,Cole Germino,6/2/22,WI,3,4,High,White,3,4,3.4w,Y4_X3,Yes,Yes,165,Fb,,,,NA,NA,NA,,,,NA,,,,,,4,3,4,NA,NA,Yes,Fb,165,N,N,N,White,WI_3_4_White_High_3_4,block 3 plot 4 should be white low
Cole Germino,Cole Germino,6/2/22,WI,4,3,High,Black,4,19,4.3b,Y19_X4,Yes,Yes,98,Fp,,,,NA,NA,NA,,,,NA,,,,,,3,4,19,NA,NA,Yes,Fp,98,N,N,N,Black,WI_4_3_Black_High_4_19,y position shouldn't be greater than 5 in low density
Cole Germino,Cole Germino,6/2/22,WI,4,11,High,White,11,4,4.11w,Y4_X11,Yes,Yes,157,Fb,,,,NA,NA,NA,,,,NA,,,,,,2,11,4,NA,NA,Yes,Fb,157,N,N,N,White,WI_4_11_White_High_11_4,plot 11 does not exist
Cole Germino,Cole Germino,6/2/22,WI,5,2,Low,Black,9,9,5.2b,Y9_X9,Yes,Yes,215,Fp,,,,NA,NA,NA,,,,NA,,,,,,2,9,9,NA,NA,Yes,Fp,215,N,N,N,Black,WI_5_2_Black_Low_9_9,y position shouldn't be greater than 5 in low density
Cole Germino,Cole Germino,6/2/22,WI,10,1,Low,White,8,10,10.1w,Y10_X8,Yes,Yes,108,Fb,,,,NA,NA,NA,,,,NA,,,,,,1,8,10,NA,NA,Yes,Fb,108,N,N,N,White,WI_10_1_White_Low_8_10,y position shouldn't be greater than 5 in low density
Cole Germino,Cole Germino,6/3/22,WI,1,2,Low,Black,27,4,1.2b,Y4_X27,Yes,Yes,80,Fg,,,,NA,NA,NA,,,,NA,,,,,,2,27,4,NA,NA,Yes,Fg,80,N,N,N,Black,WI_1_2_Black_Low_27_4,typo in x position; couldn't resolve
Cole Germino,Cole Germino,6/3/22,WI,5,2,Low,Black,8,10,5.2b,Y10_X8,Yes,Yes,84,Fp,,,,NA,NA,NA,,,,NA,,,,,,2,8,10,NA,NA,Yes,Fp,84,N,N,N,Black,WI_5_2_Black_Low_8_10,y position shouldn't be greater than 5 in low density
Cole Germino,Cole Germino,6/3/22,WI,5,2,Low,Black,9,7,5.2b,Y7_X9,Yes,Yes,133,Fp,,,,NA,NA,NA,,,,NA,,,,,,2,9,7,NA,NA,Yes,Fp,133,N,N,N,Black,WI_5_2_Black_Low_9_7,y position shouldn't be greater than 5 in low density
Cole Germino,Cole Germino,6/3/22,WI,8,3,Low,Black,28,4,8.3b,Y4_X28,Yes,Yes,200,Fb,,,,NA,NA,NA,,,,NA,,,,,,3,28,4,NA,NA,Yes,Fb,200,N,N,N,Black,WI_8_3_Black_Low_28_4,typo in x position; couldn't resolve
Cole Germino,Cole Germino,6/29/22,BA,1,1,Low,Black,4,11,1.1b,Y11_X4,Yes,Yes,,,,,,NA,NA,NA,,,,NA,,,,,,1,4,11,NA,NA,Yes,,,N,N,N,Black,BA_1_1_Black_Low_4_11,y position shouldn't be greater than 5 in low density
Cole Germino,Cole Germino,6/29/22,BA,4,4,High,White,3,3,4.4w,Y3_X3,Yes,Yes,220,,,,,NA,NA,NA,,,,NA,,,,,,4,3,3,NA,NA,Yes,,220,N,N,N,White,BA_4_4_White_High_3_3,block 4 plot 4 should be black low
Cole Germino,Cole Germino,6/29/22,BA,4,10,Low,Black,10,4,4.10b,Y4_X10,Yes,Yes,260,,,,,NA,NA,NA,,,,NA,,,,,,1,10,4,NA,NA,Yes,,260,N,N,N,Black,BA_4_10_Black_Low_10_4,plot 10 does not exist
Cole Germino,Cole Germino,7/7/22,BA,5,1,High,Black,2,2,5.1b,Y2_X2,Yes,Yes,105,v3,,,,NA,NA,NA,,,,NA,,,,,,1,2,2,NA,NA,Yes,v3,105,N,N,N,Black,BA_5_1_Black_High_2_2,block 5 plot 1 should be black low
Cole Germino,Cole Germino,7/7/22,BA,5,1,High,Black,3,6,5.1b,Y6_X3,Yes,Yes,110,Fp,,,,NA,NA,NA,,,,NA,,,,,,1,3,6,NA,NA,Yes,Fp,110,N,N,N,Black,BA_5_1_Black_High_3_6,block 5 plot 1 should be black low
Cole Germino,Cole Germino,7/7/22,BA,5,1,High,Black,7,2,5.1b,Y2_X7,Yes,Yes,230,Fb,,,,NA,NA,NA,,,,NA,,,,,,1,7,2,NA,NA,Yes,Fb,230,N,N,N,Black,BA_5_1_Black_High_7_2,block 5 plot 1 should be black low
Cole Germino,Cole Germino,7/7/22,BA,5,1,High,Black,7,5,5.1b,Y5_X7,Yes,Yes,181,Fb,,,,NA,NA,NA,,,,NA,,,,,,1,7,5,NA,NA,Yes,Fb,181,N,N,N,Black,BA_5_1_Black_High_7_5,block 5 plot 1 should be black low
Cole Germino,Cole Germino,7/7/22,BA,6,4,Low,Black,8,3,6.4b,Y3_X8,Yes,Yes,125,>v3,,,,NA,NA,NA,,,,NA,,,,,,4,8,3,NA,NA,Yes,>v3,125,N,N,N,Black,BA_6_4_Black_Low_8_3,block 6 plot 4 should be black high
Cole Germino,Cole Germino,7/7/22,BA,7,3,Low,Black,15,7,7.3b,Y7_X15,Yes,Yes,197,Fp,,,,NA,NA,NA,,,,NA,,,,,,3,15,7,NA,NA,Yes,Fp,197,N,N,N,Black,BA_7_3_Black_Low_15_7,y position shouldn't be greater than 5 in low density
Cole Germino,Cole Germino,7/8/22,BA,8,2,High,White,16,6,8.2w,Y6_X16,Yes,Yes,152,Fb,,,,NA,NA,NA,,,,NA,,,,,,2,16,6,NA,NA,Yes,Fb,152,N,N,N,White,BA_8_2_White_High_16_6,x position shouldn't be greater than 10 in high density
Cole Germino,Cole Germino,7/8/22,BA,9,3,Low,Black,9,10,9.3b,Y10_X9,Yes,Yes,250,Fb,,,,NA,NA,NA,,,,NA,,,,,,3,9,10,NA,NA,Yes,Fb,250,N,N,N,Black,BA_9_3_Black_Low_9_10,y position shouldn't be greater than 5 in low density
Sophie Steppe,Sophie Steppe,6/23/22,BA,4,1,High,Black,11,9,4.1b,Y9_X11,No,,,,,,,NA,NA,NA,,,,NA,,,,,,1,11,9,NA,NA,No,,,N,N,N,Black,BA_4_1_Black_High_11_9,y position shouldn't be greater than 5 in low density
N/A,N/A,6/28/22,BA,7,2,High,Black,11,2,7.2b,Y2_X11,Yes,No,,Fp,,Yes,Yes,NA,NA,NA,Medium,,,NA,,,,,,2,11,2,NA,NA,Yes,Fp,,N,N,N,Black,BA_7_2_Black_High_11_2,x position shouldn't be greater than 10 in high density
