site,date,block,plot,gravel,x,y,live,v,harvested,herbivory,frost_heave,notes
WI,5/18/23,4,3,Black,4,9,Y,FG,N,N,N,Head smut
WI,5/18/23,4,3,Black,4,10,Y,FG,N,N,N,NA
WI,5/18/23,4,3,Black,5,1,N,NA,NA,NA,NA,NA
WI,5/18/23,4,3,Black,5,2,N,NA,NA,NA,NA,NA
WI,5/18/23,4,3,Black,5,3,Y,FG,N,N,N,NA
WI,5/18/23,4,3,Black,5,4,Y,FG,N,N,N,NA
WI,5/18/23,4,3,Black,5,5,Y,FG,N,N,N,NA
WI,5/18/23,4,3,Black,5,6,N,NA,N,NA,NA,NA
WI,5/18/23,4,3,Black,5,7,Y,FG,N,N,N,NA
WI,5/18/23,4,3,Black,5,8,Y,FG,N,N,N,NA
WI,5/18/23,4,3,Black,5,9,Y,FG,N,N,N,NA
WI,5/18/23,4,3,Black,5,10,Y,FG,N,N,N,NA
WI,5/18/23,4,3,Black,6,1,N,NA,NA,NA,NA,NA
WI,5/18/23,4,3,Black,6,2,N,NA,NA,NA,NA,NA
WI,5/18/23,4,3,Black,6,3,Y,FG,N,N,N,NA
WI,5/18/23,4,3,Black,6,4,Y,FG,N,N,N,NA
WI,5/18/23,4,3,Black,6,5,N,NA,N,NA,NA,NA
WI,5/18/23,4,3,Black,6,6,Y,FG,N,N,N,NA
WI,5/18/23,4,3,Black,6,7,N,NA,N,NA,NA,NA
WI,5/18/23,4,3,Black,6,8,Y,FG,N,N,N,NA
WI,5/18/23,4,3,Black,6,9,Y,FG,N,N,N,NA
WI,5/18/23,4,3,Black,6,10,Y,FG,N,N,N,NA
WI,5/18/23,4,3,Black,7,1,Y,FG,N,N,N,NA
WI,5/18/23,4,3,Black,7,2,Y,FG,N,N,N,NA
WI,5/18/23,4,3,Black,7,3,Y,FG,N,N,N,NA
WI,5/18/23,4,3,Black,7,4,NA,NA,N,NA,NA,NA
WI,5/18/23,4,3,Black,7,5,Y,>V3,N,N,N,NA
WI,5/18/23,4,3,Black,7,6,Y,Bootstage,N,N,N,NA
WI,5/18/23,4,3,Black,7,7,Y,FG,N,N,N,NA
WI,5/18/23,4,3,Black,7,8,N,NA,NA,NA,NA,NA
WI,5/18/23,4,3,Black,7,9,Y,FG,N,N,N,NA
WI,5/18/23,4,3,Black,7,10,Y,FG,N,N,N,NA
WI,5/18/23,4,3,Black,8,1,N,NA,N,NA,NA,NA
WI,5/18/23,4,3,Black,8,2,N,NA,NA,NA,NA,NA
WI,5/18/23,4,3,Black,8,3,Y,FG,N,N,N,NA
WI,5/18/23,4,3,Black,8,4,N,NA,NA,NA,NA,NA
WI,5/18/23,4,3,Black,8,5,Y,FG,N,N,N,NA
WI,5/18/23,4,3,Black,8,6,Y,FG,N,N,N,NA
WI,5/18/23,4,3,Black,8,7,Y,FG,N,N,N,NA
WI,5/18/23,4,3,Black,8,8,Y,FG,N,N,N,NA
WI,5/18/23,4,3,Black,8,9,Y,FG,N,N,N,NA
WI,5/18/23,4,3,Black,8,10,N,NA,NA,NA,NA,NA
WI,5/18/23,4,3,Black,9,1,Y,FG,N,N,N,NA
WI,5/18/23,4,3,Black,9,2,NA,NA,NA,NA,NA,NA
WI,5/18/23,4,3,Black,9,3,Y,FG,N,N,N,NA
WI,5/18/23,4,3,Black,9,4,N,NA,NA,NA,NA,NA
WI,5/18/23,4,3,Black,9,5,Y,FP,N,N,N,Head smut
WI,5/18/23,4,3,Black,9,6,Y,FG,N,N,N,NA
WI,5/18/23,4,3,Black,9,7,N,NA,N,NA,NA,NA
WI,5/18/23,4,3,Black,9,8,Y,FG,N,N,N,NA
WI,5/18/23,4,3,Black,9,9,Y,FG,N,N,N,NA
WI,5/18/23,4,3,Black,9,10,Y,FG,N,N,N,NA
