block,plot,x,y,harvest_date,density,albedo,live_harvest,v_harvest,harvest,tillers,biomass_whole,inflor_mass,note_standard_harvest,plantID,site,year,genotype,jday,live,v,herbivory,frost_heave,notes,mean_flower
5,2,13,2,2023-06-30,low,black,Y,FP,NA,38,10.98,24.62,NA,CH_2023_1389,CH,2023,56,156,Y,FG,NA,NA,E,NA
5,2,9,3,2023-07-25,low,black,Y,FP,NA,51,14.16,22.66,NA,CH_2023_1401,CH,2023,91,156,Y,FG,NA,NA,E,NA
1,2,14,4,2023-07-25,low,black,Y,FP,NA,2,0.62,0.9,NA,CH_2023_142,CH,2023,58,187,Y,FG,NA,NA,E,NA
1,2,15,4,2023-07-25,low,black,Y,FB,NA,13,4.44,5.44,NA,CH_2023_143,CH,2023,91,187,Y,FG,NA,NA,E,NA
1,2,16,4,NA,low,black,N,NA,NA,NA,NA,0,NA,CH_2023_144,CH,2023,77,171,Y,FG,NA,NA,E,NA
5,3,1,2,2023-07-25,high,white,Y,FP,NA,1,0.073,0.11,NA,CH_2023_1449,CH,2023,90,199,Y,FG,NA,NA,E,NA
5,3,7,6,2023-07-17,high,white,Y,FP,NA,3,0.41,0.69,NA,CH_2023_1487,CH,2023,74,171,Y,FG,NA,NA,E,NA
5,3,8,6,2023-07-17,high,white,Y,FP,NA,6,1.84,2.75,physical_damage,CH_2023_1488,CH,2023,26,171,Y,FG,NA,NA,E,NA
5,3,5,7,2023-07-25,high,white,Y,FB,NA,3,0.32,0.59,NA,CH_2023_1493,CH,2023,73,171,Y,FG,NA,NA,E,NA
5,3,1,8,2023-07-25,high,white,Y,FB,NA,1,0.23,0.43,NA,CH_2023_1497,CH,2023,59,171,Y,FG,NA,NA,E,NA
5,3,2,8,2023-07-25,high,white,Y,FB,NA,1,0.17,0.32,NA,CH_2023_1498,CH,2023,89,171,Y,FG,NA,NA,E,NA
5,4,8,1,2023-07-25,low,white,Y,FP,NA,5,0.43,0.8,NA,CH_2023_1528,CH,2023,73,171,Y,FG,NA,NA,E,NA
5,4,12,1,2023-07-25,low,white,Y,FB,NA,13,7.12,8.55,NA,CH_2023_1532,CH,2023,53,171,Y,FG,NA,NA,E,NA
5,4,13,1,2023-07-17,low,white,Y,FB,NA,28,10.81,14.55,NA,CH_2023_1533,CH,2023,52,171,Y,FG,NA,NA,E,NA
5,4,16,1,2023-07-25,low,white,Y,FB,NA,6,2.78,3.64,NA,CH_2023_1536,CH,2023,30,171,Y,FG,NA,NA,E,NA
5,4,1,2,2023-07-25,low,white,Y,FP,NA,8,3.36,5.02,NA,CH_2023_1537,CH,2023,24,171,Y,FG,NA,NA,E,NA
1,2,10,5,2023-07-27,low,black,Y,FB,NA,30,9.54,14.99,NA,CH_2023_154,CH,2023,95,156,Y,FG,NA,NA,E,NA
5,4,16,2,2023-07-25,low,white,Y,FB,NA,17,5.82,8.3,NA,CH_2023_1552,CH,2023,59,156,Y,FG,NA,NA,E,NA
5,4,7,3,2023-08-02,low,white,Y,FB,NA,8,3.05,5.42,NA,CH_2023_1559,CH,2023,79,187,Y,FG,NA,NA,E,NA
5,4,13,3,2023-07-10,low,white,Y,FB,NA,19,5.46,7.83,NA,CH_2023_1565,CH,2023,37,156,Y,FG,NA,NA,E,NA
5,4,14,3,2023-07-17,low,white,Y,FB,NA,14,4.08,4.34,NA,CH_2023_1566,CH,2023,93,156,Y,FG,NA,NA,E,NA
5,4,15,3,2023-07-25,low,white,Y,FB,NA,14,4.23,6.04,NA,CH_2023_1567,CH,2023,45,171,Y,FG,NA,NA,E,NA
5,4,16,3,2023-07-17,low,white,Y,FP,NA,15,6.4,8.7,NA,CH_2023_1568,CH,2023,8,156,Y,FG,NA,NA,E,NA
1,2,13,5,2023-07-25,low,black,Y,FB,NA,26,11.82,20.71,NA,CH_2023_157,CH,2023,56,156,Y,FG,NA,NA,E,NA
5,4,2,4,2023-07-10,low,white,Y,FB,NA,15,7.63,11.61,NA,CH_2023_1570,CH,2023,58,156,Y,FG,NA,NA,E,NA
5,4,3,4,2023-07-10,low,white,Y,FP,NA,21,10.05,11.69,NA,CH_2023_1571,CH,2023,77,171,Y,FG,NA,NA,E,NA
5,4,4,4,2023-07-25,low,white,Y,FB,NA,27,9.97,13.94,NA,CH_2023_1572,CH,2023,97,171,Y,FG,NA,NA,E,NA
5,4,7,4,2023-07-10,low,white,Y,FP,NA,24,9.78,16.55,NA,CH_2023_1575,CH,2023,56,156,Y,FG,NA,NA,E,NA
5,4,12,4,2023-07-25,low,white,Y,FP,NA,14,7.51,9.24,NA,CH_2023_1580,CH,2023,90,171,Y,FG,NA,NA,E,NA
5,4,14,4,2023-07-17,low,white,Y,FB,NA,16,7.19,10.26,NA,CH_2023_1582,CH,2023,76,156,Y,FG,NA,NA,E,NA
5,4,6,5,2023-07-25,low,white,Y,FB,NA,22,8.18,14.56,NA,CH_2023_1590,CH,2023,89,156,Y,FG,NA,NA,E,NA
5,4,8,5,2023-07-25,low,white,Y,FP,NA,8,2.78,4.13,NA,CH_2023_1592,CH,2023,54,171,Y,FG,NA,NA,E,NA
5,4,14,5,2023-07-10,low,white,Y,FB,NA,13,2.75,6.06,NA,CH_2023_1598,CH,2023,83,156,Y,FG,NA,NA,E,NA
6,1,7,1,2023-07-13,high,black,Y,FB,NA,6,1.43,2.32,NA,CH_2023_1607,CH,2023,35,156,Y,FG,NA,NA,E,NA
6,1,5,2,2023-07-17,high,black,Y,FP,NA,3,0.45,0.74,NA,CH_2023_1613,CH,2023,73,156,Y,FG,NA,NA,E,NA
6,1,7,2,2023-06-30,high,black,Y,FB,NA,3,0.68,1.63,NA,CH_2023_1615,CH,2023,33,142,Y,FG,NA,NA,E,NA
6,1,3,3,2023-07-17,high,black,Y,FB,NA,1,0.13,0.18,NA,CH_2023_1619,CH,2023,54,171,Y,FG,NA,NA,E,NA
6,1,6,3,2023-06-30,high,black,Y,FB,NA,2,0.92,1.35,NA,CH_2023_1622,CH,2023,87,156,Y,FG,NA,NA,E,NA
6,1,8,3,2023-07-13,high,black,Y,FP,NA,2,0.6,0.89,NA,CH_2023_1624,CH,2023,12,156,Y,FG,NA,NA,"E, ANTHILL",NA
6,1,4,4,2023-06-30,high,black,Y,FP,NA,2,0.6,0.9,NA,CH_2023_1628,CH,2023,26,171,Y,FG,NA,NA,E,NA
1,3,3,1,2023-07-10,high,white,Y,FB,NA,2,0.18,0.23,NA,CH_2023_163,CH,2023,74,171,Y,FG,NA,NA,D,NA
6,1,8,4,2023-07-17,high,black,Y,FB,NA,1,0.0079,0,seed_drop,CH_2023_1632,CH,2023,58,171,Y,FG,NA,NA,E,NA
1,3,4,1,2023-07-10,high,white,Y,FP,NA,1,0.19,0.43,NA,CH_2023_164,CH,2023,68,156,Y,FG,NA,NA,E,NA
6,1,7,6,2023-06-30,high,black,Y,FP,NA,3,0.81,1.31,NA,CH_2023_1647,CH,2023,51,156,Y,FG,NA,NA,E,NA
6,1,4,8,2023-06-30,high,black,Y,FB,NA,9,4.02,6.25,NA,CH_2023_1660,CH,2023,89,156,Y,FG,NA,NA,E,NA
6,1,5,8,2023-07-17,high,black,Y,FB,NA,4,1.21,2.06,NA,CH_2023_1661,CH,2023,76,156,Y,FG,NA,NA,E,NA
6,1,2,9,2023-07-17,high,black,Y,FB,NA,10,2.89,4.33,NA,CH_2023_1666,CH,2023,45,171,Y,FG,NA,NA,E,NA
6,1,1,10,2023-07-17,high,black,Y,FG,NA,1,0.17,0.29,NA,CH_2023_1673,CH,2023,25,171,Y,FG,NA,NA,E,NA
6,1,6,10,2023-07-17,high,black,Y,FB,NA,9,3.55,6.23,NA,CH_2023_1678,CH,2023,55,171,Y,FG,NA,NA,E,NA
6,2,1,1,2023-07-10,low,black,Y,FB,NA,17,4.84,8.3,NA,CH_2023_1681,CH,2023,57,156,Y,FG,NA,NA,E,NA
6,2,2,1,2023-07-10,low,black,Y,FB,NA,18,4.71,5.99,NA,CH_2023_1682,CH,2023,98,156,Y,FG,NA,NA,E,NA
6,2,3,1,2023-08-07,low,black,Y,FB,NA,9,0.93,0.77,NA,CH_2023_1683,CH,2023,79,156,Y,FG,NA,NA,E,NA
6,2,12,1,2023-07-25,low,black,Y,FB,NA,10,2.05,3.52,NA,CH_2023_1692,CH,2023,14,171,Y,FG,NA,NA,E,NA
6,2,2,2,NA,low,black,N,NA,NA,NA,NA,0,NA,CH_2023_1698,CH,2023,90,156,Y,FG,NA,NA,E,NA
1,3,2,2,2023-07-10,high,white,Y,FP,NA,2,0.26,0.43,NA,CH_2023_170,CH,2023,75,156,Y,FG,NA,NA,E,NA
6,2,7,2,2023-07-10,low,black,Y,FB,NA,52,27.98,34.17,NA,CH_2023_1703,CH,2023,8,156,Y,FG,NA,NA,E,NA
6,2,11,2,2023-07-25,low,black,Y,FB,NA,25,13.29,18.73,NA,CH_2023_1707,CH,2023,89,171,Y,FG,NA,NA,E,NA
1,3,3,2,2023-07-17,high,white,Y,FP,NA,1,0.029,0.04,NA,CH_2023_171,CH,2023,6,171,Y,FG,NA,NA,E,NA
6,2,2,3,2023-07-17,low,black,Y,FB,NA,24,5.27,9.76,NA,CH_2023_1714,CH,2023,73,156,Y,FG,NA,NA,E,NA
6,2,3,3,2023-07-10,low,black,Y,FB,NA,38,17.46,24.15,NA,CH_2023_1715,CH,2023,54,156,Y,FG,NA,NA,E,NA
6,2,6,3,2023-07-10,low,black,Y,FB,NA,28,6.83,10.87,NA,CH_2023_1718,CH,2023,74,156,Y,FG,NA,NA,E,NA
1,3,5,2,2023-07-10,high,white,Y,FP,NA,1,0.05,0.081,NA,CH_2023_173,CH,2023,59,171,Y,FG,NA,NA,E,NA
6,2,2,4,2023-07-25,low,black,Y,FB,NA,12,3.89,5.31,NA,CH_2023_1730,CH,2023,68,171,Y,FG,NA,NA,E,NA
6,2,10,4,2023-07-25,low,black,Y,FB,NA,13,2.95,4.25,NA,CH_2023_1738,CH,2023,87,156,Y,FG,NA,NA,"E, ANTHILL",NA
6,2,13,4,2023-07-25,low,black,Y,FB,NA,54,29.24,37.16,NA,CH_2023_1741,CH,2023,92,171,Y,FG,NA,NA,E,NA
6,2,11,5,2023-06-30,low,black,Y,FB,NA,28,7.78,16.37,NA,CH_2023_1755,CH,2023,52,156,Y,FG,NA,NA,E,NA
1,3,8,2,2023-07-13,high,white,Y,FP,NA,1,0.1,0.21,NA,CH_2023_176,CH,2023,45,171,Y,FG,NA,NA,E,NA
6,3,1,1,2023-07-25,high,white,Y,FP,NA,8,1.73,2,NA,CH_2023_1761,CH,2023,35,171,Y,FG,NA,NA,E,NA
6,3,5,1,2023-07-17,high,white,Y,FP,NA,2,0.42,0.89,NA,CH_2023_1765,CH,2023,98,171,Y,FG,NA,NA,E,NA
6,3,5,2,2023-07-17,high,white,Y,FP,NA,2,0.25,0.52,NA,CH_2023_1773,CH,2023,95,171,Y,FG,NA,NA,E,NA
6,3,8,2,2023-07-10,high,white,Y,FB,NA,8,1.2,1.83,NA,CH_2023_1776,CH,2023,88,156,Y,FG,NA,NA,E,NA
1,3,2,3,2023-07-03,high,white,Y,FB,NA,1,0.019,0.035,NA,CH_2023_178,CH,2023,65,156,Y,FG,NA,NA,E,NA
6,3,5,3,2023-07-10,high,white,Y,FP,NA,3,0.34,0.71,NA,CH_2023_1781,CH,2023,87,171,Y,FG,NA,NA,E,NA
6,3,4,4,2023-07-07,high,white,Y,FP,NA,1,0.06,0.08,NA,CH_2023_1788,CH,2023,42,156,Y,FG,NA,NA,E,NA
6,3,1,5,2023-07-17,high,white,Y,FP,NA,3,0.62,1.42,NA,CH_2023_1793,CH,2023,52,156,Y,FG,NA,NA,E,NA
6,3,2,5,2023-07-17,high,white,Y,FP,NA,1,0.16,0.22,NA,CH_2023_1794,CH,2023,12,156,Y,FG,NA,NA,E,NA
6,3,4,5,2023-07-17,high,white,Y,FP,NA,1,0.07,0.13,NA,CH_2023_1796,CH,2023,55,156,Y,FG,NA,NA,E,NA
6,3,5,5,2023-07-17,high,white,Y,FB,NA,1,0.24,0.43,NA,CH_2023_1797,CH,2023,59,156,Y,FG,NA,NA,E,NA
6,3,6,5,2023-07-25,high,white,Y,FP,NA,1,0.08,0.17,NA,CH_2023_1798,CH,2023,57,187,Y,FG,NA,NA,E,NA
6,3,8,5,2023-07-10,high,white,Y,FB,NA,1,0.37,0.48,NA,CH_2023_1800,CH,2023,100,156,Y,FG,NA,NA,E,NA
6,3,6,6,2023-07-10,high,white,Y,FP,NA,1,0.12,0.3,NA,CH_2023_1806,CH,2023,151,156,Y,FG,NA,NA,E,NA
6,3,7,6,2023-07-25,high,white,Y,FB,NA,3,0.94,1.68,NA,CH_2023_1807,CH,2023,5,171,Y,FG,NA,NA,E,NA
1,3,5,3,2023-07-10,high,white,Y,FP,NA,2,0.18,0.25,NA,CH_2023_181,CH,2023,51,171,Y,FG,NA,NA,E,NA
6,3,3,7,2023-06-30,high,white,Y,FP,NA,3,0.48,0.95,NA,CH_2023_1811,CH,2023,33,156,Y,FG,NA,NA,E,NA
6,3,5,7,2023-07-17,high,white,Y,FP,NA,5,1.91,3.83,NA,CH_2023_1813,CH,2023,66,171,Y,FG,NA,NA,E,NA
6,3,6,7,2023-07-17,high,white,Y,FP,NA,2,0.31,0.59,NA,CH_2023_1814,CH,2023,93,156,Y,FG,NA,NA,E,NA
6,3,3,8,2023-07-17,high,white,Y,FB,NA,3,0.28,0.71,NA,CH_2023_1819,CH,2023,96,171,Y,FG,NA,NA,E,NA
1,3,6,3,2023-07-13,high,white,Y,FP,NA,1,0.19,0.36,NA,CH_2023_182,CH,2023,91,156,Y,FG,NA,NA,E,NA
6,3,6,8,2023-07-10,high,white,Y,FP,NA,2,0.44,0.53,NA,CH_2023_1822,CH,2023,53,171,Y,FG,NA,NA,E,NA
6,3,3,9,2023-07-17,high,white,Y,FB,NA,1,0.041,0,physical_damage,CH_2023_1827,CH,2023,76,171,Y,FG,NA,NA,E,NA
6,3,3,10,2023-07-25,high,white,Y,FP,NA,4,0.61,0.53,NA,CH_2023_1835,CH,2023,91,156,Y,FG,NA,NA,D,NA
6,3,4,10,2023-07-10,high,white,Y,FP,NA,4,0.6,1.14,NA,CH_2023_1836,CH,2023,84,156,Y,FG,NA,NA,E,NA
6,4,1,1,2023-07-25,low,white,Y,FB,NA,6,1.05,2.12,NA,CH_2023_1841,CH,2023,46,156,Y,FG,NA,NA,E,NA
6,4,2,1,2023-07-25,low,white,Y,FP,NA,7,1.16,1.84,NA,CH_2023_1842,CH,2023,45,156,Y,FG,NA,NA,E,NA
6,4,3,1,2023-07-25,low,white,Y,FB,NA,3,0.32,0.55,NA,CH_2023_1843,CH,2023,104,156,Y,FG,NA,NA,E,NA
6,4,4,1,2023-07-25,low,white,Y,FB,NA,4,0.94,1.88,NA,CH_2023_1844,CH,2023,87,156,Y,FG,NA,NA,E,NA
6,4,5,1,2023-07-25,low,white,Y,FB,NA,3,1.02,1.8,NA,CH_2023_1845,CH,2023,25,171,Y,FG,NA,NA,E,NA
1,3,1,4,2023-07-10,high,white,Y,FB,NA,1,0.11,0.15,NA,CH_2023_185,CH,2023,37,156,Y,FG,NA,NA,E,NA
6,4,14,1,2023-07-25,low,white,Y,FB,NA,11,4.67,7.25,NA,CH_2023_1854,CH,2023,59,171,Y,FG,NA,NA,E,NA
6,4,1,2,2023-07-25,low,white,Y,FP,NA,11,2.79,5.93,NA,CH_2023_1857,CH,2023,68,156,Y,FG,NA,NA,E,NA
6,4,2,2,2023-07-27,low,white,Y,FP,NA,18,6.95,10.74,NA,CH_2023_1858,CH,2023,7,156,Y,FG,NA,NA,E,NA
6,4,4,2,2023-07-27,low,white,Y,FP,NA,16,6.34,9.72,NA,CH_2023_1860,CH,2023,9,171,Y,FG,NA,NA,E,NA
6,4,6,2,2023-07-25,low,white,Y,FP,NA,3,1.21,1.96,NA,CH_2023_1862,CH,2023,55,171,Y,FG,NA,NA,E,NA
6,4,8,2,2023-07-25,low,white,Y,FP,NA,7,2.76,3.75,NA,CH_2023_1864,CH,2023,90,171,Y,FG,NA,NA,E,NA
6,4,11,2,2023-07-25,low,white,Y,FP,NA,14,5.84,9.35,NA,CH_2023_1867,CH,2023,66,171,Y,FG,NA,NA,E,NA
6,4,13,2,2023-07-25,low,white,Y,FB,NA,10,3.39,6.22,NA,CH_2023_1869,CH,2023,89,171,Y,FG,NA,NA,E,NA
1,3,3,4,2023-07-10,high,white,Y,FP,NA,1,0.05,0.09,NA,CH_2023_187,CH,2023,92,171,Y,FG,NA,NA,E,NA
6,4,1,3,2023-07-25,low,white,Y,FB,NA,11,2.83,4.74,NA,CH_2023_1873,CH,2023,26,171,Y,FG,NA,NA,E,NA
6,4,4,3,2023-07-25,low,white,Y,FB,NA,13,3.72,5.16,NA,CH_2023_1876,CH,2023,37,156,Y,FG,NA,NA,E,NA
6,4,8,3,2023-07-25,low,white,Y,FB,NA,8,3.28,5.28,NA,CH_2023_1880,CH,2023,8,156,Y,FG,NA,NA,E,NA
6,4,11,3,2023-07-25,low,white,Y,FB,NA,6,2.17,3.41,NA,CH_2023_1883,CH,2023,75,171,Y,FG,NA,NA,E,NA
6,4,12,3,2023-07-25,low,white,Y,FB,NA,8,3.04,4.28,NA,CH_2023_1884,CH,2023,79,171,Y,FG,NA,NA,E,NA
