notes,action,standard_note
0/1 UNRIPE,ignore,
4/50 UNRIPE,ignore,
0/50 UNRIPE,ignore,
"0/50 unripe, one dry brown broken infloresence collected",ignore,
"1/1 UNRIPE, could not get weight due to small size",ignore,
28/50 UNRIPE,ignore,
17/50 UNRIPE,ignore,
"0/50 unripe, 1 tiller with no seeds",ignore,
11/50 UNRIPE,ignore,
No tillers or seeds in sample,ignore,
30/50 UNRIPE,ignore,
9/50 UNRIPE,ignore,
"1/50 UNRIPE, 2 intact tillers, there could have been more but they were not in the sample",ignore,
31/50 UNRIPE,ignore,
4 tillers with no seeds,ignore,
2/50 UNRIPE,ignore,
0/36 UNRIPE,ignore,
0/21 UNRIPE,ignore,
1/50 UNRIPE,ignore,
1/5 UNRIPE,ignore,
0/19 UNRIPE,ignore,
1/26 UNRIPE,ignore,
0/14 UNRIPE,ignore,
0/18 UNRIPE,ignore,
0/40 UNRIPE,ignore,
0/25 UNRIPE,ignore,
15/50 unripe,ignore,
1/50 unripe,ignore,
7/50 UNRIPE,ignore,
2/17 UNRIPE,ignore,
13/50 UNRIPE,ignore,
0/31 UNRIPE,ignore,
9/35 UNRIPE,ignore,
No tillers or seeds,ignore,
0/20 UNRIPE,ignore,
0/12 UNRIPE,ignore,
0/9 UNRIPE,ignore,
3/9 UNRIPE,ignore,
9/17 UNRIPE,ignore,
0/10 UNRIPE,ignore,
"1/3 UNRIPE, 1 broken tiller",ignore,
1/21 UNRIPE,ignore,
0/2 UNRIPE,ignore,
11/12 UNRIPE,ignore,
0/33 UNRIPE,ignore,
0/24 UNRIPE,ignore,
7/27 UNRIPE,ignore,
0/46 UNRIPE,ignore,
0/30 unripe,ignore,
2/19 unripe,ignore,
0/9 unripe,ignore,
18/19 unripe,ignore,
4/33 unripe,ignore,
No seeds,ignore,
15/46 unripe,ignore,
11/50 unripe,ignore,
0/30 UNRIPE,ignore,
0/26 UNRIPE,ignore,
8/28 UNRIPE,ignore,
4/38 UNRIPE,ignore,
5/20 UNRIPE,ignore,
0/22 UNRIPE,ignore,
0/35 UNRIPE,ignore,
24/50 UNRIPE,ignore,
6/50 UNRIPE,ignore,
0/23 UNRIPE,ignore,
3/3 UNRIPE,ignore,
0/17 UNRIPE,ignore,
0/8 UNRIPE,ignore,
2/28 UNRIPE,ignore,
0/45 UNRIPE,ignore,
0/48 UNRIPE,ignore,
0/28 unripe,ignore,
5/50 unripe,ignore,
1/23 UNRIPE,ignore,
8/14 UNRIPE,ignore,
0/29 unripe,ignore,
3/19 UNRIPE,ignore,
2/46 unripe,ignore,
2/7 UNRIPE,ignore,
0/37 unripe,ignore,
26/26 UNRIPE,ignore,
"0/4 unripe, 1 tiller with no seeds",ignore,
"0/3 UNRIPE, 1 tiller with no seeds",ignore,
38/50 UNRIPE,ignore,
48/50 UNRIPE,ignore,
23/50 UNRIPE,ignore,
26/50 UNRIPE,ignore,
no seed heads,ignore,
32/50 unripe,ignore,
33/50 UNRIPE,ignore,
7/39 UNRIPE,ignore,
1/27 unripe,ignore,
0/48 unripe,ignore,
0/45 unripe,ignore,
6/30 UNRIPE,ignore,
10/45 UNRIPE,ignore,
0/47 UNRIPE,ignore,
5/48 UNRIPE,ignore,
0/37 UNRIPE,ignore,
6/24 UNRIPE,ignore,
16/50 UNRIPE,ignore,
6/12 UNRIPE,ignore,
4/9 UNRIPE,ignore,
0/42 UNRIPE,ignore,
1/35 UNRIPE,ignore,
15/50 UNRIPE,ignore,
0/34 UNRIPE,ignore,
0/42 unripe,ignore,
0/39 UNRIPE,ignore,
4/28 UNRIPE,ignore,
5/33 UNRIPE,ignore,
13/15 UNRIPE,ignore,
0/27 UNRIPE,ignore,
1/1 UNRIPE,ignore,
9/25 UNRIPE,ignore,
27/27 UNRIPE,ignore,
6/50 unripe,ignore,
14/50 unripe,ignore,
14/50 UNRIPE,ignore,
50/50 UNRIPE,ignore,
8/50 unripe,ignore,
3/50 UNRIPE,ignore,
1/15 UNRIPE,ignore,
16/16 unripe,ignore,
1/9 unripe,ignore,
18/50 unripe,ignore,
2/30 unripe,ignore,
5/50 UNRIPE,ignore,
10/50 UNRIPE,ignore,
5/6 UNRIPE,ignore,
6/8 UNRIPE,ignore,
18/50 UNRIPE,ignore,
25/50 UNRIPE,ignore,
0/39 unripe,ignore,
0/43 unripe,ignore,
3/11 unripe,ignore,
6/43 UNRIPE,ignore,
2/22 UNRIPE,ignore,
45/45 UNRIPE,ignore,
10/10 UNRIPE,ignore,
11/11 UNRIPE,ignore,
0/31 unripe,ignore,
11/11 unripe,ignore,
16/45 UNRIPE,ignore,
1/14 unripe,ignore,
6/31 unripe,ignore,
1/4 UNRIPE,ignore,
1/11 UNRIPE,ignore,
3/13 UNRIPE,ignore,
1/14 UNRIPE,ignore,
8/9 unripe,ignore,
3/17 unripe,ignore,
0/13 unripe,ignore,
1/15 unripe,ignore,
1/21 unripe,ignore,
3/3 unripe,ignore,
"11/14 UNRIPE, 3/14 HERBIVORIZED",ignore,
11/33 UNRIPE,ignore,
4/6 UNRIPE,ignore,
1/31 UNRIPE,ignore,
4/4 UNRIPE,ignore,
