"plantID","jday","live","v","length_mm","herbivory","frost_heave","notes"
"SS2023_1013",-67,"Y","V1",34,"","",""
"SS2023_1013",115,"Y","V1",NA,"","",""
"SS2023_1013",129,"Y","V2",NA,"","","DYING"
"SS2023_1013",144,"Y","V2",NA,"","","DYING"
"SS2023_1013",156,"N","V1",NA,"","",""
"SS2023_1014",-67,"Y","V1",35,"","",""
"SS2023_1014",115,"Y","V1",NA,"","",""
"SS2023_1014",129,"Y","V2",NA,"","",""
"SS2023_1014",144,"Y","V3+",NA,"","",""
"SS2023_1014",156,"Y","FG",NA,"","",""
"SS2023_1015",-67,"Y","V1",35,"","",""
"SS2023_1015",115,"Y","V1",NA,"","",""
"SS2023_1015",129,"N","V0",NA,"","",""
"SS2023_1015",144,"N",NA,NA,"","",""
"SS2023_1015",156,"N",NA,NA,"","",""
"SS2023_1016",-67,"Y","V0",32,"","",""
"SS2023_1016",115,"Y","V1",NA,"","",""
"SS2023_1016",129,"N","V1",NA,"","",""
"SS2023_1016",144,"N",NA,NA,"","",""
"SS2023_1016",156,"N",NA,NA,"","",""
"SS2023_1017",-67,"N",NA,NA,"","",""
"SS2023_1017",115,"Y","V1",NA,"","",""
"SS2023_1017",129,"Y","V1",NA,"Y","",""
"SS2023_1017",144,"Y","V3+",NA,"Y","",""
"SS2023_1017",156,"Y","FG",NA,"","",""
"SS2023_1018",-67,"Y","V1",45,"","",""
"SS2023_1018",115,"Y","V2",NA,"","",""
"SS2023_1018",129,"Y","V3",NA,"","",""
"SS2023_1018",144,"Y","V3+",NA,"","",""
"SS2023_1018",156,"Y","FG",NA,"","",""
"SS2023_1019",-67,"Y","V1",40,"","",""
"SS2023_1019",115,"Y","V2",NA,"","",""
"SS2023_1019",129,"Y","V3",NA,"Y","",""
"SS2023_1019",144,"Y","V3+",NA,"","",""
"SS2023_1019",156,"Y","FG",NA,"","",""
"SS2023_102",-68,"Y","V1",29,"","",""
"SS2023_102",114,"N","V0",NA,"","",""
"SS2023_102",129,"N",NA,NA,"","",""
"SS2023_102",144,"N",NA,NA,"","",""
"SS2023_102",156,"N",NA,NA,"","",""
"SS2023_1020",-67,"Y","V0",28,"","",""
"SS2023_1020",115,"Y","V1",NA,"","",""
"SS2023_1020",129,"Y","V2",NA,"","",""
"SS2023_1020",144,"Y","V2",NA,"","",""
"SS2023_1020",156,"Y","V3",NA,"","",""
"SS2023_1021",-67,"Y","V0",30,"","",""
"SS2023_1021",115,"Y","V1",NA,"","",""
"SS2023_1021",129,"Y","V3",NA,"","",""
"SS2023_1021",144,"Y","V3+",NA,"","",""
"SS2023_1021",156,"Y","V3+",NA,"","",""
"SS2023_1022",-67,"Y","V0",18,"","",""
"SS2023_1022",115,"Y","V1",NA,"","",""
"SS2023_1022",129,"Y","V3",NA,"","",""
"SS2023_1022",144,"Y","V3+",NA,"","",""
"SS2023_1022",156,"Y","FG",NA,"","",""
"SS2023_1023",-67,"Y","V1",40,"","",""
"SS2023_1023",115,"Y","V2",NA,"","",""
"SS2023_1023",129,"Y","V3",NA,"","",""
"SS2023_1023",144,"Y","BS",NA,"","",""
"SS2023_1023",156,"Y","FG",NA,"","",""
"SS2023_1024",-67,"Y","V1",36,"","",""
"SS2023_1024",115,"Y","V2",NA,"","",""
"SS2023_1024",129,"Y","V3+",NA,"","",""
"SS2023_1024",144,"Y","V3+",NA,"","",""
"SS2023_1024",156,"Y","BS",NA,"","",""
"SS2023_1025",-67,"Y","V0",42,"","",""
"SS2023_1025",115,"Y","V1",NA,"","",""
"SS2023_1025",129,"Y","V3",NA,"","",""
"SS2023_1025",144,"Y","BS",NA,"","",""
"SS2023_1025",156,"Y","FG",NA,"","",""
"SS2023_1026",-67,"Y","V0",25,"","",""
"SS2023_1026",115,"Y","V1",NA,"","",""
"SS2023_1026",129,"Y","V2",NA,"","",""
"SS2023_1026",144,"Y","BS",NA,"","",""
"SS2023_1026",156,"Y","FG",NA,"","",""
"SS2023_1027",-67,"Y","V0",20,"","",""
"SS2023_1027",115,"Y","V1",NA,"","",""
"SS2023_1027",129,"Y","V2",NA,"","",""
"SS2023_1027",144,"Y","V3+",NA,"","",""
"SS2023_1027",156,"Y","BS",NA,"","",""
"SS2023_1028",-67,"Y","V0",8,"","",""
"SS2023_1028",115,"Y","V0",NA,"","",""
"SS2023_1028",129,"N","V0",NA,"","",""
"SS2023_1028",144,"N",NA,NA,"","",""
"SS2023_1028",156,"N",NA,NA,"","",""
"SS2023_1029",-67,"Y","V2",55,"","",""
"SS2023_1029",115,"Y","V0",NA,"","",""
"SS2023_1029",129,"N",NA,NA,"","",""
"SS2023_1029",144,"Y","V2",NA,"","",""
"SS2023_1029",156,"Y","BS",NA,"","",""
"SS2023_103",-68,"Y","V0",35,"","",""
"SS2023_103",114,"N",NA,NA,"","",""
"SS2023_103",129,"N",NA,NA,"","",""
"SS2023_103",144,"N",NA,NA,"","",""
"SS2023_103",156,"N",NA,NA,"","",""
"SS2023_1030",-67,"N",NA,NA,"","",""
"SS2023_1030",115,"N",NA,NA,"","",""
"SS2023_1030",129,"N",NA,NA,"","",""
"SS2023_1030",144,"N",NA,NA,"","",""
"SS2023_1030",156,"N",NA,NA,"","",""
"SS2023_1031",-67,"Y","V0",10,"","",""
"SS2023_1031",115,"Y","V1",NA,"","",""
"SS2023_1031",129,"Y","V2",NA,"","",""
"SS2023_1031",144,"Y","V3",NA,"","",""
"SS2023_1031",156,"Y","V3+",NA,"Y","",""
"SS2023_1032",-67,"N",NA,NA,"","",""
"SS2023_1032",115,"N",NA,NA,"","",""
"SS2023_1032",129,"N",NA,NA,"","",""
"SS2023_1032",144,"N",NA,NA,"","",""
"SS2023_1032",156,"N",NA,NA,"","",""
"SS2023_1033",-67,"N",NA,NA,"","",""
"SS2023_1033",115,"Y","V0",NA,"","",""
"SS2023_1033",129,"Y","V1",NA,"","",""
"SS2023_1033",144,"Y","V3",NA,"Y","",""
"SS2023_1033",156,"Y","BS",NA,"","",""
"SS2023_1034",-67,"N",NA,NA,"","",""
"SS2023_1034",115,"N",NA,NA,"","",""
"SS2023_1034",129,"N",NA,NA,"","",""
"SS2023_1034",144,"N",NA,NA,"","",""
"SS2023_1034",156,"N",NA,NA,"","",""
"SS2023_1035",-67,"Y","V1",38,"","",""
"SS2023_1035",115,"Y","V2",NA,"","",""
"SS2023_1035",129,"Y","V3+",NA,"","",""
"SS2023_1035",144,"Y","V3+",NA,"","",""
"SS2023_1035",156,"Y","FG",NA,"","",""
"SS2023_1036",-67,"Y","V0",12,"","",""
"SS2023_1036",115,"Y","V1",NA,"","Y",""
"SS2023_1036",129,"Y","V2",NA,"","",""
"SS2023_1036",144,"Y","V3+",NA,"","",""
"SS2023_1036",156,"Y","FG",NA,"","",""
"SS2023_1037",-67,"Y","V1",14,"","",""
"SS2023_1037",115,"Y","V1",NA,"","Y",""
"SS2023_1037",129,"Y","V2",NA,"","",""
"SS2023_1037",144,"Y","V3+",NA,"","",""
"SS2023_1037",156,"Y","V3+",NA,"","",""
"SS2023_1038",-67,"N",NA,NA,"","",""
"SS2023_1038",115,"N",NA,NA,"","Y",""
"SS2023_1038",129,"N",NA,NA,"","",""
"SS2023_1038",144,"N",NA,NA,"","",""
"SS2023_1038",156,"N",NA,NA,"","",""
"SS2023_1039",-67,"Y","V0",30,"","",""
"SS2023_1039",115,"Y","V1",NA,"","",""
"SS2023_1039",129,"Y","V2",NA,"","",""
"SS2023_1039",144,"Y","V3+",NA,"","",""
"SS2023_1039",156,"Y","V3+",NA,"","",""
"SS2023_104",-68,"N",NA,NA,"","",""
"SS2023_104",114,"N",NA,NA,"","",""
"SS2023_104",129,"N",NA,NA,"","",""
"SS2023_104",144,"N",NA,NA,"","",""
"SS2023_104",156,"N",NA,NA,"","",""
"SS2023_1040",-67,"Y","V1",32,"","",""
"SS2023_1040",115,"Y","V1",NA,"","Y",""
"SS2023_1040",129,"Y","V2",NA,"","",""
"SS2023_1040",144,"Y","V3",NA,"","",""
"SS2023_1040",156,"Y","V3+",NA,"","",""
"SS2023_1041",-67,"Y","V0",10,"","",""
"SS2023_1041",115,"Y","V1",NA,"","",""
"SS2023_1041",129,"N",NA,NA,"","",""
"SS2023_1041",144,"N",NA,NA,"","",""
"SS2023_1041",156,"N",NA,NA,"","",""
"SS2023_1042",-67,"N",NA,NA,"","",""
"SS2023_1042",115,"N",NA,NA,"","",""
"SS2023_1042",129,"N",NA,NA,"","",""
"SS2023_1042",144,"N",NA,NA,"","",""
"SS2023_1042",156,"N",NA,NA,"","",""
"SS2023_1043",-67,"N",NA,NA,"","",""
"SS2023_1043",115,"N",NA,NA,"","",""
"SS2023_1043",129,"N",NA,NA,"","",""
"SS2023_1043",144,"N",NA,NA,"","",""
"SS2023_1043",156,"N",NA,NA,"","",""
"SS2023_1044",-67,"N",NA,NA,"","",""
"SS2023_1044",115,"N",NA,NA,"","",""
"SS2023_1044",129,"N","V0",NA,"","",""
"SS2023_1044",144,"N",NA,NA,"","",""
"SS2023_1044",156,"N",NA,NA,"","",""
"SS2023_1045",-67,"N",NA,NA,"","",""
"SS2023_1045",115,"N",NA,NA,"","",""
"SS2023_1045",129,"N",NA,NA,"","",""
"SS2023_1045",144,"N",NA,NA,"","",""
"SS2023_1045",156,"N",NA,NA,"","",""
"SS2023_1046",-67,"N",NA,NA,"","",""
"SS2023_1046",115,"N",NA,NA,"","",""
"SS2023_1046",129,"N",NA,NA,"","",""
"SS2023_1046",144,"N",NA,NA,"","",""
"SS2023_1046",156,"N",NA,NA,"","",""
"SS2023_1047",-67,"N",NA,NA,"","",""
"SS2023_1047",115,"N",NA,NA,"","",""
"SS2023_1047",129,"N",NA,NA,"","",""
"SS2023_1047",144,"N",NA,NA,"","",""
"SS2023_1047",156,"N",NA,NA,"","",""
"SS2023_1048",-67,"N",NA,NA,"","",""
"SS2023_1048",115,"N",NA,NA,"","",""
"SS2023_1048",129,"N",NA,NA,"","",""
"SS2023_1048",144,"N",NA,NA,"","",""
"SS2023_1048",156,"N",NA,NA,"","",""
"SS2023_1049",-67,"N",NA,NA,"","",""
"SS2023_1049",115,"N",NA,NA,"","",""
"SS2023_1049",129,"N",NA,NA,"","",""
"SS2023_1049",144,"N",NA,NA,"","",""
"SS2023_1049",156,"N",NA,NA,"","",""
"SS2023_105",-68,"Y","V1",39,"","",""
"SS2023_105",114,"N","V0",NA,"","",""
"SS2023_105",129,"N",NA,NA,"","",""
"SS2023_105",144,"N",NA,NA,"","",""
"SS2023_105",156,"N",NA,NA,"","",""
"SS2023_1050",-67,"Y","V0",24,"","",""
"SS2023_1050",115,"Y","V1",NA,"","",""
"SS2023_1050",129,"Y","V2",NA,"","",""
"SS2023_1050",144,"Y","BS",NA,"","",""
"SS2023_1050",156,"Y","FG",NA,"","",""
"SS2023_1051",-67,"Y","V0",8,"","",""
"SS2023_1051",115,"Y","V1",NA,"","",""
"SS2023_1051",129,"Y","V2",NA,"","",""
"SS2023_1051",144,"Y","BS",NA,"","",""
"SS2023_1051",156,"Y","FG",NA,"","",""
"SS2023_1052",-67,"N",NA,NA,"","",""
"SS2023_1052",115,"N",NA,NA,"","",""
"SS2023_1052",129,"N",NA,NA,"","",""
"SS2023_1052",144,"N",NA,NA,"","",""
"SS2023_1052",156,"N",NA,NA,"","",""
"SS2023_1053",-67,"Y","V0",5,"","",""
"SS2023_1053",115,"Y","V1",NA,"","Y",""
"SS2023_1053",129,"Y","V3",NA,"","",""
"SS2023_1053",144,"Y","V3",NA,"","",""
"SS2023_1053",156,"Y","BS",NA,"","","VERY SMALL"
"SS2023_1054",-67,"N",NA,NA,"","",""
"SS2023_1054",115,"N",NA,NA,"","",""
"SS2023_1054",129,"N",NA,NA,"","",""
"SS2023_1054",144,"N",NA,NA,"","",""
"SS2023_1054",156,"N",NA,NA,"","",""
"SS2023_1055",-67,"N",NA,NA,"","",""
"SS2023_1055",115,"N",NA,NA,"","",""
"SS2023_1055",129,"N",NA,NA,"","",""
"SS2023_1055",144,"N",NA,NA,"","",""
"SS2023_1055",156,"N",NA,NA,"","",""
"SS2023_1056",-67,"Y","V0",1,"","",""
"SS2023_1056",115,"N",NA,NA,"","",""
"SS2023_1056",129,"N",NA,NA,"","",""
"SS2023_1056",144,"N",NA,NA,"","",""
"SS2023_1056",156,"N",NA,NA,"","",""
"SS2023_1057",-67,"Y","V0",25,"","",""
"SS2023_1057",115,"Y","V1",NA,"","",""
"SS2023_1057",129,"Y","V2",NA,"","",""
"SS2023_1057",144,"Y","V3+",NA,"","",""
"SS2023_1057",156,"Y","FG",NA,"","",""
"SS2023_1058",-67,"N",NA,NA,"","",""
"SS2023_1058",115,"Y","V1",NA,"Y","",""
"SS2023_1058",129,"N",NA,NA,"","",""
"SS2023_1058",144,"Y","V2",NA,"","","VERY SMALL"
"SS2023_1058",156,"Y","V3+",NA,"","",""
"SS2023_1059",-67,"Y","V1",36,"","",""
"SS2023_1059",115,"Y","V1",NA,"","",""
"SS2023_1059",129,"Y","V3",NA,"","",""
"SS2023_1059",144,"Y","V3+",NA,"","",""
"SS2023_1059",156,"Y","BS",NA,"","",""
"SS2023_106",-68,"N",NA,NA,"","",""
"SS2023_106",114,"N",NA,NA,"","",""
"SS2023_106",129,"N",NA,NA,"","",""
"SS2023_106",144,"N",NA,NA,"","",""
"SS2023_106",156,"N",NA,NA,"","",""
"SS2023_1060",-67,"Y","V0",35,"","",""
"SS2023_1060",115,"N","V1",NA,"","",""
"SS2023_1060",129,"Y","V0",NA,"","","DYING"
"SS2023_1060",144,"N",NA,NA,"","",""
"SS2023_1060",156,"N",NA,NA,"","",""
"SS2023_1061",-67,"N",NA,NA,"","",""
"SS2023_1061",115,"N",NA,NA,"","",""
"SS2023_1061",129,"N",NA,NA,"","",""
"SS2023_1061",144,"N",NA,NA,"","",""
"SS2023_1061",156,"N",NA,NA,"","",""
"SS2023_1062",-67,"N",NA,NA,"","",""
"SS2023_1062",115,"N",NA,NA,"","",""
"SS2023_1062",129,"N",NA,NA,"","",""
"SS2023_1062",144,"N",NA,NA,"","",""
"SS2023_1062",156,"N",NA,NA,"","",""
"SS2023_1063",-67,"Y","V1",38,"","",""
"SS2023_1063",115,"Y","V2",NA,"","",""
"SS2023_1063",129,"Y","V3",NA,"","",""
"SS2023_1063",144,"Y","V3+",NA,"","",""
"SS2023_1063",156,"Y","FG",NA,"","",""
"SS2023_1064",-67,"Y","V0",33,"","",""
"SS2023_1064",115,"Y","V1",NA,"","",""
"SS2023_1064",129,"Y","V3+",NA,"","",""
"SS2023_1064",144,"Y","V3+",NA,"","",""
"SS2023_1064",156,"Y","FG",NA,"","",""
"SS2023_1065",-67,"Y","V0",2,"","",""
"SS2023_1065",115,"N",NA,NA,"","",""
"SS2023_1065",129,"N",NA,NA,"","",""
"SS2023_1065",144,"N",NA,NA,"","",""
"SS2023_1065",156,"N",NA,NA,"","",""
"SS2023_1066",-67,"Y","V0",10,"","",""
"SS2023_1066",115,"Y","V0",NA,"","",""
"SS2023_1066",129,"Y","V2",NA,"","",""
"SS2023_1066",144,"Y","V2",NA,"","",""
"SS2023_1066",156,"Y","BS",NA,"","","VERY SMALL"
"SS2023_1067",-67,"N",NA,NA,"","",""
"SS2023_1067",115,"N",NA,NA,"","Y",""
"SS2023_1067",129,"N",NA,NA,"","",""
"SS2023_1067",144,"N",NA,NA,"","",""
"SS2023_1067",156,"N",NA,NA,"","",""
"SS2023_1068",-67,"Y","V0",30,"","",""
"SS2023_1068",115,"Y","V1",NA,"","",""
"SS2023_1068",129,"Y","V1",NA,"","",""
"SS2023_1068",144,"Y","V3+",NA,"","",""
"SS2023_1068",156,"Y","FG",NA,"","",""
"SS2023_1069",-67,"N",NA,NA,"","",""
"SS2023_1069",115,"N",NA,NA,"","",""
"SS2023_1069",129,"N",NA,NA,"","",""
"SS2023_1069",144,"N",NA,NA,"","",""
"SS2023_1069",156,"N",NA,NA,"","",""
"SS2023_107",-68,"N",NA,NA,"","",""
"SS2023_107",114,"N",NA,NA,"","",""
"SS2023_107",129,"N",NA,NA,"","",""
"SS2023_107",144,"N",NA,NA,"","",""
"SS2023_107",156,"N",NA,NA,"","",""
"SS2023_1070",-67,"N",NA,NA,"","",""
"SS2023_1070",115,"Y","V0",NA,"","",""
"SS2023_1070",129,"Y","V2",NA,"","",""
"SS2023_1070",144,"Y","V3+",NA,"","",""
"SS2023_1070",156,"Y","FG",NA,"","",""
"SS2023_1071",-67,"N",NA,NA,"","",""
"SS2023_1071",115,"N",NA,NA,"","Y",""
"SS2023_1071",129,"N",NA,NA,"","",""
"SS2023_1071",144,"N",NA,NA,"","",""
"SS2023_1071",156,"N",NA,NA,"","",""
"SS2023_1072",-67,"Y","V0",11,"","",""
"SS2023_1072",115,"N",NA,NA,"","",""
"SS2023_1072",129,"N",NA,NA,"","",""
"SS2023_1072",144,"N",NA,NA,"","",""
"SS2023_1072",156,"N",NA,NA,"","",""
"SS2023_1073",-67,"Y","V0",5,"","",""
"SS2023_1073",115,"N",NA,NA,"","",""
"SS2023_1073",129,"N",NA,NA,"","",""
"SS2023_1073",144,"N",NA,NA,"","",""
"SS2023_1073",156,"N",NA,NA,"","",""
"SS2023_1074",-67,"N",NA,NA,"","",""
"SS2023_1074",115,"N",NA,NA,"","",""
"SS2023_1074",129,"N",NA,NA,"","",""
"SS2023_1074",144,"N",NA,NA,"","",""
"SS2023_1074",156,"N",NA,NA,"","",""
"SS2023_1075",-67,"N",NA,NA,"","",""
"SS2023_1075",115,"N",NA,NA,"","",""
"SS2023_1075",129,"N",NA,NA,"","",""
"SS2023_1075",144,"N",NA,NA,"","",""
"SS2023_1075",156,"N",NA,NA,"","",""
"SS2023_1076",-67,"Y","V0",20,"","",""
"SS2023_1076",115,"Y","V1",NA,"","",""
"SS2023_1076",129,"Y","V2",NA,"","",""
"SS2023_1076",144,"Y","V3",NA,"","",""
"SS2023_1076",156,"Y","BS",NA,"","",""
"SS2023_1077",-67,"Y","V0",24,"","",""
"SS2023_1077",115,"Y","V2",NA,"","",""
"SS2023_1077",129,"N","V0",NA,"","",""
"SS2023_1077",144,"N",NA,NA,"","",""
"SS2023_1077",156,"N",NA,NA,"","",""
"SS2023_1078",-67,"N",NA,NA,"","",""
"SS2023_1078",115,"N",NA,NA,"","",""
"SS2023_1078",129,"Y","V0",NA,"","",""
"SS2023_1078",144,"Y","V2",NA,"","",""
"SS2023_1078",156,"Y","V3",NA,"","","LEAVES VERY NARROW"
"SS2023_1079",-67,"N",NA,NA,"","",""
"SS2023_1079",115,"N",NA,NA,"","",""
"SS2023_1079",129,"N",NA,NA,"","",""
"SS2023_1079",144,"N",NA,NA,"","",""
"SS2023_1079",156,"N",NA,NA,"","",""
"SS2023_108",-68,"N",NA,NA,"","",""
"SS2023_108",114,"Y","V0",NA,"","",""
"SS2023_108",129,"N",NA,NA,"","",""
"SS2023_108",144,"N",NA,NA,"","",""
"SS2023_108",156,"N",NA,NA,"","",""
"SS2023_1080",-67,"N",NA,NA,"","",""
"SS2023_1080",115,"N",NA,NA,"","",""
"SS2023_1080",129,"N",NA,NA,"","",""
"SS2023_1080",144,"N",NA,NA,"","",""
"SS2023_1080",156,"N",NA,NA,"","",""
"SS2023_1081",-67,"N",NA,NA,"","",""
"SS2023_1081",115,"N",NA,NA,"","",""
"SS2023_1081",129,"N",NA,NA,"","",""
"SS2023_1081",144,"N",NA,NA,"","",""
"SS2023_1081",156,"N",NA,NA,"","",""
"SS2023_1082",-67,"Y","V0",26,"","",""
"SS2023_1082",115,"Y","V1",NA,"","",""
"SS2023_1082",129,"Y","V2",NA,"","",""
"SS2023_1082",144,"Y","BS",NA,"","",""
"SS2023_1082",156,"Y","FG",NA,"","",""
"SS2023_1083",-67,"Y","V0",16,"","",""
"SS2023_1083",115,"N","V1",NA,"","",""
"SS2023_1083",129,"N",NA,NA,"","",""
"SS2023_1083",144,"N",NA,NA,"","",""
"SS2023_1083",156,"N",NA,NA,"","",""
"SS2023_1084",-67,"Y","V0",14,"","",""
"SS2023_1084",115,"N",NA,NA,"","",""
"SS2023_1084",129,"N",NA,NA,"","",""
"SS2023_1084",144,"N",NA,NA,"","",""
"SS2023_1084",156,"N",NA,NA,"","",""
"SS2023_1085",-67,"Y","V0",32,"","",""
"SS2023_1085",115,"Y","V1",NA,"","",""
"SS2023_1085",129,"Y","V3+",NA,"","",""
"SS2023_1085",144,"Y","V3+",NA,"","",""
"SS2023_1085",156,"Y","FG",NA,"","",""
"SS2023_1086",-67,"N",NA,NA,"","",""
"SS2023_1086",115,"N",NA,NA,"","",""
"SS2023_1086",129,"N",NA,NA,"","",""
"SS2023_1086",144,"N",NA,NA,"","",""
"SS2023_1086",156,"N",NA,NA,"","",""
"SS2023_1087",-67,"N",NA,NA,"","",""
"SS2023_1087",115,"N",NA,NA,"","",""
"SS2023_1087",129,"N",NA,NA,"","",""
"SS2023_1087",144,"N",NA,NA,"","",""
"SS2023_1087",156,"N",NA,NA,"","",""
"SS2023_1088",-67,"Y","V1",43,"","",""
"SS2023_1088",115,"Y","V1",NA,"","",""
"SS2023_1088",129,"Y","V3",NA,"","",""
"SS2023_1088",144,"Y","V3+",NA,"","",""
"SS2023_1088",156,"Y","FG",NA,"","",""
"SS2023_1089",-67,"Y","V0",4,"","",""
"SS2023_1089",115,"N","V0",NA,"","",""
"SS2023_1089",129,"N",NA,NA,"","",""
"SS2023_1089",144,"N",NA,NA,"","",""
"SS2023_1089",156,"N",NA,NA,"","",""
"SS2023_109",-68,"N",NA,NA,"","",""
"SS2023_109",114,"N",NA,NA,"","",""
"SS2023_109",129,"N",NA,NA,"","",""
"SS2023_109",144,"N",NA,NA,"","",""
"SS2023_109",156,"N",NA,NA,"","",""
"SS2023_1090",-67,"N",NA,NA,"","",""
"SS2023_1090",115,"N",NA,NA,"","",""
"SS2023_1090",129,"N",NA,NA,"","",""
"SS2023_1090",144,"N",NA,NA,"","",""
"SS2023_1090",156,"N",NA,NA,"","",""
"SS2023_1091",-67,"Y","V0",12,"","",""
"SS2023_1091",115,"Y","V1",NA,"","",""
"SS2023_1091",129,"Y","V2",NA,"","",""
"SS2023_1091",144,"Y","V3+",NA,"","",""
"SS2023_1091",156,"Y","BS",NA,"","",""
"SS2023_1092",-67,"N",NA,NA,"","",""
"SS2023_1092",115,"N",NA,NA,"","",""
"SS2023_1092",129,"N",NA,NA,"","",""
"SS2023_1092",144,"N",NA,NA,"","",""
"SS2023_1092",156,"N",NA,NA,"","",""
"SS2023_1093",-67,"Y","V0",21,"","",""
"SS2023_1093",115,"Y","V1",NA,"","",""
"SS2023_1093",129,"Y","V2",NA,"","",""
"SS2023_1093",144,"Y","V3+",NA,"","",""
"SS2023_1093",156,"Y","FG",NA,"","",""
"SS2023_1094",-67,"N",NA,NA,"","",""
"SS2023_1094",115,"N",NA,NA,"","",""
"SS2023_1094",129,"N",NA,NA,"","",""
"SS2023_1094",144,"N",NA,NA,"","",""
"SS2023_1094",156,"N",NA,NA,"","",""
"SS2023_1095",-67,"N",NA,NA,"","",""
"SS2023_1095",115,"N",NA,NA,"","",""
"SS2023_1095",129,"N",NA,NA,"","",""
"SS2023_1095",144,"N",NA,NA,"","",""
"SS2023_1095",156,"N",NA,NA,"","",""
"SS2023_1096",-67,"Y","V0",26,"","",""
"SS2023_1096",115,"Y","V0",NA,"","","DYING"
