SiteCode,"Transect (N, E, S, or W)",Treatment (control OR removal),Distance from center (m),Species,Cover,Litter depth (cm),Notes,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,3,Convolvulus spp,15,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,3,Erodium cicutarium,10,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,3,Bromus japonicus,5,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,3,Poa bulbosa,10,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,3,Taeniatherum caput-medusae,5,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,3.2,Poa bulbosa,5,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,3.2,Erodium cicutarium,10,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,3.2,Tragopogon dubius,1,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,3.2,Bromus japonicus,1,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,3.2,Taeniatherum caput-medusae,5,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,3.4,Poa bulbosa,5,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,3.4,Thinopyrum intermedium,25,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,3.4,Erodium cicutarium,10,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,3.6,Erodium cicutarium,5,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,3.6,Thinopyrum intermedium,10,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,3.8,Thinopyrum intermedium,20,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,3.8,Erodium cicutarium,5,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,4,Poa bulbosa,20,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,4,Erodium cicutarium,5,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,4,Tragopogon dubius,1,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,4,Taeniatherum caput-medusae,1,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,4,Bromus japonicus,1,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,4.2,Poa bulbosa,5,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,4.2,Erodium cicutarium,10,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,4.2,Bromus japonicus,5,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,4.2,Taeniatherum caput-medusae,1,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,4.4,Convolvulus spp,5,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,4.4,Erodium cicutarium,5,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,4.4,Poa bulbosa,10,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,4.4,Bromus japonicus,5,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,4.6,Erodium cicutarium,5,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,4.6,Taeniatherum caput-medusae,1,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,4.6,Bromus japonicus,1,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,4.6,Poa bulbosa,5,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,4.8,Bromus japonicus,5,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,4.8,Tragopogon dubius,1,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,4.8,Bromus tectorum,5,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,4.8,Ceratocephala testiculata,5,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,4.8,Erodium cicutarium,5,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,4.8,Taeniatherum caput-medusae,10,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,4.8,Tragopogon dubius,5,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,4.8,Taeniatherum caput-medusae,5,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,4.8,Bromus tectorum,5,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,4.8,Medicago sativa,20,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,5.2,Bromus tectorum,10,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,5.2,Erodium cicutarium,10,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,5.2,Taeniatherum caput-medusae,1,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,5.2,Medicago sativa,50,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,5.4,Bromus tectorum,20,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,5.4,Erodium cicutarium,5,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,5.4,Medicago sativa,60,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,5.6,Bromus tectorum,5,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,5.6,Tragopogon dubius,5,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,5.6,Erodium cicutarium,10,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,5.6,Convolvulus spp,5,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,5.6,Taeniatherum caput-medusae,1,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,5.8,Erodium cicutarium,5,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,5.8,Poa bulbosa,5,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,5.8,Taeniatherum caput-medusae,5,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,5.8,Bromus tectorum,15,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,5.8,Convolvulus spp,5,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,5.8,Tragopogon dubius,5,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,6,Bromus tectorum,10,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,6,Tragopogon dubius,5,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,6,Erodium cicutarium,5,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,6,Convolvulus spp,5,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,6.2,Erodium cicutarium,10,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,6.2,Bromus tectorum,5,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,6.2,Taeniatherum caput-medusae,5,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,6.4,Erodium cicutarium,20,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,6.4,Taeniatherum caput-medusae,5,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,6.4,Bromus japonicus,1,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,6.6,Tragopogon dubius,1,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,6.6,Convolvulus spp,5,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,6.6,Bromus tectorum,1,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,6.6,Erodium cicutarium,10,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,6.6,Taeniatherum caput-medusae,5,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,6.6,Bromus japonicus,1,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,6.8,Poa bulbosa,10,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,6.8,Convolvulus spp,10,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,6.8,Taeniatherum caput-medusae,5,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,6.8,Erodium cicutarium,5,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,7,Bromus tectorum,1,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,7,Erodium cicutarium,40,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,7,Tragopogon dubius,1,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,7,Convolvulus spp,5,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,7,Medicago sativa,10,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,7.2,Bromus tectorum,1,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,7.2,Poa bulbosa,5,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,7.2,Erodium cicutarium,5,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,7.2,Convolvulus spp,10,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,7.2,Medicago sativa,50,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,7.4,Bromus tectorum,1,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,7.4,Convolvulus spp,15,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,7.4,Erodium cicutarium,10,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,7.4,Poa bulbosa,10,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,7.4,Medicago sativa,20,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,7.6,Bromus tectorum,1,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,7.6,Poa bulbosa,20,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,7.6,Convolvulus spp,10,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,7.6,Erodium cicutarium,10,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,7.6,Medicago sativa,1,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,7.8,Bromus tectorum,1,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,7.8,Tragopogon dubius,1,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,7.8,Erodium cicutarium,10,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,7.8,Taeniatherum caput-medusae,1,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,7.8,Aegilops cylindrica,5,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,8,Bromus tectorum,1,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,8,Convolvulus spp,10,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,8,Aegilops cylindrica,5,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,8,Tragopogon dubius,5,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,8,Erodium cicutarium,10,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,8.2,Convolvulus spp,5,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,8.2,Aegilops cylindrica,5,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,8.2,Taeniatherum caput-medusae,1,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,8.4,Convolvulus spp,1,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,8.4,Taeniatherum caput-medusae,1,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,8.4,Erodium cicutarium,10,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,8.4,Poa bulbosa,5,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,8.4,Aegilops cylindrica,5,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,8.6,Convolvulus spp,10,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,8.6,Aegilops cylindrica,20,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,8.6,Poa bulbosa,5,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,8.6,Erodium cicutarium,1,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,8.8,Erodium cicutarium,5,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,8.8,Aegilops cylindrica,40,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,8.8,Tragopogon dubius,1,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,9,Erodium cicutarium,5,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,9,Convolvulus spp,10,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,9,Aegilops cylindrica,25,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,9.2,Erodium cicutarium,5,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,9.2,Bromus japonicus,1,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,9.2,Aegilops cylindrica,10,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,9.4,Bromus tectorum,1,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,9.4,Convolvulus spp,5,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,9.4,Aegilops cylindrica,10,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,9.4,Erodium cicutarium,5,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,9.4,Taeniatherum caput-medusae,1,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,9.6,Convolvulus spp,10,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,9.6,Bromus tectorum,5,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,9.6,Aegilops cylindrica,20,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,9.6,Erodium cicutarium,5,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,9.8,Convolvulus spp,5,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,9.8,Erodium cicutarium,5,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,9.8,Taeniatherum caput-medusae,5,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,9.8,Aegilops cylindrica,10,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,10,Bromus tectorum,1,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,10,Convolvulus spp,5,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,10,Erodium cicutarium,20,,,,,,,,,,,,,,,,,,,,
GreenCanyon,W,control,10,Aegilops cylindrica,10,,,,,,,,,,,,,,,,,,,,
GreenCanyon,E,removal,2.2,Bromus japonicus,10,,,,,,,,,,,,,,,,,,,,
GreenCanyon,E,removal,2.4,Bromus tectorum,1,,,,,,,,,,,,,,,,,,,,
GreenCanyon,E,removal,2.6,Erodium cicutarium,5,,,,,,,,,,,,,,,,,,,,
GreenCanyon,E,removal,2.8,Medicago sativa,5,,,,,,,,,,,,,,,,,,,,
GreenCanyon,E,removal,3,Medicago sativa,40,,,,,,,,,,,,,,,,,,,,
GreenCanyon,E,removal,3,Brassicaceae,5,,,,,,,,,,,,,,,,,,,,
GreenCanyon,E,removal,3.2,not found,NA,,,,,,,,,,,,,,,,,,,,
GreenCanyon,E,removal,3.4,Bromus tectorum,10,,,,,,,,,,,,,,,,,,,,
GreenCanyon,E,removal,3.4,Bromus japonicus,5,,,,,,,,,,,,,,,,,,,,
GreenCanyon,E,removal,3.4,Brassicaceae,10,,,,,,,,,,,,,,,,,,,,
GreenCanyon,E,removal,3.6,Bromus tectorum,1,,,,,,,,,,,,,,,,,,,,
GreenCanyon,E,removal,3.6,Bromus japonicus,10,,,,,,,,,,,,,,,,,,,,
GreenCanyon,E,removal,3.8,Bromus tectorum,1,,,,,,,,,,,,,,,,,,,,
GreenCanyon,E,removal,3.8,Medicago sativa,1,,,,,,,,,,,,,,,,,,,,
GreenCanyon,E,removal,4,Tragopogon dubius,1,,,,,,,,,,,,,,,,,,,,
GreenCanyon,E,removal,4,Poa bulbosa,5,,,,,,,,,,,,,,,,,,,,
GreenCanyon,E,removal,4,Bromus japonicus,5,,,,,,,,,,,,,,,,,,,,
GreenCanyon,E,removal,4.2,Bromus tectorum,1,,,,,,,,,,,,,,,,,,,,
GreenCanyon,E,removal,4.2,Bromus japonicus,5,,,,,,,,,,,,,,,,,,,,
GreenCanyon,E,removal,4.4,Bromus japonicus,10,,,,,,,,,,,,,,,,,,,,
GreenCanyon,E,removal,4.6,Bromus tectorum,5,,,,,,,,,,,,,,,,,,,,
GreenCanyon,E,removal,4.6,Bromus japonicus,5,,,,,,,,,,,,,,,,,,,,
GreenCanyon,E,removal,4.6,Poa bulbosa,5,,,,,,,,,,,,,,,,,,,,
GreenCanyon,E,removal,4.8,Bromus tectorum,1,,,,,,,,,,,,,,,,,,,,
GreenCanyon,E,removal,4.8,Tragopogon dubius,5,,,,,,,,,,,,,,,,,,,,
GreenCanyon,E,removal,4.8,Bromus japonicus,5,,,,,,,,,,,,,,,,,,,,
GreenCanyon,E,removal,5,Bromus tectorum,5,,,,,,,,,,,,,,,,,,,,
GreenCanyon,E,removal,5,Poa bulbosa,1,,,,,,,,,,,,,,,,,,,,
GreenCanyon,E,removal,5,Bromus japonicus,10,,,,,,,,,,,,,,,,,,,,
GreenCanyon,E,removal,5.2,Bromus japonicus,5,,,,,,,,,,,,,,,,,,,,
GreenCanyon,E,removal,5.2,Ceratocephala testiculata,5,,,,,,,,,,,,,,,,,,,,
GreenCanyon,E,removal,5.4,Bromus japonicus,25,,,,,,,,,,,,,,,,,,,,
GreenCanyon,E,removal,5.6,Bromus tectorum,1,,,,,,,,,,,,,,,,,,,,
GreenCanyon,E,removal,5.6,Bromus japonicus,5,,,,,,,,,,,,,,,,,,,,
GreenCanyon,E,removal,5.8,Bromus japonicus,5,,,,,,,,,,,,,,,,,,,,
GreenCanyon,E,removal,6,Bromus tectorum,1,,,,,,,,,,,,,,,,,,,,
GreenCanyon,E,removal,6,Bromus japonicus,5,,,,,,,,,,,,,,,,,,,,
GreenCanyon,E,removal,6,Medicago sativa,15,,,,,,,,,,,,,,,,,,,,
GreenCanyon,E,removal,6.2,Bromus japonicus,1,,,,,,,,,,,,,,,,,,,,
GreenCanyon,E,removal,6.4,not found,NA,,,,,,,,,,,,,,,,,,,,
GreenCanyon,E,removal,6.6,Ceratocephala testiculata,15,,,,,,,,,,,,,,,,,,,,
GreenCanyon,E,removal,6.6,Erodium cicutarium,5,,,,,,,,,,,,,,,,,,,,
GreenCanyon,E,removal,6.6,Bromus japonicus,5,,,,,,,,,,,,,,,,,,,,
GreenCanyon,E,removal,6.8,Bromus tectorum,5,,,,,,,,,,,,,,,,,,,,
GreenCanyon,E,removal,6.8,Bromus japonicus,5,,,,,,,,,,,,,,,,,,,,
GreenCanyon,E,removal,7,Ceratocephala testiculata,5,,,,,,,,,,,,,,,,,,,,
GreenCanyon,E,removal,7,Bromus tectorum,1,,,,,,,,,,,,,,,,,,,,
GreenCanyon,E,removal,7,Bromus japonicus,1,,,,,,,,,,,,,,,,,,,,
GreenCanyon,E,removal,7,Artemisia tridentata,10,,,,,,,,,,,,,,,,,,,,
GreenCanyon,S,control,0.2,Erodium cicutarium,20,,,,,,,,,,,,,,,,,,,,
GreenCanyon,S,control,0.2,Poa bulbosa,15,,,,,,,,,,,,,,,,,,,,
GreenCanyon,S,control,0.2,Taeniatherum caput-medusae,5,,,,,,,,,,,,,,,,,,,,
GreenCanyon,S,control,0.4,Erodium cicutarium,15,,,,,,,,,,,,,,,,,,,,
GreenCanyon,S,control,0.4,Poa bulbosa,5,,,,,,,,,,,,,,,,,,,,
GreenCanyon,S,control,0.6,Erodium cicutarium,30,,,,,,,,,,,,,,,,,,,,
GreenCanyon,S,control,0.6,Poa bulbosa,20,,,,,,,,,,,,,,,,,,,,
GreenCanyon,S,control,0.6,Convolvulus spp,5,,,,,,,,,,,,,,,,,,,,
GreenCanyon,S,control,0.8,Erodium cicutarium,10,,,,,,,,,,,,,,,,,,,,
GreenCanyon,S,control,0.8,Poa bulbosa,5,,,,,,,,,,,,,,,,,,,,
GreenCanyon,S,control,0.8,Thinopyrum intermedium,10,,,,,,,,,,,,,,,,,,,,
GreenCanyon,S,control,1,Thinopyrum intermedium,10,,,,,,,,,,,,,,,,,,,,
GreenCanyon,S,control,1,Erodium cicutarium,10,,,,,,,,,,,,,,,,,,,,
GreenCanyon,S,control,1.2,Thinopyrum intermedium,5,,,,,,,,,,,,,,,,,,,,
GreenCanyon,S,control,1.2,Erodium cicutarium,20,,,,,,,,,,,,,,,,,,,,
GreenCanyon,S,control,1.2,Poa bulbosa,10,,,,,,,,,,,,,,,,,,,,
GreenCanyon,S,control,1.4,Thinopyrum intermedium,10,,,,,,,,,,,,,,,,,,,,
GreenCanyon,S,control,1.4,Erodium cicutarium,15,,,,,,,,,,,,,,,,,,,,
GreenCanyon,S,control,1.4,Poa bulbosa,10,,,,,,,,,,,,,,,,,,,,
GreenCanyon,S,control,1.6,Thinopyrum intermedium,15,,,,,,,,,,,,,,,,,,,,
GreenCanyon,S,control,1.6,Erodium cicutarium,10,,,,,,,,,,,,,,,,,,,,
GreenCanyon,S,control,1.6,Bromus tectorum,1,,,,,,,,,,,,,,,,,,,,
GreenCanyon,S,control,1.6,Taeniatherum caput-medusae,1,,,,,,,,,,,,,,,,,,,,
GreenCanyon,S,control,1.8,Erodium cicutarium,5,,,,,,,,,,,,,,,,,,,,
GreenCanyon,S,control,1.8,Tragopogon dubius,5,,,,,,,,,,,,,,,,,,,,
GreenCanyon,S,control,1.8,Poa bulbosa,5,,,,,,,,,,,,,,,,,,,,
GreenCanyon,S,control,1.8,Thinopyrum intermedium,1,,,,,,,,,,,,,,,,,,,,
GreenCanyon,S,control,2,Taeniatherum caput-medusae,5,,,,,,,,,,,,,,,,,,,,
GreenCanyon,S,control,2,Erodium cicutarium,15,,,,,,,,,,,,,,,,,,,,
GreenCanyon,S,control,2,Poa bulbosa,10,,,,,,,,,,,,,,,,,,,,
GreenCanyon,S,control,2.2,Erodium cicutarium,20,,,,,,,,,,,,,,,,,,,,
GreenCanyon,S,control,2.2,Poa bulbosa,5,,,,,,,,,,,,,,,,,,,,
GreenCanyon,S,control,2.2,Tragopogon dubius,1,,,,,,,,,,,,,,,,,,,,
GreenCanyon,S,control,2.2,Taeniatherum caput-medusae,5,,,,,,,,,,,,,,,,,,,,
GreenCanyon,S,control,2.4,Taeniatherum caput-medusae,5,,,,,,,,,,,,,,,,,,,,
GreenCanyon,S,control,2.4,Erodium cicutarium,5,,,,,,,,,,,,,,,,,,,,
GreenCanyon,S,control,2.4,Thinopyrum intermedium,5,,,,,,,,,,,,,,,,,,,,
