SiteCode,Date,"Transect (N, E, S, or W)",Treatment (control OR removal),Distance from center (m),Species,Cover,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,1.8,Pascopyrum smithii,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,2,Litter,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,2,Moss,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,2,Lichen,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,2,Bromus tectorum,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,2,Pascopyrum smithii,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,2,Hesperostipa comata,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,2.2,Litter,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,2.2,Bromus tectorum,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,2.2,Tragopogon dubius,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,2.2,Pascopyrum smithii,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,2.2,Lonicera arizonica,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,2.2,Arabis puberula,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,2.4,Litter,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,2.4,Bromus tectorum,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,2.4,Hesperostipa comata,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,2.6,Litter,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,2.6,Bromus tectorum,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,2.6,Arabis puberula,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,2.8,Litter,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,2.8,Bromus tectorum,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,2.8,Pascopyrum smithii,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,3,Litter,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,3,Bromus tectorum,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,3,Pascopyrum smithii,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,3,Hesperostipa comata,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,3.2,Litter,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,3.2,Pascopyrum smithii,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,3.2,Arabis puberula,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,3.4,Litter,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,3.4,Bromus tectorum,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,3.4,Pascopyrum smithii,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,3.4,Arabis puberula,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,3.4,Bouteloua dactyloides,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,3.6,Litter,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,3.6,Bromus japonicus,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,3.6,Bromus tectorum,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,3.6,Pascopyrum smithii,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,3.6,Hesperostipa comata,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,3.6,Bouteloua dactyloides,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,3.8,Litter,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,3.8,Bromus tectorum,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,3.8,Hesperostipa comata,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,3.8,Vulpia octoflora,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,4,Litter,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,4,Bromus japonicus,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,4,Bromus tectorum,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,4,Hesperostipa comata,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,4,Arabis puberula,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,4,Bouteloua dactyloides,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,4.2,Litter,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,4.2,Bromus tectorum,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,4.2,Bouteloua dactyloides,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,4.4,Litter,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,4.4,Bromus japonicus,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,4.4,Bromus tectorum,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,4.4,Bouteloua dactyloides,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,4.6,Litter,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,4.6,Bromus tectorum,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,4.6,Pascopyrum smithii,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,4.6,Bouteloua dactyloides,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,4.8,Litter,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,4.8,Moss,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,4.8,Lichen,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,4.8,Pascopyrum smithii,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,5,Litter,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,5,Moss,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,5,Lichen,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,5,Bromus japonicus,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,5,Bromus tectorum,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,5,Pascopyrum smithii,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,5,Bouteloua dactyloides,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,5.2,Litter,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,5.2,Bromus japonicus,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,5.2,Bromus tectorum,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,5.2,Pascopyrum smithii,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,5.2,Taraxacum officinale,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,5.4,Litter,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,5.4,Bare,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,5.4,Lichen,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,5.4,Bromus japonicus,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,5.4,Bromus tectorum,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,5.4,Hesperostipa comata,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,5.4,Arabis puberula,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,5.6,Litter,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,5.6,Bare,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,5.6,Moss,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,5.6,Bromus japonicus,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,5.6,Bromus tectorum,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,5.6,Pascopyrum smithii,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,5.6,Arabis puberula,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,5.8,Litter,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,5.8,Bromus tectorum,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,5.8,Pascopyrum smithii,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,6,Litter,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,6,Bromus japonicus,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,6,Bromus tectorum,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,6,Tragopogon dubius,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,6,Pascopyrum smithii,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,6.2,Litter,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,6.2,Bromus japonicus,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,6.2,Bromus tectorum,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,6.4,Litter,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,6.4,Bare,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,6.4,Moss,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,6.4,Bromus tectorum,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,6.4,Pascopyrum smithii,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,6.4,Taraxacum officinale,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,6.6,Litter,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,6.6,Bromus tectorum,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,6.6,Pascopyrum smithii,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,6.8,Litter,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,6.8,Bromus tectorum,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,6.8,Hesperostipa comata,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,7,Litter,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,7,Bromus tectorum,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,7,Pascopyrum smithii,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,7.2,Litter,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,7.2,Bromus tectorum,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,7.2,Pascopyrum smithii,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,7.2,Lonicera arizonica,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,7.4,Litter,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,7.4,Moss,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,7.4,Lichen,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,7.4,Bromus tectorum,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,7.4,Taraxacum officinale,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,7.4,Plantago patagonica,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,7.6,Litter,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,7.6,Bare,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,7.6,Moss,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,7.6,Bromus tectorum,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,7.6,Taraxacum officinale,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,7.6,Arabis puberula,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,7.8,Litter,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,7.8,Bare,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,7.8,Moss,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,7.8,Lichen,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,7.8,Bromus japonicus,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,7.8,Bromus tectorum,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,7.8,Plantago patagonica,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,8,Litter,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,8,Bromus japonicus,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,8,Bromus tectorum,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,8,Pascopyrum smithii,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,8,Bouteloua dactyloides,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,8.2,Litter,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,8.2,Bromus tectorum,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,8.2,Pascopyrum smithii,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,8.2,Arabis puberula,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,8.2,Bouteloua dactyloides,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,8.4,Litter,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,8.4,Bromus tectorum,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,8.4,Arabis puberula,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,8.4,Bouteloua dactyloides,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,8.6,Litter,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,8.6,Bromus tectorum,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,8.6,Pascopyrum smithii,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
